,DBS2,DBS3,DBS4,DBS5,DBS7,DBS9,DBS10
Stomach-AdenoCA::S.1,0.0,213.0,54.0,0.0,79.0,0.0,0.0
Stomach-AdenoCA::S.2,12.0,17.0,72.0,155.0,0.0,0.0,0.0
Stomach-AdenoCA::S.3,75.0,0.0,61.0,2.0,58.0,0.0,0.0
Stomach-AdenoCA::S.4,53.0,0.0,46.0,2.0,5.0,13.0,2.0
Stomach-AdenoCA::S.5,89.0,6.0,45.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.6,31.0,11.0,47.0,0.0,118.0,14.0,0.0
Stomach-AdenoCA::S.7,26.0,0.0,25.0,0.0,195.0,15.0,0.0
Stomach-AdenoCA::S.8,33.0,33.0,60.0,0.0,165.0,0.0,0.0
Stomach-AdenoCA::S.9,1.0,0.0,88.0,0.0,191.0,0.0,0.0
Stomach-AdenoCA::S.10,5.0,0.0,60.0,0.0,178.0,0.0,0.0
Stomach-AdenoCA::S.11,34.0,0.0,82.0,0.0,87.0,0.0,0.0
Stomach-AdenoCA::S.12,38.0,7.0,16.0,0.0,0.0,11.0,0.0
Stomach-AdenoCA::S.13,58.0,0.0,257.0,0.0,37.0,0.0,0.0
Stomach-AdenoCA::S.14,80.0,0.0,304.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.15,185.0,0.0,58.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.16,100.0,5.0,11.0,0.0,35.0,0.0,0.0
Stomach-AdenoCA::S.17,103.0,0.0,116.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.18,44.0,4.0,0.0,0.0,167.0,0.0,0.0
Stomach-AdenoCA::S.19,26.0,0.0,113.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.20,12.0,446.0,11.0,5.0,21.0,0.0,0.0
Stomach-AdenoCA::S.21,8.0,0.0,44.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.22,50.0,29.0,40.0,0.0,0.0,24.0,0.0
Stomach-AdenoCA::S.23,5.0,0.0,47.0,2.0,73.0,14.0,0.0
Stomach-AdenoCA::S.24,13.0,0.0,208.0,0.0,0.0,0.0,0.0
