MutationType	DBS2	DBS4	DBS6	DBS7	DBS9	DBS11
AC>CA	0.000374079158890813	0.00414185748142889	0.00266057088135458	0.0458801320676095	0.0245918183020509	0.00136990659976803
AC>CG	3.17067094567882e-05	4.96222538837858e-05	0.000146031334089387	0.00624729467151545	0.00206931154005063	0.00019398677398175
AC>CT	0.000126026668503322	8.32373290953826e-18	0.000240051508092143	0.0135941132052176	0.0284905212035956	0.000755948459434036
AC>GA	0.00023705016218482	0.00440197413485197	0.0085818414142941	0.00972578834461525	0.0252915854895076	0.000441969866494502
AC>GG	4.17088260046709e-18	7.01314515575279e-18	0.000104022320173262	0.00253890055450388	0.00712762863795216	0.00224984660545844
AC>GT	0.000280059263340716	1.12050250705323e-08	0.000132028329450679	0.00449805216349112	0.012095975668895	0.00570961071874119
AC>TA	0.00148031324908664	0.001270569807105	0.010102167632211	0.0054176539391382	0.041186297318882	0.000263982001707124
AC>TG	6.3613461244534e-06	5.31238242183271e-05	0.000449096363055717	0.000997568013147587	0.0178940466506793	0.000238983706090919
AC>TT	0.00292061803198175	0.000161072235388901	0.00318068248222089	0.00117948923398212	0.0443852330329699	0.00281980774550791
AT>CA	3.78080005509966e-05	0.000916410978982818	0.000114024466343768	0.0110951953366114	0.0126957761152864	0.00947935369766489
AT>CC	4.17088260046709e-18	7.00314066908267e-18	6.3913714029533e-05	0.00625729034298987	0.00177940799096141	0.00189987046683157
AT>CG	4.17088260046709e-18	9.46424438993173e-18	1.82039060303208e-06	0.00110951953366114	9.21693352621583e-18	1.73988137488786e-05
AT>GA	0.000168035558004429	0.000324145368111827	0.00162034767962196	0.0143937669231716	0.00636788140585627	0.0111992364360598
AT>GC	5.85123818051138e-06	1.76078965394079e-05	1.72036914132702e-05	0.00928597879974056	0.00180939801328098	0.00417971502702946
AT>TA	0.000458096937893028	0.0045320324615635	0.00220047215751131	0.033985283013044	0.00919694017800278	0.00383973820664907
CC>AA	0.724153238066708	7.00314066908267e-18	8.30178132151993e-18	9.03608701287993e-18	9.01700004408534e-18	7.34949891116424e-18
CC>AG	0.0726153661376284	0.00543243626187413	0.0616132204103166	8.29640732377251e-05	0.0263912196412254	0.000971933733558046
CC>AT	0.100021165478827	0.0157070440720854	0.000438094002268161	0.000851631209620986	0.0194935145077233	0.0344976479503627
CC>GA	0.0177037462897524	0.00355159276789193	0.0355076189052961	0.000301869278527626	0.0109963415171772	0.00095293502888973
CC>GG	0.000450095244654721	7.30327526918622e-05	0.0181038845686158	0.00204911265225707	0.00305898227659658	0.00344976479503627
CC>GT	0.0011002328202671	7.99358484942436e-05	0.00344073828265405	0.000162929445033123	0.0178940466506793	0.0694952618130496
CC>TA	0.0160033864766123	0.000170076273392008	0.00222047644985232	9.03608701287993e-18	0.000686771511118251	0.0587959912893139
CC>TG	0.00023705016218482	8.30372393619803e-06	0.00687147441913758	0.000235897846796423	0.0154948448651134	0.0322977979361367
CC>TT	4.17088260046709e-18	7.00314066908267e-18	8.30178132151993e-18	9.03608701287993e-18	9.01700004408534e-18	0.331977365783201
CG>AT	0.00115024340300651	0.000290130113433425	0.00754161821256148	6.20731198561775e-05	0.000218927162932892	0.00181987592085972
CG>GC	0.000369078100616872	5.10228820176023e-06	0.00059012662405985	0.000186919056571742	1.19960089278297e-05	0.0001659886828916
CG>GT	0.00128027091812899	7.00314066908267e-18	0.00322069106690292	2.06910399520592e-05	9.93669406188561e-05	0.00117991955308487
CG>TA	4.17088260046709e-18	7.00314066908267e-18	8.30178132151993e-18	9.03608701287993e-18	9.01700004408533e-18	7.37949686590368e-18
CG>TC	0.00215045505779478	7.00314066908267e-18	0.00891191223792079	4.86789200804484e-05	0.000132955765616779	0.000684953299884014
CG>TT	0.00556117680062278	0.000361161968791264	0.0187040133388461	3.12864517149494e-05	8.28724283430903e-05	0.000698952345429089
CT>AA	0.00321067941187035	7.00314066908267e-18	0.00448096148438667	9.03608701287993e-18	9.01700004408534e-18	0.00439970002845206
CT>AC	4.17088260046709e-18	7.00314066908267e-18	0.00195041850324866	1.0095628189169e-17	9.01700004408534e-18	0.00234983978792326
CT>AG	0.000587124241360715	0.000363162866125287	0.0395084773734985	0.00125945460577751	0.000581806432999741	0.000495966185025505
CT>GA	1.81038309516677e-05	0.000673301952898948	0.00734157528915136	0.00186919056571742	0.00283905544625303	0.0115992091659191
CT>GC	0.000134028361741628	7.22323937582527e-05	0.00179038416452057	0.0155932475001026	0.0031089656471292	0.00610958344860047
CT>GG	8.98190065999866e-05	0.000926415465652936	0.00681146154211454	0.00399826858976989	0.0103965410707858	0.00401972593508575
CT>TA	0.00338071539318435	7.00314066908267e-18	8.84189721472725e-05	9.03608701287993e-18	9.01700004408534e-18	0.0416971570878297
CT>TC	3.84081275438696e-05	7.00314066908267e-18	8.30178132151993e-18	0.0631726437183642	2.99900223195743e-05	0.0029897961556981
CT>TG	0.000390082545367425	3.08138189439638e-05	0.0112024037109667	9.03608701287993e-18	9.45685370477243e-18	0.00147989910047933
GC>AA	0.00508107520632441	0.328147162779874	8.30178132151993e-18	9.03608701287993e-18	9.01700004408534e-18	0.000999931824648195
GC>AG	0.000325068787806188	0.0113050699372335	0.00366078549840518	7.29684017633004e-05	0.123958758920907	0.00328977570309256
GC>AT	0.00095320170701322	0.00924414568318913	0.00188040348005512	0.000349848501604865	0.125958093742212	0.0271981456304309
GC>CA	0.00106022435407557	0.0119053391374405	0.00869186502216966	0.000669709988786456	0.0273908870518779	0.00210985615000769
GC>CG	6.69141597053353e-05	9.8344103967261e-07	9.04194013813737e-18	0.00264885294072255	0.00249916852663119	0.00403972457157871
GC>TA	0.000736155777924166	0.017707941406109	0.000829177917534942	6.23729900004102e-06	0.0139953437491347	0.000242983433389511
TA>AT	0.00275058205066774	0.030413639477159	0.00857183926812359	0.0557758468272899	0.0154948448651134	0.00222984796896548
TA>CG	1.89040002754983e-05	0.000389174531467594	0.000259055585816104	0.00304867979969954	0.00134955100438084	0.000583960185594546
TA>CT	0.000280059263340716	0.00872391237634299	0.0261056015050205	0.0290874039905759	0.0141952772312652	0.0033797695673109
TA>GC	8.22173980235957e-05	7.02314964242291e-05	0.000264056658901357	0.00150934639263813	0.000578807430767784	0.00101993046114116
TA>GG	7.89166995627944e-05	0.00222099604076622	0.00021804678651703	0.00430813440547705	0.00324891908462055	0.000374974434243073
TA>GT	0.00130027515122475	0.00806361625611519	6.25134135656621e-05	0.026288615977737	0.00777741245487626	0.00266981797181068
TC>AA	0.00145030689944299	0.379170044797476	0.0458098294609173	0.0195915160898724	0.00368877274530764	0.000216985205948658
TC>AG	0.000200042330957654	0.00187083900731209	0.00828177702917892	3.99826858976989e-06	0.0466844680774706	0.0473967684883245
TC>AT	4.17088260046709e-18	0.00841377328956933	0.000594127482528053	0.00228900876764326	0.0517827718717983	0.0845942323652373
TC>CA	0.0006821443485656	0.0846379572291992	0.011802532481197	0.0027088269695691	0.0487837696398408	0.000281980774550791
TC>CG	3.89082333712637e-06	0.000400179466804724	0.000862184999897612	0.00162929445033123	0.00778740912898279	0.00323977911186015
TC>CT	0.00335070904354071	8.28371496285779e-06	0.00939201525410508	0.00918602208499631	0.0513829049075373	0.0200986296754287
TC>GA	0.000885187314487618	0.0364163314792299	0.00734157528915136	9.03608701287993e-18	0.0172942462042878	0.000234983978792326
TC>GG	9.87208903276022e-06	1.04046661369228e-05	0.0015103240717464	0.000705694406094385	0.00372875944173374	0.00732950027467127
TC>GT	8.57181388153546e-05	7.00314066908267e-18	8.30178132151993e-18	9.03608701287993e-18	9.14695680747015e-18	0.0151989637346526
TG>AA	0.00296062649817328	0.00763342332930011	0.0255054727347902	0.0225902175321999	0.0157947450883091	0.00782946618699537
TG>AC	0.000220046564053419	0.000118052942707394	0.010102167632211	0.00261886592629928	0.0072675820754435	0.000865940960145337
TG>AT	0.00429090799904168	7.00314066908267e-18	0.221047430368182	0.00128944162020079	0.000745751888346747	0.0104992841588061
TG>CA	0.000144030478289511	0.000804360728277496	0.0114024466343768	0.0238896548238751	0.0227924169628765	0.0560961753627638
TG>CC	5.94125722944232e-05	0.000120053840041417	0.00789169332852919	0.0010495455048146	0.0117960754456992	0.00312978661114885
TG>CT	0.00307064978019999	8.21368355616696e-05	0.275059019688914	9.03608701287993e-18	0.000967678053511597	0.00557961958153693
TG>GA	0.00147031113253876	0.00785352203604271	0.00744159675085642	0.00824642896640039	0.0061779445978323	0.00730950163817831
TG>GC	0.000272057570102409	0.000604270994875134	0.00560120185548332	0.00387832053207679	0.00390869957565118	0.00611958276684695
TG>GT	0.00640135459064493	3.23144919444815e-05	0.0274058805071863	0.00870622985422393	0.00333888915157927	0.00523964276115654
TT>AA	0.00431091223213744	1.80080760062126e-05	0.000193041421090765	0.234898279648981	0.000340886587032494	0.00476967480357189
TT>AC	0.000345073020901953	6.60296120227795e-07	0.000128027470982476	0.0399826858976989	0.00665778495494549	0.00103992909763412
TT>AG	0.000215045505779478	7.00314066908267e-18	0.00212045498814726	0.0538766692471492	0.000917694682978973	0.00126991341730321
TT>CA	4.17088260046709e-18	7.00314066908267e-18	8.30178132151993e-18	0.0976577103051295	9.02699671819186e-18	0.00201986228578935
TT>CC	2.98063073126904e-06	7.00314066908267e-18	8.30178132151993e-18	0.0353846770194635	0.00515828383896678	0.00399972729859278
TT>CG	1.52032171527817e-05	7.25325283583563e-18	1.12024037109667e-05	0.0026688442836714	1.9793414730919e-05	9.95932097349603e-18
TT>GA	4.79101382643581e-05	7.00314066908267e-18	8.30178132151993e-18	0.0435811276284918	9.16695015568321e-18	0.000706951800026274
TT>GC	1.54032594837394e-06	7.00314066908267e-18	4.09087778373693e-07	0.00366841143111387	3.55881598192282e-05	5.77960594646657e-06
TT>GG	4.17088260046709e-18	7.00314066908267e-18	8.30178132151993e-18	9.03608701287993e-18	9.01700004408534e-18	7.33949959291775e-18
