Sample,SBS1,SBS2,SBS5,SBS7a,SBS7b,SBS7c,SBS7d,SBS13,SBS17a,SBS17b,SBS38,SBS40
Skin-Melanoma::S.1,0.0,0.0,0.0,0.0,4698.721375178202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.2,0.0,0.0,0.0,13685.044707080624,0.0,5333.101757953535,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.3,0.0,0.0,0.0,41511.24094015455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.4,0.0,0.0,0.0,256765.4889002424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.5,0.0,0.0,0.0,79108.42556338297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.6,0.0,77258.67226859741,0.0,0.0,115834.6278211839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.7,0.0,0.0,0.0,112664.36139692437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.8,0.0,0.0,0.0,254259.4524980193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.9,0.0,0.0,0.0,0.0,19921.778230574997,8874.960110114076,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.10,0.0,0.0,0.0,80371.20855380056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.11,0.0,0.0,0.0,15679.804097426315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.12,0.0,0.0,0.0,0.0,57364.99767062545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.13,0.0,0.0,0.0,44399.91295060887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.14,0.0,64625.91433423873,0.0,91268.02356399912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.15,0.0,20601.778696610334,0.0,49165.919709554546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.16,0.0,0.0,0.0,14999.554485792842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.17,0.0,0.0,0.0,15494.307041481934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.18,0.0,0.0,0.0,34027.21543510553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.19,0.0,0.0,0.0,0.0,0.0,12952.667941761532,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.20,0.0,0.0,0.0,0.0,15536.670549007345,4660.79183537568,3724.095699123475,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.21,0.0,19330.312247623493,0.0,0.0,30683.861984762927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.22,0.0,0.0,0.0,182617.7879071256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.23,0.0,0.0,0.0,0.0,18918.6132604971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.24,0.0,2516.476820453573,0.0,0.0,14400.852799722996,0.0,3882.8002734457455,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.25,0.0,0.0,0.0,0.0,35933.50413693951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.26,0.0,10801.197230678377,0.0,0.0,59584.75590743426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.27,0.0,0.0,0.0,19766.10889215956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.28,0.0,0.0,0.0,0.0,42114.42750625014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.29,0.0,0.0,0.0,48771.34467548357,0.0,19070.117477357955,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.30,0.0,0.0,0.0,0.0,186806.57566898412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.31,702.9034241353212,0.0,0.0,0.0,0.0,0.0,1743.4883972341931,509.56114848973414,0.0,0.0,0.0,3292.669963513288
Skin-Melanoma::S.32,0.0,0.0,0.0,0.0,0.0,0.0,25168.551212752907,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.33,0.0,0.0,0.0,91945.96158900748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.34,0.0,0.0,0.0,0.0,30331.913107013424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.35,0.0,0.0,0.0,62741.417198434014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.36,0.0,0.0,0.0,45669.75611770223,0.0,14379.813748327131,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.37,0.0,0.0,0.0,0.0,2456.89784684368,0.0,5416.716772012001,0.0,0.0,0.0,0.0,5792.2586161574545
Skin-Melanoma::S.38,0.0,0.0,0.0,57482.000138188036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.39,0.0,0.0,0.0,93785.87244549204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.40,0.0,0.0,0.0,0.0,80090.33132719682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.41,0.0,0.0,0.0,49032.25407224182,33298.26952584402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.42,0.0,0.0,0.0,21710.532828588894,53907.32802866162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.43,0.0,0.0,6567.252158219705,0.0,0.0,7227.227364052183,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.44,0.0,0.0,0.0,169037.11696905608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.45,0.0,0.0,0.0,173215.27706632845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.46,0.0,0.0,0.0,0.0,57940.15445485517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.47,0.0,0.0,0.0,135625.26954466087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
