Sample,SBS1,SBS2,SBS3,SBS5,SBS8,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS37,SBS40,SBS41
Breast-AdenoCA::S.1,624.6815773013869,251.4492981382175,0.0,0.0,0.0,0.0,4450.928848125408,0.0,0.0,999.5042044200871,0.0,0.0,0.0
Breast-AdenoCA::S.2,277.67922668608946,133.5883091132512,6272.007620659546,2383.8905139299013,0.0,0.0,293.35924346742655,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.3,211.91868076176408,310.3103107716306,0.0,823.1347369350274,0.0,0.0,1031.1937703757244,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.4,475.11559835199967,645.663833053811,5924.779945760385,1157.9913131139326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.5,415.1846007453227,0.0,0.0,1699.9761377175353,0.0,0.0,1044.9292231340844,0.0,0.0,0.0,0.0,1411.1261526261078,0.0
Breast-AdenoCA::S.6,651.2075345241558,5481.830473346189,6036.560272804195,0.0,0.0,0.0,1136.9420058655055,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.7,311.4696546344484,152.86619216279377,0.0,2604.5723284021155,0.0,0.0,74.6809557262142,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.8,650.3149001104059,480.14290052450457,2111.951469728998,1236.3200865811737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.9,0.0,0.0,4047.2474420968133,2986.297652005846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5286.6730366275415,0.0
Breast-AdenoCA::S.10,266.1750221028382,711.2432910607376,3112.2272479987155,1052.2904743342367,0.0,0.0,259.0625608606376,0.0,0.0,404.25526420766346,0.0,0.0,0.0
Breast-AdenoCA::S.11,344.2049124287543,84.76105607714933,0.0,1585.4154564547737,0.0,0.0,528.5578007535169,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.12,789.1532514646624,235.98696458474248,1434.7952100422513,778.0287757606246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.13,0.0,3328.3794525535786,0.0,1920.2635907069848,0.0,0.0,2086.853700039427,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.14,195.23889101016223,441.89674171036836,0.0,4475.005573825922,0.0,0.0,843.7029919201901,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.15,543.096729513424,4974.601579195302,0.0,4005.926575993247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.16,317.63740826792883,0.0,0.0,793.859981552653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
