Sample,SBS1,SBS4,SBS5,SBS9,SBS12,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS22,SBS24,SBS29,SBS30,SBS31,SBS35,SBS40
Liver-HCC::S.1,0.0,498.1827612462822,0.0,0.0,4516.92206626833,0.0,0.0,0.0,0.0,572.1003359375179,9061.44465980791,0.0,0.0,301.58669768582484,0.0,4946.738327763981,0.0
Liver-HCC::S.2,202.809443008004,3514.2844411512783,4443.050363088869,0.0,5806.350607083269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.4587321488616,0.0,0.0,5131.588729543535,1169.431361167245
Liver-HCC::S.3,0.0,0.0,9162.716792323901,0.0,4343.740118673229,809.8585310910107,127.34907305896354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.34904598607,2617.8581200273825
Liver-HCC::S.4,324.0171139327979,1367.2630453767697,7264.246340481243,0.0,1875.9460885269862,0.0,0.0,0.0,0.0,197.68516752737094,115.9054716191606,0.0,1568.400498615657,0.0,0.0,0.0,706.2176521789829
Liver-HCC::S.5,253.06721879553228,2307.658647476989,4006.726587295589,0.0,218.48108307205516,0.0,112.64609766222834,0.0,0.0,0.0,0.0,289.1769537436351,1185.4438921118538,305.9534142797933,0.0,0.0,1170.538513510415
Liver-HCC::S.6,380.9558686524052,0.0,9627.417718099518,0.0,4208.816302780494,500.1385230274992,160.62132976334286,0.0,0.0,0.0,110.14733812002751,0.0,0.0,507.7038175433428,0.0,0.0,0.0
Liver-HCC::S.7,220.52841638386525,0.0,2403.1931742286856,0.0,1920.677202834416,0.0,0.0,0.0,129.3479820958753,0.0,0.0,0.0,1165.9164687998039,101.66417869464136,0.0,0.0,0.0
Liver-HCC::S.8,269.4523678286155,0.0,5923.647389491783,556.9581300997123,0.0,0.0,68.67068702047976,0.0,0.0,0.0,0.0,111.93484451245074,0.0,192.7654979142583,100.21672044880954,0.0,1134.5950554844394
Liver-HCC::S.9,57.34901737938819,0.0,3385.801442605237,0.0,66.8924301913651,0.0,0.0,0.0,50.95450516623662,0.0,0.0,0.0,0.0,219.64457155993813,0.0,0.0,0.0
Liver-HCC::S.10,0.0,0.0,10353.344398863585,0.0,0.0,418.05321511298064,0.0,0.0,0.0,0.0,0.0,1056.6251387036057,1217.7741884271773,0.0,0.0,0.0,0.0
