Sample,SBS1,SBS5,SBS10a,SBS10b,SBS15,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40,SBS44
ColoRect-AdenoCA::MSI-H.S.1,2942.109671705667,20142.91409843209,0.0,872.9517623396636,4495.443621496974,0.0,0.0,0.0,265.8652806884676,2558.860531737049,0.0,32980.72464392413
ColoRect-AdenoCA::MSI-H.S.2,14161.314497030942,18027.69065038853,460.20016469848076,0.0,6854.364488090235,0.0,0.0,0.0,0.0,3940.968007499305,0.0,39671.83277154239
ColoRect-AdenoCA::MSI-H.S.3,14734.989504050745,13885.25706313864,0.0,396.9217310882166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36771.90023902522
ColoRect-AdenoCA::MSI-H.S.4,10495.732302711613,41443.862726249856,0.0,0.0,6208.779846373973,0.0,0.0,0.0,0.0,2501.4816047688682,0.0,35313.534350297145
ColoRect-AdenoCA::MSI-H.S.5,7808.003440601162,13520.102913172988,0.0,0.0,1590.4298629386751,0.0,0.0,0.0,0.0,0.0,9600.763820624581,80576.33891684934
ColoRect-AdenoCA::MSI-H.S.6,15316.709849694396,41812.03422997776,0.0,0.0,7816.396672928056,0.0,0.0,0.0,0.0,2240.7393612645137,0.0,61985.47560938827
ColoRect-AdenoCA::MSI-H.S.7,24232.17375123255,14206.28504119294,1136.0540978062095,0.0,8128.060080924388,0.0,0.0,0.0,0.0,6001.45895219883,6142.666913808736,31618.363144863306
ColoRect-AdenoCA::MSI-H.S.8,4178.900762524447,31049.8958627573,682.1723107791033,659.5891389994252,0.0,0.0,0.0,0.0,0.0,14926.827249681444,0.0,60011.42366438484
ColoRect-AdenoCA::MSI-H.S.9,9068.057039857618,38013.52724241903,0.0,0.0,6467.048172978884,0.0,0.0,0.0,0.0,0.0,0.0,76974.40099256608
ColoRect-AdenoCA::MSI-H.S.10,8779.47518410538,50499.52449855592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6852.262239403947,56975.296473803355
ColoRect-AdenoCA::MSI-H.S.11,1015.422701295093,9148.591619603454,0.0,478.1343091267245,1727.0429849915295,0.0,0.0,0.0,173.31545383449165,1317.2504049781382,0.0,9077.815433959833
ColoRect-AdenoCA::MSI-H.S.12,13332.142857860319,41274.8327321015,0.0,2534.6097652051235,3259.555451769701,0.0,0.0,0.0,0.0,0.0,0.0,68292.4819372784
ColoRect-AdenoCA::MSI-H.S.13,13348.862218879522,21861.998176789562,704.8620080421028,0.0,0.0,0.0,0.0,0.0,748.5355514713066,0.0,0.0,69202.06101233099
ColoRect-AdenoCA::MSI-H.S.14,13925.97603859859,12445.993519529142,241.54103726910918,1398.0791288594496,3379.486788376976,0.0,0.0,0.0,0.0,0.0,0.0,23089.697304060322
ColoRect-AdenoCA::MSI-H.S.15,29128.705708425114,34780.07643054756,0.0,0.0,17237.127492940377,0.0,0.0,0.0,606.7034787133251,0.0,0.0,11964.348747476433
ColoRect-AdenoCA::MSI-H.S.16,6460.198494684869,11147.16507527469,555.8240213264953,0.0,8119.019525477969,1322.0809518466551,0.0,0.0,0.0,33081.1202092163,7306.973613793126,76763.98738005046
