Samples	ID1	ID2	ID3	ID5	ID6	ID8	ID9	ID11
Liver-HCC::S.1	38	0	97	264	0	0	81	0
Liver-HCC::S.2	281	0	0	402	0	110	0	0
Liver-HCC::S.3	87	0	0	195	0	80	0	0
Liver-HCC::S.4	53	0	69	103	82	84	0	0
Liver-HCC::S.5	564	0	439	0	0	0	0	0
Liver-HCC::S.6	260	0	271	0	0	168	0	0
Liver-HCC::S.7	112	0	0	0	0	677	0	0
Liver-HCC::S.8	109	0	0	208	0	184	100	0
Liver-HCC::S.9	36	0	0	150	0	0	126	38
Liver-HCC::S.10	84	0	0	511	0	0	0	0
Liver-HCC::S.11	76	0	0	77	0	55	0	0
Liver-HCC::S.12	304	0	0	664	0	0	0	0
Liver-HCC::S.13	124	37	0	187	0	116	100	0
Liver-HCC::S.14	463	0	305	0	0	0	0	0
Liver-HCC::S.15	38	0	122	401	0	0	0	0
Liver-HCC::S.16	440	0	295	0	0	0	0	0
Liver-HCC::S.17	0	0	277	238	0	0	0	0
Liver-HCC::S.18	86	0	354	0	0	0	0	0
Liver-HCC::S.19	155	0	149	316	0	0	0	0
Liver-HCC::S.20	467	0	241	286	0	0	0	0
Liver-HCC::S.21	209	0	124	255	0	0	0	0
Liver-HCC::S.22	83	26	72	171	0	59	0	0
Liver-HCC::S.23	187	123	820	0	0	0	0	0
Liver-HCC::S.24	50	47	119	453	104	0	0	0
Liver-HCC::S.25	245	0	281	313	0	0	0	0
Liver-HCC::S.26	168	0	227	183	0	0	0	0
Liver-HCC::S.27	157	0	109	0	0	130	0	0
Liver-HCC::S.28	192	0	250	0	0	0	0	0
Liver-HCC::S.29	39	0	112	358	0	153	0	0
Liver-HCC::S.30	167	0	0	177	0	209	0	0
Liver-HCC::S.31	1195	0	0	0	0	0	0	0
Liver-HCC::S.32	119	0	0	230	0	0	0	0
Liver-HCC::S.33	0	0	191	0	0	130	146	0
Liver-HCC::S.34	289	77	352	0	0	0	0	0
Liver-HCC::S.35	1269	0	0	0	0	0	0	0
Liver-HCC::S.36	166	0	0	235	0	264	0	0
Liver-HCC::S.37	300	0	0	0	0	174	133	0
Liver-HCC::S.38	47	42	252	0	0	118	0	0
Liver-HCC::S.39	136	35	0	217	0	185	0	0
Liver-HCC::S.40	255	0	215	0	0	89	0	0
Liver-HCC::S.41	280	0	0	383	0	0	0	0
Liver-HCC::S.42	0	33	153	0	0	103	0	0
Liver-HCC::S.43	823	0	0	0	0	0	0	0
Liver-HCC::S.44	112	0	156	160	0	0	0	0
Liver-HCC::S.45	217	0	122	340	0	0	0	0
Liver-HCC::S.46	149	0	0	326	0	60	0	0
Liver-HCC::S.47	192	0	0	424	0	0	0	0
Liver-HCC::S.48	253	0	106	171	0	0	0	0
Liver-HCC::S.49	1900	0	0	0	0	0	0	0
Liver-HCC::S.50	96	78	393	345	0	0	0	0
