Samples	DBS2	DBS4	DBS5	DBS6	DBS11
Lung-AdenoCA::S.1	85	0	0	0	0
Lung-AdenoCA::S.2	217	0	0	0	0
Lung-AdenoCA::S.3	1477	0	0	0	0
Lung-AdenoCA::S.4	1076	0	0	0	0
Lung-AdenoCA::S.5	768	0	0	0	0
Lung-AdenoCA::S.6	104	0	0	0	0
Lung-AdenoCA::S.7	0	0	0	1658	0
Lung-AdenoCA::S.8	1345	0	0	0	0
Lung-AdenoCA::S.9	168	0	0	0	0
Lung-AdenoCA::S.10	5528	0	0	0	0
Lung-AdenoCA::S.11	1485	0	0	0	0
Lung-AdenoCA::S.12	462	0	0	0	0
Lung-AdenoCA::S.13	900	0	0	0	0
Lung-AdenoCA::S.14	2344	0	0	0	0
Lung-AdenoCA::S.15	2351	0	0	0	0
Lung-AdenoCA::S.16	646	0	0	0	0
Lung-AdenoCA::S.17	439	0	954	0	0
Lung-AdenoCA::S.18	189	0	0	0	0
Lung-AdenoCA::S.19	764	0	0	0	0
Lung-AdenoCA::S.20	80	0	0	0	0
Lung-AdenoCA::S.21	144	0	0	0	0
Lung-AdenoCA::S.22	896	0	0	0	0
Lung-AdenoCA::S.23	847	0	0	0	0
Lung-AdenoCA::S.24	254	0	0	0	0
Lung-AdenoCA::S.25	413	0	0	0	0
Lung-AdenoCA::S.26	1376	0	0	0	0
Lung-AdenoCA::S.27	2531	0	0	0	0
Lung-AdenoCA::S.28	886	0	0	536	0
Lung-AdenoCA::S.29	408	0	0	1421	0
Lung-AdenoCA::S.30	74	0	0	0	0
Lung-AdenoCA::S.31	296	0	0	330	0
Lung-AdenoCA::S.32	977	0	0	0	0
Lung-AdenoCA::S.33	245	0	0	0	0
Lung-AdenoCA::S.34	90	0	0	0	0
Lung-AdenoCA::S.35	4148	0	0	0	0
Lung-AdenoCA::S.36	1538	0	0	0	0
Lung-AdenoCA::S.37	868	0	0	0	0
Lung-AdenoCA::S.38	53	19	0	0	0
Lung-AdenoCA::S.39	176	0	0	0	0
Lung-AdenoCA::S.40	279	0	0	0	0
Lung-AdenoCA::S.41	28	0	0	0	0
Lung-AdenoCA::S.42	84	0	0	0	0
Lung-AdenoCA::S.43	795	0	0	0	0
Lung-AdenoCA::S.44	448	0	0	0	0
Lung-AdenoCA::S.45	267	0	124	0	0
Lung-AdenoCA::S.46	100	0	0	0	0
Lung-AdenoCA::S.47	197	0	0	155	0
Lung-AdenoCA::S.48	510	0	179	0	0
Lung-AdenoCA::S.49	134	0	0	321	0
Lung-AdenoCA::S.50	138	0	0	0	0
Lung-AdenoCA::S.51	95	0	0	0	0
Lung-AdenoCA::S.52	178	0	0	0	0
Lung-AdenoCA::S.53	197	0	0	0	0
Lung-AdenoCA::S.54	905	0	519	0	0
Lung-AdenoCA::S.55	100	0	0	0	0
Lung-AdenoCA::S.56	555	0	0	0	0
Lung-AdenoCA::S.57	633	0	0	0	0
Lung-AdenoCA::S.58	1131	0	0	0	0
Lung-AdenoCA::S.59	4472	0	0	0	0
Lung-AdenoCA::S.60	461	0	207	0	0
Lung-AdenoCA::S.61	471	0	0	0	0
Lung-AdenoCA::S.62	426	0	0	0	0
Lung-AdenoCA::S.63	1453	0	0	0	0
Lung-AdenoCA::S.64	55	0	0	159	0
Lung-AdenoCA::S.65	27	0	0	79	0
Lung-AdenoCA::S.66	1007	0	0	0	0
Lung-AdenoCA::S.67	0	0	0	0	53
Lung-AdenoCA::S.68	288	0	0	0	0
Lung-AdenoCA::S.69	448	0	0	0	0
Lung-AdenoCA::S.70	115	0	0	0	0
Lung-AdenoCA::S.71	918	0	0	0	0
Lung-AdenoCA::S.72	4332	0	0	0	0
Lung-AdenoCA::S.73	61	0	0	0	0
Lung-AdenoCA::S.74	63	0	121	0	0
Lung-AdenoCA::S.75	2587	0	0	0	0
Lung-AdenoCA::S.76	84	0	0	0	0
Lung-AdenoCA::S.77	351	0	0	0	86
Lung-AdenoCA::S.78	944	0	0	0	0
Lung-AdenoCA::S.79	485	0	0	0	0
Lung-AdenoCA::S.80	2286	0	0	0	0
Lung-AdenoCA::S.81	851	0	0	581	0
Lung-AdenoCA::S.82	0	0	0	0	167
Lung-AdenoCA::S.83	3561	0	0	0	0
Lung-AdenoCA::S.84	94	63	0	0	0
Lung-AdenoCA::S.85	0	0	1043	0	0
Lung-AdenoCA::S.86	1632	0	0	0	0
Lung-AdenoCA::S.87	1994	0	0	0	0
Lung-AdenoCA::S.88	807	0	0	534	0
Lung-AdenoCA::S.89	345	0	0	0	0
Lung-AdenoCA::S.90	104	0	0	0	0
Lung-AdenoCA::S.91	633	0	0	0	0
Lung-AdenoCA::S.92	928	0	0	0	0
Lung-AdenoCA::S.93	326	0	0	0	0
Lung-AdenoCA::S.94	1158	0	183	395	0
Lung-AdenoCA::S.95	1758	0	0	0	0
Lung-AdenoCA::S.96	0	0	0	648	0
Lung-AdenoCA::S.97	4984	0	0	0	0
Lung-AdenoCA::S.98	4585	0	0	0	0
Lung-AdenoCA::S.99	1144	0	0	0	0
Lung-AdenoCA::S.100	4017	0	0	0	0
