Sample,SBS1,SBS4,SBS5,SBS9,SBS12,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS22a,SBS24,SBS29,SBS30,SBS31,SBS35,SBS40
Liver-HCC::S.1,0.0,2942.329684762444,5602.5520044767445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.0240080164153,0.0,0.0,0.0,0.0
Liver-HCC::S.2,0.0,5716.366186961826,6036.2510683856535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4612.502536552168
Liver-HCC::S.3,0.0,0.0,14711.470361183643,0.0,1262.5436740363502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.4,0.0,0.0,7246.870735821697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.5,202.03608571422413,2714.4979984157876,2002.5769030941433,0.0,0.0,2563.9659825853055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.6,546.9528305457015,0.0,6481.884997246767,0.0,972.2807815625451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7565.039419161956
Liver-HCC::S.7,0.0,0.0,0.0,0.0,3923.1804687191734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.05191122177735,0.0,0.0,1453.2942256122124
Liver-HCC::S.8,203.0191993633104,0.0,6803.069617366844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.9,0.0,0.0,7618.222727478495,0.0,2136.2830809486595,517.9922810852465,0.0,0.0,0.0,0.0,0.0,0.0,547.4701711152758,0.0,0.0,0.0,0.0
Liver-HCC::S.10,0.0,0.0,11664.583965389165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.11,0.0,2993.1092766617235,9527.171993314922,0.0,0.0,1497.3712716748848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.12,160.16292220171366,2101.662805031364,2255.9027062145115,0.0,1087.1308359367526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.13,522.7525939582401,0.0,15830.065359695129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.704690646078,1187.381569992623,0.0,0.0,0.0
Liver-HCC::S.14,0.0,0.0,5613.34232210818,0.0,2906.3447507917763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1262.320821355171,0.0,0.0,0.0,3156.291800450255
Liver-HCC::S.15,114.91334613767235,0.0,1266.889454512912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.5844952247808,0.0,0.0,0.0,2247.4367653978275
Liver-HCC::S.16,0.0,0.0,9217.71238717224,0.0,1762.226164013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.17,0.0,0.0,6315.476070067049,0.0,4826.838201231025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.18,330.11474951136233,0.0,0.0,0.0,2311.0831054523856,0.0,0.0,0.0,0.0,0.0,0.0,529.5770286401413,0.0,271.2624151256875,0.0,0.0,1458.2414241258175
Liver-HCC::S.19,451.09639219000724,0.0,7683.833810338998,0.0,2160.9460964409864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.1702261892324,0.0,0.0,0.0,0.0
Liver-HCC::S.20,0.0,0.0,4737.77099603872,0.0,2030.1133979535755,974.4523972236055,166.79596226346646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.21,0.0,0.0,10643.638406161765,0.0,0.0,2536.0146588513826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.9520272552712,0.0,0.0,0.0
Liver-HCC::S.22,0.0,0.0,2152.392100410853,0.0,3371.4927291611393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.23,0.0,0.0,0.0,0.0,6909.505575939106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.4596439033844,0.0,0.0,2049.07531406993
Liver-HCC::S.24,0.0,0.0,4343.951505086834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.1609421486526,0.0,0.0,0.0
Liver-HCC::S.25,0.0,0.0,11779.081258757977,0.0,1846.677253458926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.26,0.0,0.0,8606.157535948914,0.0,3133.183081553174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.27,308.934147244234,2228.957585396334,5834.335388494511,0.0,0.0,0.0,0.0,0.0,0.0,1522.5748450550539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.28,0.0,0.0,6001.003331992862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3138.8765689373176
Liver-HCC::S.29,0.0,0.0,7637.148307958468,0.0,1850.4835322622725,0.0,231.84120015799277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.30,0.0,0.0,2273.288584746106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.8014994745844,0.0,0.0,0.0,0.0
Liver-HCC::S.31,0.0,0.0,0.0,0.0,4786.397828679396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.5761278249583,501.8206893966025,0.0,0.0,2345.176039001144
Liver-HCC::S.32,0.0,0.0,4341.534923330356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.585459188224,0.0,0.0,0.0,4531.867395836728
Liver-HCC::S.33,0.0,0.0,5733.42301638581,0.0,2040.0255823257341,0.0,213.38777733791372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
