Samples	SBS1	SBS2	SBS3	SBS5	SBS13	SBS17a	SBS17b	SBS18	SBS28	SBS40	SBS41
Stomach-AdenoCA::S.1	360	0	0	556	0	0	1122	0	0	9140	0
Stomach-AdenoCA::S.2	502	0	0	11317	0	2382	14830	0	0	0	0
Stomach-AdenoCA::S.3	1549	0	0	0	0	0	11302	0	0	0	0
Stomach-AdenoCA::S.4	1679	0	21670	170	0	772	5792	0	0	0	0
Stomach-AdenoCA::S.5	2348	0	0	3570	1195	0	0	0	0	0	1699
Stomach-AdenoCA::S.6	553	0	0	4888	0	1521	473	1475	0	0	2504
Stomach-AdenoCA::S.7	847	0	0	3996	0	0	2391	6860	0	0	0
Stomach-AdenoCA::S.8	1020	685	0	6398	0	994	1754	0	0	0	0
Stomach-AdenoCA::S.9	492	0	0	6314	0	0	0	0	0	11929	0
Stomach-AdenoCA::S.10	758	0	0	2713	0	0	0	0	0	7914	0
Stomach-AdenoCA::S.11	1830	538	0	4157	776	0	0	0	0	0	0
Stomach-AdenoCA::S.12	778	270	0	2250	494	0	0	0	0	0	0
Stomach-AdenoCA::S.13	2433	0	0	584	0	0	0	4177	0	0	0
Stomach-AdenoCA::S.14	1507	0	0	2635	0	1425	0	0	0	23413	0
Stomach-AdenoCA::S.15	845	1111	0	0	0	4197	0	0	0	0	2316
Stomach-AdenoCA::S.16	486	0	0	6201	0	13149	0	0	0	0	0
Stomach-AdenoCA::S.17	419	0	0	0	0	195	263	1265	0	4575	0
Stomach-AdenoCA::S.18	371	0	0	2672	0	1345	2258	8073	0	0	0
Stomach-AdenoCA::S.19	995	0	0	7203	0	0	0	0	0	0	0
Stomach-AdenoCA::S.20	1141	0	0	14487	0	0	7398	0	0	0	0
Stomach-AdenoCA::S.21	1757	0	0	7591	0	0	9605	0	0	0	0
Stomach-AdenoCA::S.22	647	0	70220	8241	0	0	0	0	0	0	0
Stomach-AdenoCA::S.23	1424	0	0	1934	0	1218	1847	0	0	9413	5055
Stomach-AdenoCA::S.24	717	0	0	4651	1382	3526	559	2033	0	0	0
Stomach-AdenoCA::S.25	598	0	0	2439	0	5381	4300	0	0	0	0
Stomach-AdenoCA::S.26	706	0	0	8017	0	0	0	3762	0	0	0
Stomach-AdenoCA::S.27	1662	960	0	2574	0	539	0	1905	0	0	0
Stomach-AdenoCA::S.28	227	0	0	7276	0	5845	0	2682	0	0	0
Stomach-AdenoCA::S.29	1500	0	0	0	0	1292	0	7664	0	0	6782
Stomach-AdenoCA::S.30	2367	0	0	475	0	7449	1152	0	0	0	0
Stomach-AdenoCA::S.31	940	2526	0	13677	0	0	0	0	0	0	0
Stomach-AdenoCA::S.32	1743	0	0	5514	0	0	2850	4198	0	0	0
Stomach-AdenoCA::S.33	638	0	0	4246	0	0	7687	3362	0	0	0
Stomach-AdenoCA::S.34	1140	0	0	7707	0	2455	9449	0	0	0	0
Stomach-AdenoCA::S.35	879	0	0	1306	0	508	0	2507	0	4280	0
Stomach-AdenoCA::S.36	3216	0	0	877	0	0	0	4026	0	0	0
Stomach-AdenoCA::S.37	1414	0	5937	868	0	372	3682	0	0	0	0
Stomach-AdenoCA::S.38	1460	0	0	0	0	0	0	3894	0	15164	0
Stomach-AdenoCA::S.39	915	0	0	25899	0	3784	0	5504	0	0	0
Stomach-AdenoCA::S.40	2531	0	0	11664	0	5546	17799	0	0	0	0
Stomach-AdenoCA::S.41	611	0	26117	3760	0	9969	14281	0	0	0	0
Stomach-AdenoCA::S.42	2661	0	22856	8575	0	8426	2953	0	0	0	0
Stomach-AdenoCA::S.43	975	0	0	1104	0	1990	3612	0	0	0	0
Stomach-AdenoCA::S.44	1502	1165	0	2950	0	0	0	2151	0	0	4345
Stomach-AdenoCA::S.45	479	1293	0	2539	0	0	2494	6304	0	0	0
Stomach-AdenoCA::S.46	589	0	0	2132	0	0	0	0	0	0	11894
Stomach-AdenoCA::S.47	406	0	0	2780	0	2482	373	0	0	3967	0
Stomach-AdenoCA::S.48	762	0	0	3234	368	0	0	0	0	0	0
Stomach-AdenoCA::S.49	1776	0	0	15621	0	0	14413	0	0	0	0
Stomach-AdenoCA::S.50	612	0	0	6706	0	1040	16769	0	6205	0	0
Stomach-AdenoCA::S.51	1061	0	0	3950	0	0	3281	0	0	0	0
Stomach-AdenoCA::S.52	742	0	0	4310	0	0	2509	0	0	0	0
Stomach-AdenoCA::S.53	1453	0	0	5985	0	6920	0	0	0	7743	0
Stomach-AdenoCA::S.54	1296	0	0	2626	0	0	7656	8852	1744	0	0
Stomach-AdenoCA::S.55	2187	0	0	0	0	0	5142	0	0	13127	0
Stomach-AdenoCA::S.56	1794	0	0	0	0	752	0	5064	0	0	0
Stomach-AdenoCA::S.57	178	1105	0	6716	0	1469	0	2748	0	0	3320
Stomach-AdenoCA::S.58	148	0	0	0	0	0	474	0	0	5955	0
Stomach-AdenoCA::S.59	760	0	0	7502	0	5995	0	0	0	0	0
Stomach-AdenoCA::S.60	964	0	0	7461	0	3836	0	4325	0	0	8945
Stomach-AdenoCA::S.61	1444	0	0	8701	0	0	9690	0	0	0	0
Stomach-AdenoCA::S.62	617	0	0	25017	0	2145	0	0	0	0	0
Stomach-AdenoCA::S.63	440	0	0	1067	1223	0	0	0	0	0	8554
Stomach-AdenoCA::S.64	2047	0	0	21863	0	781	1901	6903	0	0	0
Stomach-AdenoCA::S.65	711	0	0	2520	0	6339	3354	0	0	0	0
Stomach-AdenoCA::S.66	863	0	0	9825	0	0	0	0	0	0	0
