Sample,SBS1,SBS5,SBS10a,SBS10b,SBS15,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40,SBS44
ColoRect-AdenoCA::MSI-H.S.1,3110.5174950232063,23986.54011246934,0.0,0.0,4352.724473158896,0.0,0.0,0.0,0.0,0.0,0.0,32479.227259853775
ColoRect-AdenoCA::MSI-H.S.2,16439.602005762987,21075.918166096508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44695.92865425456
ColoRect-AdenoCA::MSI-H.S.3,14812.130665349014,14320.352565900237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36656.49207044955
ColoRect-AdenoCA::MSI-H.S.4,12587.69248519105,42828.18618909752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39937.43730915577
ColoRect-AdenoCA::MSI-H.S.5,8458.619781309222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88906.33643251058
ColoRect-AdenoCA::MSI-H.S.6,17967.24589083624,42588.051683759295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67922.82203793403
ColoRect-AdenoCA::MSI-H.S.7,26707.173657430878,24677.482550410805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37341.26310068667
ColoRect-AdenoCA::MSI-H.S.8,4284.349292303054,32682.856364092815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14440.741770621367,0.0,59861.60537581883
ColoRect-AdenoCA::MSI-H.S.9,11295.543598128657,36682.68000236754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82123.90345343217
ColoRect-AdenoCA::MSI-H.S.10,8567.448935752589,56192.393090311496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56802.363677993664
ColoRect-AdenoCA::MSI-H.S.11,1107.3267359288873,11185.197553515487,0.0,0.0,1653.5681601179763,0.0,0.0,0.0,0.0,0.0,0.0,8806.631603288812
ColoRect-AdenoCA::MSI-H.S.12,14947.450008254213,43382.42688067915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70151.0030412431
ColoRect-AdenoCA::MSI-H.S.13,13326.917947856111,22811.11261842829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69213.83584097687
ColoRect-AdenoCA::MSI-H.S.14,15356.860691223941,13422.100676560483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25411.042861613536
ColoRect-AdenoCA::MSI-H.S.15,28123.521837312455,44490.73320867856,0.0,0.0,21300.818785814918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.16,9294.37889517785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39431.18133135083,0.0,87337.42771095902
