,Lung-AdenoCA::S.1,Lung-AdenoCA::S.2,Lung-AdenoCA::S.3,Lung-AdenoCA::S.4,Lung-AdenoCA::S.5,Lung-AdenoCA::S.6,Lung-AdenoCA::S.7,Lung-AdenoCA::S.8,Lung-AdenoCA::S.9,Lung-AdenoCA::S.10,Lung-AdenoCA::S.11,Lung-AdenoCA::S.12,Lung-AdenoCA::S.13,Lung-AdenoCA::S.14,Lung-AdenoCA::S.15,Lung-AdenoCA::S.16,Lung-AdenoCA::S.17,Lung-AdenoCA::S.18,Lung-AdenoCA::S.19,Lung-AdenoCA::S.20,Lung-AdenoCA::S.21,Lung-AdenoCA::S.22,Lung-AdenoCA::S.23,Lung-AdenoCA::S.24,Lung-AdenoCA::S.25,Lung-AdenoCA::S.26,Lung-AdenoCA::S.27,Lung-AdenoCA::S.28,Lung-AdenoCA::S.29,Lung-AdenoCA::S.30,Lung-AdenoCA::S.31,Lung-AdenoCA::S.32,Lung-AdenoCA::S.33,Lung-AdenoCA::S.34,Lung-AdenoCA::S.35,Lung-AdenoCA::S.36,Lung-AdenoCA::S.37,Lung-AdenoCA::S.38,Lung-AdenoCA::S.39,Lung-AdenoCA::S.40,Lung-AdenoCA::S.41,Lung-AdenoCA::S.42,Lung-AdenoCA::S.43,Lung-AdenoCA::S.44,Lung-AdenoCA::S.45,Lung-AdenoCA::S.46,Lung-AdenoCA::S.47,Lung-AdenoCA::S.48,Lung-AdenoCA::S.49,Lung-AdenoCA::S.50,Lung-AdenoCA::S.51,Lung-AdenoCA::S.52,Lung-AdenoCA::S.53,Lung-AdenoCA::S.54,Lung-AdenoCA::S.55,Lung-AdenoCA::S.56,Lung-AdenoCA::S.57,Lung-AdenoCA::S.58,Lung-AdenoCA::S.59,Lung-AdenoCA::S.60,Lung-AdenoCA::S.61,Lung-AdenoCA::S.62,Lung-AdenoCA::S.63,Lung-AdenoCA::S.64,Lung-AdenoCA::S.65,Lung-AdenoCA::S.66,Lung-AdenoCA::S.67,Lung-AdenoCA::S.68,Lung-AdenoCA::S.69,Lung-AdenoCA::S.70,Lung-AdenoCA::S.71,Lung-AdenoCA::S.72,Lung-AdenoCA::S.73,Lung-AdenoCA::S.74,Lung-AdenoCA::S.75,Lung-AdenoCA::S.76,Lung-AdenoCA::S.77,Lung-AdenoCA::S.78,Lung-AdenoCA::S.79,Lung-AdenoCA::S.80,Lung-AdenoCA::S.81,Lung-AdenoCA::S.82,Lung-AdenoCA::S.83,Lung-AdenoCA::S.84,Lung-AdenoCA::S.85,Lung-AdenoCA::S.86,Lung-AdenoCA::S.87,Lung-AdenoCA::S.88,Lung-AdenoCA::S.89,Lung-AdenoCA::S.90,Lung-AdenoCA::S.91,Lung-AdenoCA::S.92,Lung-AdenoCA::S.93,Lung-AdenoCA::S.94,Lung-AdenoCA::S.95,Lung-AdenoCA::S.96,Lung-AdenoCA::S.97,Lung-AdenoCA::S.98,Lung-AdenoCA::S.99,Lung-AdenoCA::S.100
SBS1,0.0,434.3686554673323,701.913618220402,0.0,316.54753221837507,885.9019388663496,0.0,315.0662091269951,481.54744407377973,430.2785368001544,960.2805640148023,855.0040386922857,0.0,0.0,812.046037443718,462.5397711504083,0.0,0.0,614.4439490125455,119.1866480561883,602.6105105823996,0.0,468.10583488532046,1671.31004188239,603.1403959198856,1855.0442687627692,642.9872081428804,387.44425534314615,824.4894980536329,0.0,554.2510114066554,573.8903656878718,338.08835503622345,415.31681910355405,151.97237570980926,1032.2407583302122,0.0,540.4239846809803,117.0014356959654,561.08482605058,0.0,452.0234914152956,346.30488927240435,0.0,1135.702389540793,227.230651968411,481.23326417947794,0.0,0.0,47.52548018693371,500.49975604812596,283.15005980961774,1246.1190091666213,918.2181393441216,0.0,525.3142082649003,0.0,619.7883464954382,189.58526237144565,789.715163689749,397.5984239114736,911.2552407078713,0.0,0.0,292.2188377022617,325.05104767109134,176.74637054618253,1366.376073486254,417.4440022722017,770.9822895323613,596.5231833532122,156.1028637982325,163.42340997037556,551.2532487975321,958.9515880479934,280.3661653085743,0.0,147.9372632459539,1051.9644557297383,168.75031975658285,0.0,0.0,209.46893635529017,795.6164345445421,418.130237346048,292.54639748041177,515.7528285101256,0.0,316.36337997275695,730.3631409383584,779.2161419273492,219.52621186147695,574.0466226642045,710.6528590007739,399.91854764282346,518.4143746311512,592.0741456488541,665.4480997528236,379.66236607100757,0.0
SBS2,5220.623615474114,3568.2294062825026,1837.4278336291852,1155.0416515913741,4041.843155401811,0.0,0.0,0.0,0.0,1179.7227545523729,3031.440077562407,0.0,2187.1170494449875,2360.302768097617,3963.282747755263,2799.1523374577796,4456.130604351085,0.0,4753.8765551982215,0.0,211.81848092281732,0.0,430.31904173389205,0.0,2658.2858190261754,0.0,0.0,5412.15690173003,0.0,0.0,0.0,2425.3840021778483,3325.7681378194548,0.0,0.0,0.0,0.0,3579.7097161202014,0.0,481.8462721877463,0.0,3590.2501909501493,0.0,6253.3421503584,409.0897914346381,977.913537144078,3090.8894857309137,12900.288997520323,4336.340266842591,395.83138698332743,637.8229030285686,5920.364635503836,1625.9579711460299,737.4282153649675,0.0,3051.0030753844026,0.0,0.0,9280.736937061876,0.0,802.8581799202616,0.0,0.0,1450.9143989464542,4430.976951127836,1935.7489925341863,9855.640886974636,817.5702891842311,5787.375732701312,0.0,0.0,1364.0440160519474,0.0,10193.06454034557,0.0,0.0,2731.713671434881,0.0,0.0,0.0,0.0,0.0,0.0,1513.4792041721885,3979.9919059058584,0.0,52.42372608283113,0.0,0.0,0.0,0.0,3241.883271034264,2521.790767561352,0.0,4405.146908899267,0.0,0.0,0.0,0.0,2464.9523604254537
SBS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11787.485523917589,0.0,7110.207029887132,0.0,0.0,0.0,2017.7579125553962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.3044329695545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3172.5763353939674,0.0,0.0,4703.636226315088,0.0,0.0,0.0,0.0,2972.389657618932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15862.769743926321,0.0,649.9894715794437,0.0,0.0,0.0,0.0,5369.821551779325,0.0,0.0,0.0,0.0,0.0,4051.931739816834,10068.295723692949,4031.306254135103,0.0,1746.970163333548,0.0,3982.9267658799163,0.0,0.0,0.0,0.0,4728.267939169467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS4,126696.9313523751,0.0,0.0,0.0,10063.50916940173,40566.68788837817,50765.22320590244,78458.42879763119,0.0,42335.55320239707,0.0,0.0,27839.964846431816,0.0,7218.451732963344,0.0,18214.371739813745,26214.789673577652,0.0,14954.445227661981,0.0,83229.58558678969,0.0,111651.29596814144,22364.338140209515,0.0,65692.09550140052,54503.944556566756,0.0,22051.345500701627,29146.97396024081,0.0,0.0,0.0,3734.2128724159315,0.0,0.0,32849.09084089641,0.0,0.0,9848.933281462214,0.0,0.0,38640.12962453858,0.0,0.0,30108.963584566314,0.0,0.0,0.0,0.0,431.64995790042485,9463.369824285317,23001.066562941072,53617.51121781118,123361.76494492294,0.0,0.0,581.4538347245802,122183.57313265193,12010.143142486768,22211.43196504424,0.0,31664.336860915028,8293.857189312006,13336.566075501778,0.0,87794.28636049222,17224.734445413855,11127.899946375679,0.0,0.0,23527.596187095784,20171.718770999276,15774.597062211506,0.0,46360.30903608676,0.0,304.8481029246329,0.0,23688.2592250288,12966.614849620084,0.0,54095.537135710874,7701.448955269932,17045.22742919538,0.0,11944.217077207057,25264.834314609998,0.0,2181.7514823654737,39338.15399666427,50050.88571491781,1778.3185628566741,7458.843618708646,51161.85990523459,0.0,0.0,29551.000523681032,1009.1905355291623
SBS5,36009.06961510242,11206.250734682337,22357.370703590583,6131.7397457385,0.0,3231.1146399909885,7842.197022003857,0.0,8806.88653320103,0.0,1141.0520087037328,0.0,15902.96685438095,28692.648305430488,15238.02851499528,5401.574472798307,19839.11494024222,7132.505107920679,5108.859354597228,0.0,5906.081667361342,7379.188977126338,9730.673957770894,3535.857254959272,0.0,16309.374625389806,2185.94244059262,5948.935644391997,2635.469381553566,11858.044718799676,0.0,18053.528116045563,10697.098116766909,16363.418275682692,0.0,4157.640286218869,17380.2373688396,0.0,4637.381710498769,34870.32582224154,31688.013409141935,7778.894024835197,10645.361747405632,24952.521341897685,5990.844580585908,4055.2897677337414,3633.6360031942586,6298.675846913284,18672.105169558483,0.0,7202.495726641975,11038.128319826237,2882.2147151738873,2315.44407257451,0.0,0.0,1760.5820240353878,6636.555268463945,0.0,0.0,24249.460483796487,4881.740362524481,18040.013271260003,23523.068775487285,1897.5454858729881,8925.784678768818,13784.58710972678,0.0,7342.3521162495035,0.0,1235.3991188882692,2629.0776492829023,3966.0867251651525,15126.97649508525,48391.66183645561,890.8088006852613,0.0,5334.317839169142,6706.996891470039,2121.5604086108274,10076.201571166486,3009.881436197015,4745.406980592741,0.0,5335.6358003910045,2162.3128196416237,0.0,967.9456842631726,0.0,7855.784107368843,1515.559834417038,5728.216463460354,2724.35800598294,0.0,0.0,0.0,25368.245340330195,4939.998866811904,0.0,23200.484609111816
SBS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.6598620335847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.7597470794586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS13,1152.9389460564626,0.0,2834.048874377444,271.13766783657917,0.0,0.0,0.0,0.0,5713.7617026378775,3868.1451829049947,0.0,0.0,0.0,4460.795051130089,4399.782236187265,70.34447405706825,0.0,0.0,0.0,2251.2650757508245,0.0,715.602406558032,260.6030295198948,0.0,0.0,0.0,4005.079294396711,0.0,0.0,2284.562951314623,0.0,5699.137517793278,0.0,0.0,0.0,6326.607552184383,963.9105867187305,0.0,0.0,1566.916420313434,0.0,0.0,0.0,0.0,647.978576826295,12369.88667985595,0.0,0.0,4715.830885024699,4641.578894983531,438.201419651929,0.0,0.0,0.0,1068.4406944880607,19102.93221313849,3473.1939634190367,0.0,0.0,0.0,0.0,1321.689691537118,1517.9070532408023,0.0,1713.8947594521856,2478.2044124814847,0.0,3610.7411586354174,1295.810638894688,424.8707322506979,2058.0965616019407,2497.4359707839685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841.8137812365906,6473.165319672549,0.0,1251.3833128120573,0.0,2680.694256528688,0.0,0.0,0.0,35.21252404220603,0.0,0.0,3370.0581792123276,0.0,0.0,10063.660255428633,84.64629073226294,0.0,524.8359673357182
SBS17a,0.0,0.0,0.0,120.01108248507329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.7777623140462,1114.1814116726696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.8361084823318,0.0,813.0213122485637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1651.5502880900829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.1006061995256,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0136981043461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.71993303692267,4137.86216445497,0.0,3103.4626816273453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2446.236085471049,0.0,0.0,0.0,0.0,0.0,0.0,128.57955655305756,0.0,670.2255631978928,0.0,0.0,1848.4927912356495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.90357068388107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.1667107127582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4896.816556843046
SBS18,0.0,0.0,2971.195311529692,0.0,0.0,0.0,0.0,0.0,4786.79433602969,0.0,3307.093072800582,0.0,8314.66385921717,0.0,0.0,0.0,4114.500063765936,0.0,0.0,0.0,0.0,0.0,0.0,6891.3923219138815,0.0,4702.08949361111,7762.093796703695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.1501769859974,0.0,0.0,3007.916923349374,0.0,0.0,0.0,0.0,1441.3836242672123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3845.948026241865,0.0,0.0,0.0,0.0,424.6126206731003,0.0,0.0,0.0,0.0,4367.893274288139,0.0,0.0,0.0,0.0,0.0,3601.126751235299,0.0,0.0,0.0,0.0,0.0,0.0,35.241291254151605,0.0,0.0,0.0,0.0,2834.481690604371,2622.6410111307796,0.0,9193.916766230734,2452.2129597798294,0.0,356.6170319158459,0.0,0.0,117.39539565865425,0.0,0.0,0.0,0.0,1909.3984542627131,0.0,0.0,507.97750311324415,0.0,0.0
