,SBS1,SBS5,SBS10a,SBS10b,SBS15,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40,SBS44
ColoRect-AdenoCA::MSI-H.S.1,9535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9114.0,35140.0
ColoRect-AdenoCA::MSI-H.S.2,19571.0,13996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48211.0
ColoRect-AdenoCA::MSI-H.S.3,15242.0,14625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48456.0
ColoRect-AdenoCA::MSI-H.S.4,10800.0,55757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31482.0
ColoRect-AdenoCA::MSI-H.S.5,6964.0,38046.0,0.0,0.0,4340.0,0.0,0.0,0.0,0.0,0.0,0.0,59679.0
ColoRect-AdenoCA::MSI-H.S.6,20953.0,43645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61668.0
ColoRect-AdenoCA::MSI-H.S.7,24673.0,22964.0,0.0,2245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38954.0
ColoRect-AdenoCA::MSI-H.S.8,4979.0,42123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10008.0,0.0,64017.0
ColoRect-AdenoCA::MSI-H.S.9,11654.0,34836.0,0.0,0.0,6414.0,0.0,0.0,0.0,0.0,0.0,0.0,73770.0
ColoRect-AdenoCA::MSI-H.S.10,10244.0,62716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43135.0
ColoRect-AdenoCA::MSI-H.S.11,2646.0,12021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8298.0
ColoRect-AdenoCA::MSI-H.S.12,17348.0,52425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61163.0
ColoRect-AdenoCA::MSI-H.S.13,15405.0,0.0,0.0,1716.0,0.0,0.0,0.0,0.0,0.0,0.0,11324.0,54885.0
ColoRect-AdenoCA::MSI-H.S.14,19409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305.0,34359.0
ColoRect-AdenoCA::MSI-H.S.15,51721.0,27229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21538.0
ColoRect-AdenoCA::MSI-H.S.16,4739.0,34367.0,0.0,0.0,20787.0,0.0,0.0,0.0,0.0,26306.0,0.0,69889.0
