,SBS1,SBS2,SBS3,SBS5,SBS8,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS37,SBS40,SBS41
Breast-AdenoCA::S.1,580.0,0.0,0.0,0.0,0.0,0.0,3559.0,0.0,0.0,1701.0,0.0,0.0,0.0
Breast-AdenoCA::S.2,246.0,260.0,5661.0,2763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.3,248.0,444.0,0.0,683.0,0.0,0.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.4,425.0,713.0,5579.0,1629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.5,378.0,0.0,0.0,1803.0,0.0,0.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.6,906.0,6001.0,5994.0,0.0,0.0,0.0,1371.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.7,272.0,176.0,0.0,2863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.8,655.0,378.0,1795.0,1266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.9,0.0,0.0,4364.0,2823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4501.0,0.0
Breast-AdenoCA::S.10,234.0,878.0,3105.0,1112.0,0.0,0.0,317.0,0.0,0.0,438.0,0.0,0.0,0.0
Breast-AdenoCA::S.11,348.0,93.0,0.0,1683.0,0.0,0.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.12,804.0,488.0,1335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.13,374.0,2777.0,0.0,0.0,0.0,0.0,2110.0,0.0,0.0,0.0,0.0,0.0,1287.0
Breast-AdenoCA::S.14,254.0,247.0,0.0,4321.0,0.0,0.0,1507.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.15,910.0,6505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.16,308.0,0.0,0.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.17,648.0,130.0,0.0,1479.0,0.0,0.0,0.0,0.0,0.0,616.0,0.0,0.0,0.0
Breast-AdenoCA::S.18,170.0,0.0,0.0,2060.0,0.0,0.0,383.0,0.0,0.0,1270.0,0.0,0.0,0.0
Breast-AdenoCA::S.19,220.0,0.0,0.0,3419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.20,195.0,0.0,2284.0,1033.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.21,264.0,852.0,0.0,3769.0,0.0,0.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.22,96.0,0.0,0.0,2264.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.23,298.0,979.0,3841.0,2965.0,0.0,0.0,2230.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.24,620.0,3601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.0,0.0,0.0,0.0
Breast-AdenoCA::S.25,564.0,1250.0,0.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.26,282.0,1606.0,0.0,1790.0,0.0,0.0,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.27,1037.0,1266.0,2940.0,0.0,0.0,0.0,1427.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.28,584.0,470.0,3980.0,0.0,0.0,0.0,2504.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.29,510.0,263.0,0.0,4655.0,0.0,0.0,986.0,0.0,0.0,0.0,0.0,0.0,621.0
Breast-AdenoCA::S.30,0.0,722.0,0.0,4437.0,0.0,0.0,4933.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.31,468.0,339.0,0.0,2049.0,0.0,0.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.32,287.0,0.0,0.0,2589.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0
Breast-AdenoCA::S.33,528.0,0.0,0.0,1150.0,0.0,0.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.34,578.0,0.0,0.0,3196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.35,126.0,0.0,0.0,1483.0,0.0,0.0,97.0,0.0,0.0,300.0,0.0,0.0,0.0
Breast-AdenoCA::S.36,0.0,573.0,4218.0,2527.0,0.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.37,294.0,2810.0,3676.0,2090.0,0.0,0.0,291.0,0.0,0.0,913.0,0.0,0.0,0.0
Breast-AdenoCA::S.38,848.0,149.0,0.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.39,0.0,0.0,3421.0,2743.0,0.0,7622.0,3377.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.40,418.0,249.0,0.0,1782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.41,412.0,0.0,9616.0,4450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.42,435.0,0.0,0.0,4211.0,0.0,0.0,0.0,0.0,0.0,643.0,0.0,0.0,0.0
Breast-AdenoCA::S.43,197.0,0.0,2587.0,1193.0,0.0,0.0,776.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.44,0.0,5157.0,0.0,4527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.45,674.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.46,357.0,830.0,5740.0,3184.0,0.0,0.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.47,1345.0,266.0,6073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.48,445.0,405.0,0.0,2442.0,0.0,0.0,2138.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.49,0.0,8428.0,0.0,0.0,0.0,0.0,4672.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.50,393.0,2449.0,8779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.0
Breast-AdenoCA::S.51,201.0,526.0,0.0,3440.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.52,421.0,4389.0,6688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.53,356.0,0.0,0.0,1863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.54,409.0,3281.0,11244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.55,535.0,2958.0,5301.0,0.0,0.0,0.0,1059.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.56,346.0,171.0,0.0,949.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.57,271.0,581.0,0.0,1885.0,0.0,0.0,1121.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.58,683.0,0.0,9204.0,0.0,0.0,0.0,5857.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.59,518.0,0.0,0.0,2330.0,0.0,0.0,2931.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.60,0.0,1217.0,0.0,0.0,0.0,0.0,14631.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.61,597.0,646.0,0.0,3322.0,0.0,0.0,2103.0,0.0,4162.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.62,176.0,0.0,0.0,898.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.63,479.0,446.0,3504.0,6238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.64,0.0,1652.0,0.0,3332.0,0.0,0.0,2651.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.65,0.0,896.0,0.0,0.0,0.0,0.0,4338.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.66,412.0,1475.0,0.0,1648.0,0.0,0.0,1498.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.67,612.0,880.0,7755.0,0.0,0.0,0.0,3414.0,0.0,0.0,0.0,0.0,0.0,0.0
