Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Ovary-AdenoCA::S.1	6576	0.965	1551.364	23.591%	210.371	26.057%	0.04566	0.883
Ovary-AdenoCA::S.2	10199	0.986	1476.08	14.473%	212.504	16.853%	0.02033	0.954
Ovary-AdenoCA::S.3	14189	0.979	2638.601	18.596%	355.625	20.634%	0.02778	0.926
Ovary-AdenoCA::S.4	10167	0.969	2079.374	20.452%	313.841	24.811%	0.03403	0.903
Ovary-AdenoCA::S.5	7060	0.98	1334.926	18.908%	226.191	20.003%	0.03242	0.966
Ovary-AdenoCA::S.6	14820	0.955	3591.429	24.234%	552.605	29.701%	0.0499	0.861
Ovary-AdenoCA::S.7	4893	0.974	1039.765	21.25%	146.446	22.451%	0.0348	0.937
Ovary-AdenoCA::S.8	7591	0.95	2203.006	29.021%	460.09	31.704%	0.07	0.93
Ovary-AdenoCA::S.9	5769	0.975	1320.115	22.883%	188.576	22.178%	0.04514	0.952
Ovary-AdenoCA::S.10	8807	0.971	1800.901	20.449%	261.065	24.054%	0.03323	0.903
Ovary-AdenoCA::S.11	6279	0.973	1332.967	21.229%	170.755	22.906%	0.03488	0.894
Ovary-AdenoCA::S.12	6959	0.97	1666.11	23.942%	221.722	24.431%	0.04295	0.92
Ovary-AdenoCA::S.13	6455	0.966	1459.622	22.612%	196.272	25.725%	0.03817	0.86
Ovary-AdenoCA::S.14	11417	0.986	1679.708	14.712%	222.592	16.39%	0.01808	0.948
Ovary-AdenoCA::S.15	10035	0.967	2127.915	21.205%	303.376	25.373%	0.03865	0.871
Ovary-AdenoCA::S.16	10649	0.979	1826.899	17.156%	255.381	20.663%	0.02345	0.903
Ovary-AdenoCA::S.17	9106	0.974	1768.106	19.417%	245.459	22.602%	0.0292	0.9
Ovary-AdenoCA::S.18	9645	0.962	2355.989	24.427%	337.304	28.728%	0.04574	0.894
Ovary-AdenoCA::S.19	9457	0.972	2027.362	21.438%	278.968	23.534%	0.04066	0.916
Ovary-AdenoCA::S.20	14050	0.973	2832.322	20.159%	378.618	22.993%	0.03208	0.888
Ovary-AdenoCA::S.21	5596	0.978	1024.64	18.31%	139.411	20.66%	0.02701	0.922
Ovary-AdenoCA::S.22	10208	0.966	2129.728	20.863%	327.489	25.836%	0.03739	0.894
Ovary-AdenoCA::S.23	12260	0.971	2480.773	20.235%	348.397	24.043%	0.03105	0.879
Ovary-AdenoCA::S.24	5723	0.958	1317.521	23.022%	206.782	28.656%	0.04571	0.874
Ovary-AdenoCA::S.25	11828	0.976	2071.177	17.511%	305.227	21.857%	0.02669	0.901
Ovary-AdenoCA::S.26	15671	0.97	3339.614	21.311%	449.376	24.505%	0.03865	0.867
Ovary-AdenoCA::S.27	13672	0.967	3165.022	23.15%	423.272	25.536%	0.03992	0.885
Ovary-AdenoCA::S.28	5786	0.984	1048.843	18.127%	162.409	17.896%	0.02562	0.972
Ovary-AdenoCA::S.29	3408	0.963	865.769	25.404%	156.239	27.031%	0.05285	0.942
Ovary-AdenoCA::S.30	8042	0.957	2001.549	24.889%	290.067	29.195%	0.04937	0.858
