Samples	DBS2	DBS4	DBS6	DBS7	DBS9	DBS11
Kidney-RCC::S.1	103	0	0	0	0	0
Kidney-RCC::S.2	10	15	0	0	52	0
Kidney-RCC::S.3	46	25	0	0	58	0
Kidney-RCC::S.4	16	0	0	0	57	0
Kidney-RCC::S.5	30	22	0	0	71	0
Kidney-RCC::S.6	19	28	0	0	53	0
Kidney-RCC::S.7	45	30	0	0	0	0
Kidney-RCC::S.8	165	0	0	0	0	0
Kidney-RCC::S.9	2	0	0	0	0	0
Kidney-RCC::S.10	27	81	0	0	97	0
Kidney-RCC::S.11	0	0	0	0	82	0
Kidney-RCC::S.12	73	45	0	0	0	0
Kidney-RCC::S.13	55	46	0	0	0	0
Kidney-RCC::S.14	31	0	48	0	0	0
Kidney-RCC::S.15	0	0	0	0	61	0
Kidney-RCC::S.16	14	20	0	0	123	0
Kidney-RCC::S.17	22	48	0	0	64	0
Kidney-RCC::S.18	39	0	0	0	0	0
Kidney-RCC::S.19	36	28	0	0	38	0
Kidney-RCC::S.20	104	25	0	0	0	0
Kidney-RCC::S.21	0	105	0	0	174	0
Kidney-RCC::S.22	0	76	0	0	71	0
Kidney-RCC::S.23	59	0	0	0	55	0
Kidney-RCC::S.24	30	59	0	0	0	0
Kidney-RCC::S.25	35	0	0	0	106	0
Kidney-RCC::S.26	0	0	0	0	108	0
Kidney-RCC::S.27	16	0	0	0	119	0
Kidney-RCC::S.28	29	0	0	0	130	0
Kidney-RCC::S.29	0	32	32	31	0	0
Kidney-RCC::S.30	9	21	0	0	49	0
Kidney-RCC::S.31	0	0	0	0	158	0
Kidney-RCC::S.32	105	0	0	0	115	0
Kidney-RCC::S.33	41	0	0	0	31	0
Kidney-RCC::S.34	0	42	0	0	112	0
Kidney-RCC::S.35	92	0	0	0	82	0
Kidney-RCC::S.36	176	105	0	0	0	0
Kidney-RCC::S.37	0	69	0	0	0	0
Kidney-RCC::S.38	49	0	0	0	76	0
Kidney-RCC::S.39	10	0	0	0	82	0
Kidney-RCC::S.40	104	36	0	0	0	0
Kidney-RCC::S.41	0	0	0	0	121	0
Kidney-RCC::S.42	0	0	0	103	250	0
Kidney-RCC::S.43	21	0	0	0	119	0
Kidney-RCC::S.44	0	103	0	0	200	0
Kidney-RCC::S.45	55	35	0	0	121	0
Kidney-RCC::S.46	0	172	0	0	0	0
Kidney-RCC::S.47	28	0	0	0	56	0
Kidney-RCC::S.48	34	210	0	0	0	0
Kidney-RCC::S.49	41	0	0	0	125	0
Kidney-RCC::S.50	127	0	0	0	0	0
Kidney-RCC::S.51	26	28	0	0	0	0
Kidney-RCC::S.52	54	28	0	0	84	0
Kidney-RCC::S.53	0	59	0	0	0	0
Kidney-RCC::S.54	35	0	44	0	60	0
Kidney-RCC::S.55	87	0	0	0	108	0
Kidney-RCC::S.56	0	214	0	0	0	0
Kidney-RCC::S.57	0	17	0	0	104	0
Kidney-RCC::S.58	0	42	0	0	53	0
Kidney-RCC::S.59	0	74	0	0	115	0
Kidney-RCC::S.60	132	0	0	90	0	0
Kidney-RCC::S.61	49	0	0	0	197	0
Kidney-RCC::S.62	8	0	0	0	0	0
Kidney-RCC::S.63	0	0	0	0	199	0
Kidney-RCC::S.64	71	123	0	0	139	0
Kidney-RCC::S.65	31	0	0	0	94	0
Kidney-RCC::S.66	0	0	0	85	63	0
Kidney-RCC::S.67	0	0	0	0	87	0
Kidney-RCC::S.68	17	66	0	36	0	0
Kidney-RCC::S.69	0	174	0	0	0	0
Kidney-RCC::S.70	0	0	0	0	99	0
Kidney-RCC::S.71	0	27	0	0	122	0
Kidney-RCC::S.72	0	46	0	0	94	0
Kidney-RCC::S.73	0	79	0	0	0	0
Kidney-RCC::S.74	73	0	0	0	186	0
Kidney-RCC::S.75	17	0	0	125	54	0
Kidney-RCC::S.76	39	0	0	0	0	0
Kidney-RCC::S.77	0	60	0	0	142	0
Kidney-RCC::S.78	23	47	0	0	54	0
Kidney-RCC::S.79	0	173	0	0	0	0
Kidney-RCC::S.80	0	124	0	158	0	0
Kidney-RCC::S.81	18	67	0	0	0	0
Kidney-RCC::S.82	55	0	0	0	208	0
Kidney-RCC::S.83	37	27	0	0	0	0
Kidney-RCC::S.84	20	0	0	0	114	0
Kidney-RCC::S.85	13	0	0	0	64	0
Kidney-RCC::S.86	76	0	0	0	102	0
Kidney-RCC::S.87	71	0	0	0	91	0
Kidney-RCC::S.88	59	27	0	0	0	0
Kidney-RCC::S.89	0	0	0	73	35	0
Kidney-RCC::S.90	0	0	0	0	52	0
Kidney-RCC::S.91	36	48	0	0	42	0
Kidney-RCC::S.92	0	100	0	183	0	0
Kidney-RCC::S.93	39	0	0	64	74	0
Kidney-RCC::S.94	8	10	0	0	0	0
Kidney-RCC::S.95	64	0	0	0	100	0
Kidney-RCC::S.96	114	48	0	0	0	0
Kidney-RCC::S.97	18	39	0	0	86	0
