MutationType	DBS2	DBS3	DBS4	DBS6	DBS7	DBS8	DBS9	DBS10
AC>CA	0.000374079	0.006347323	0.004141857	0.002660571	0.045880132	0.214923552	0.024591818	0.009630417
AC>CG	3.17e-05	4.65e-05	4.96e-05	0.000146031	0.006247295	0.000972654	0.002069312	1.77e-05
AC>CT	0.000126027	0.003018727	8.32e-18	0.000240052	0.013594113	0.317886928	0.028490521	0.013500585
AC>GA	0.00023705	0.005847534	0.004401974	0.008581841	0.009725788	0.001159588	0.025291585	0.005350232
AC>GG	4.17e-18	0.00044981	7.01e-18	0.000104022	0.002538901	0.000809712	0.007127629	0.000590026
AC>GT	0.000280059	0.010095742	1.12e-08	0.000132028	0.004498052	0.000150946	0.012095976	0.028701244
AC>TA	0.001480313	0.001009574	0.00127057	0.010102168	0.005417654	0.012395591	0.041186297	0.000105005
AC>TG	6.36e-06	1.11e-17	5.31e-05	0.000449096	0.000997568	0.002569086	0.017894047	7.66e-06
AC>TT	0.002920618	1.78e-06	0.000161072	0.003180682	0.001179489	0.000267905	0.044385233	0.000710031
AT>CA	3.78e-05	0.007037032	0.000916411	0.000114024	0.011095195	2.78e-05	0.012695776	0.003530153
AT>CC	4.17e-18	0.009076172	7e-18	6.39e-05	0.00625729	0.000142949	0.001779408	0.00116005
AT>CG	4.17e-18	0.014593845	9.46e-18	1.82e-06	0.00110952	0.000265905	9.22e-18	0.002590112
AT>GA	0.000168036	0.001809237	0.000324145	0.001620348	0.014393767	0.000161942	0.006367881	8.06e-05
AT>GC	5.85e-06	0.005247787	1.76e-05	1.72e-05	0.009285979	0.00022592	0.001809398	0.004080177
AT>TA	0.000458097	0.002349009	0.004532032	0.002200472	0.033985283	0.000314888	0.00919694	0.002930127
CC>AA	0.724153238	0.009086168	7e-18	8.3e-18	9.04e-18	0.038086453	9.02e-18	0.013700594
CC>AG	0.072615366	1.11e-17	0.005432436	0.06161322	8.3e-05	0.015494489	0.02639122	7.13e-05
CC>AT	0.100021165	0.005887517	0.015707044	0.000438094	0.000851631	0.028789759	0.019493515	0.010500455
CC>GA	0.017703746	0.000634732	0.003551593	0.035507619	0.000301869	0.000808712	0.010996342	0.003390147
CC>GG	0.000450095	7.25e-05	7.3e-05	0.018103885	0.002049113	5.6e-05	0.003058982	7.41e-18
CC>GT	0.001100233	1.14e-17	7.99e-05	0.003440738	0.000162929	0.000228919	0.017894047	0.001080047
CC>TA	0.016003386	0.020791232	0.000170076	0.002220476	9.04e-18	0.000715745	0.000686772	0.023901036
CC>TG	0.00023705	2.9e-05	8.3e-06	0.006871474	0.000235898	0.004208503	0.015494845	7.41e-18
CC>TT	4.17e-18	1.11e-17	7e-18	8.3e-18	9.04e-18	0.004378443	9.02e-18	0.020600893
CG>AT	0.001150243	0.00028388	0.00029013	0.007541618	6.21e-05	0.000321886	0.000218927	7.41e-18
CG>GC	0.000369078	1.11e-17	5.1e-06	0.000590127	0.000186919	1.13e-17	1.2e-05	1.9e-05
CG>GT	0.001280271	1.11e-17	7e-18	0.003220691	2.07e-05	0.00120957	9.94e-05	1.02e-05
CG>TA	4.17e-18	0.097858731	7e-18	8.3e-18	9.04e-18	0.00050582	9.02e-18	0.358015516
