,SBS1,SBS2,SBS4,SBS5,SBS12,SBS13,SBS18,SBS22a,SBS22b,SBS40a,SBS40b,SBS40c
Kidney-RCC::S.1,241.0,0.0,968.0,1071.0,0.0,0.0,270.0,0.0,0.0,1399.0,1395.0,0.0
Kidney-RCC::S.2,289.0,0.0,729.0,0.0,0.0,0.0,0.0,267.0,1077.0,594.0,1538.0,0.0
Kidney-RCC::S.3,157.0,0.0,1041.0,0.0,0.0,114.0,0.0,0.0,0.0,1341.0,771.0,0.0
Kidney-RCC::S.4,332.0,0.0,0.0,0.0,407.0,0.0,0.0,0.0,0.0,3229.0,1749.0,0.0
Kidney-RCC::S.5,205.0,0.0,0.0,0.0,402.0,0.0,0.0,0.0,5002.0,2053.0,1238.0,621.0
Kidney-RCC::S.6,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,669.0,0.0
Kidney-RCC::S.7,121.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,1885.0,726.0,0.0
Kidney-RCC::S.8,0.0,98.0,781.0,0.0,443.0,49.0,0.0,127.0,0.0,1442.0,2113.0,460.0
Kidney-RCC::S.9,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,2019.0,1531.0,0.0
Kidney-RCC::S.10,240.0,0.0,618.0,0.0,0.0,59.0,0.0,0.0,0.0,1349.0,382.0,0.0
Kidney-RCC::S.11,134.0,0.0,969.0,0.0,0.0,0.0,144.0,0.0,0.0,3158.0,606.0,0.0
Kidney-RCC::S.12,155.0,0.0,747.0,0.0,645.0,62.0,0.0,0.0,0.0,1692.0,406.0,0.0
Kidney-RCC::S.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,2245.0,926.0,0.0
Kidney-RCC::S.14,69.0,0.0,532.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,1042.0,0.0
Kidney-RCC::S.15,242.0,0.0,369.0,0.0,0.0,0.0,0.0,466.0,5037.0,1914.0,1240.0,1178.0
Kidney-RCC::S.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1355.0,1486.0,0.0
Kidney-RCC::S.17,147.0,0.0,1999.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0
Kidney-RCC::S.18,54.0,0.0,547.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,582.0,0.0
