MutationType	Liver-HCC::S.1	Liver-HCC::S.2	Liver-HCC::S.3	Liver-HCC::S.4	Liver-HCC::S.5	Liver-HCC::S.6	Liver-HCC::S.7	Liver-HCC::S.8	Liver-HCC::S.9	Liver-HCC::S.10	Liver-HCC::S.11	Liver-HCC::S.12	Liver-HCC::S.13	Liver-HCC::S.14	Liver-HCC::S.15	Liver-HCC::S.16	Liver-HCC::S.17	Liver-HCC::S.18	Liver-HCC::S.19	Liver-HCC::S.20	Liver-HCC::S.21	Liver-HCC::S.22	Liver-HCC::S.23	Liver-HCC::S.24	Liver-HCC::S.25	Liver-HCC::S.26	Liver-HCC::S.27	Liver-HCC::S.28	Liver-HCC::S.29	Liver-HCC::S.30	Liver-HCC::S.31	Liver-HCC::S.32	Liver-HCC::S.33	Liver-HCC::S.34	Liver-HCC::S.35	Liver-HCC::S.36	Liver-HCC::S.37	Liver-HCC::S.38	Liver-HCC::S.39	Liver-HCC::S.40	Liver-HCC::S.41	Liver-HCC::S.42	Liver-HCC::S.43	Liver-HCC::S.44	Liver-HCC::S.45	Liver-HCC::S.46	Liver-HCC::S.47	Liver-HCC::S.48	Liver-HCC::S.49	Liver-HCC::S.50	Liver-HCC::S.51	Liver-HCC::S.52	Liver-HCC::S.53	Liver-HCC::S.54	Liver-HCC::S.55	Liver-HCC::S.56	Liver-HCC::S.57	Liver-HCC::S.58	Liver-HCC::S.59	Liver-HCC::S.60	Liver-HCC::S.61	Liver-HCC::S.62	Liver-HCC::S.63	Liver-HCC::S.64	Liver-HCC::S.65	Liver-HCC::S.66	Liver-HCC::S.67	Liver-HCC::S.68	Liver-HCC::S.69	Liver-HCC::S.70	Liver-HCC::S.71	Liver-HCC::S.72	Liver-HCC::S.73	Liver-HCC::S.74	Liver-HCC::S.75	Liver-HCC::S.76	Liver-HCC::S.77	Liver-HCC::S.78	Liver-HCC::S.79	Liver-HCC::S.80	Liver-HCC::S.81	Liver-HCC::S.82	Liver-HCC::S.83	Liver-HCC::S.84	Liver-HCC::S.85	Liver-HCC::S.86	Liver-HCC::S.87	Liver-HCC::S.88	Liver-HCC::S.89	Liver-HCC::S.90	Liver-HCC::S.91	Liver-HCC::S.92	Liver-HCC::S.93	Liver-HCC::S.94	Liver-HCC::S.95	Liver-HCC::S.96	Liver-HCC::S.97	Liver-HCC::S.98	Liver-HCC::S.99
AC>CA	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1
AC>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC>CT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
AC>GA	0	0	0	0	0	1	0	2	0	0	0	3	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
AC>GG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC>GT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
AC>TA	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	4	1	0	2	0	0	0	0	1	0	1	2	0	0	0	1	1	0	0	2	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	3	1	0	1	0	1	1
AC>TG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC>TT	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	4	0	5	1	0	0	0	1	0	0	4	0	1	2	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	2	0	0	0	0	4	0	4	1	0	0	0	0	0	2	0	0	1	1	3	0	0	0	1	2
AT>CA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
