MutationType	Liver-HCC::MSI-H.S.1
1:Del:C:0	61
1:Del:C:1	10
1:Del:C:2	0
1:Del:C:3	27
1:Del:C:4	35
1:Del:C:5	274
1:Del:T:0	60
1:Del:T:1	0
1:Del:T:2	64
1:Del:T:3	74
1:Del:T:4	445
1:Del:T:5	5002
1:Ins:C:0	0
1:Ins:C:1	1
1:Ins:C:2	0
1:Ins:C:3	16
1:Ins:C:4	46
1:Ins:C:5	438
1:Ins:T:0	29
1:Ins:T:1	0
1:Ins:T:2	4
1:Ins:T:3	30
1:Ins:T:4	175
1:Ins:T:5	16593
2:Del:R:0	8
2:Del:R:1	66
2:Del:R:2	20
2:Del:R:3	12
2:Del:R:4	10
2:Del:R:5	0
3:Del:R:0	3
3:Del:R:1	99
3:Del:R:2	26
3:Del:R:3	4
3:Del:R:4	0
3:Del:R:5	0
4:Del:R:0	0
4:Del:R:1	37
4:Del:R:2	7
4:Del:R:3	0
4:Del:R:4	0
4:Del:R:5	1
5:Del:R:0	0
5:Del:R:1	48
5:Del:R:2	3
5:Del:R:3	0
5:Del:R:4	0
5:Del:R:5	1
2:Ins:R:0	8
2:Ins:R:1	1
2:Ins:R:2	7
2:Ins:R:3	9
2:Ins:R:4	41
2:Ins:R:5	279
3:Ins:R:0	1
3:Ins:R:1	10
3:Ins:R:2	4
3:Ins:R:3	3
3:Ins:R:4	1
3:Ins:R:5	20
4:Ins:R:0	0
4:Ins:R:1	13
4:Ins:R:2	0
4:Ins:R:3	0
4:Ins:R:4	5
4:Ins:R:5	19
5:Ins:R:0	0
5:Ins:R:1	7
5:Ins:R:2	1
5:Ins:R:3	2
5:Ins:R:4	3
5:Ins:R:5	2
2:Del:M:1	9
3:Del:M:1	0
3:Del:M:2	32
4:Del:M:1	2
4:Del:M:2	4
4:Del:M:3	13
5:Del:M:1	3
5:Del:M:2	0
5:Del:M:3	0
5:Del:M:4	4
5:Del:M:5	23
