,SBS1,SBS2,SBS3,SBS5,SBS8,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS37,SBS40,SBS41
Breast-AdenoCA::S.1,576.0,199.0,0.0,0.0,0.0,0.0,3557.0,0.0,0.0,1667.0,0.0,0.0,0.0
Breast-AdenoCA::S.2,248.0,263.0,5505.0,2741.0,0.0,0.0,202.0,136.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.3,255.0,438.0,0.0,514.0,0.0,0.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.4,421.0,711.0,5275.0,1719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.5,374.0,0.0,0.0,1841.0,0.0,0.0,801.0,0.0,0.0,326.0,0.0,0.0,0.0
Breast-AdenoCA::S.6,906.0,6001.0,5994.0,0.0,0.0,0.0,1371.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.7,274.0,178.0,0.0,2822.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.8,655.0,378.0,1795.0,1266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.9,122.0,116.0,4983.0,2685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3719.0,0.0
Breast-AdenoCA::S.10,234.0,878.0,3105.0,1112.0,0.0,0.0,317.0,0.0,0.0,438.0,0.0,0.0,0.0
Breast-AdenoCA::S.11,350.0,97.0,0.0,1589.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.12,808.0,494.0,1348.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.13,331.0,2729.0,0.0,1100.0,0.0,0.0,2099.0,0.0,0.0,0.0,0.0,0.0,956.0
Breast-AdenoCA::S.14,254.0,247.0,0.0,4321.0,0.0,0.0,1507.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.15,899.0,6508.0,1775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,0.0,0.0
Breast-AdenoCA::S.16,308.0,0.0,0.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.17,650.0,132.0,0.0,1445.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0
Breast-AdenoCA::S.18,169.0,93.0,0.0,1962.0,0.0,0.0,373.0,0.0,0.0,1274.0,0.0,0.0,0.0
Breast-AdenoCA::S.19,239.0,0.0,0.0,2821.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0
Breast-AdenoCA::S.20,197.0,0.0,2233.0,833.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.21,264.0,852.0,0.0,3769.0,0.0,0.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.22,96.0,0.0,0.0,2258.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.23,289.0,979.0,3554.0,2969.0,0.0,0.0,2236.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.24,581.0,3556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,0.0,0.0,0.0
Breast-AdenoCA::S.25,564.0,1250.0,0.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.26,278.0,1607.0,0.0,1703.0,0.0,0.0,1998.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.27,995.0,1233.0,1990.0,0.0,0.0,0.0,1422.0,0.0,0.0,0.0,0.0,0.0,390.0
Breast-AdenoCA::S.28,584.0,470.0,3980.0,1983.0,0.0,0.0,2504.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.29,512.0,266.0,0.0,4604.0,0.0,0.0,988.0,0.0,0.0,0.0,0.0,0.0,621.0
Breast-AdenoCA::S.30,355.0,761.0,0.0,3420.0,0.0,0.0,4964.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.31,482.0,326.0,0.0,1701.0,0.0,0.0,856.0,0.0,0.0,0.0,0.0,465.0,0.0
Breast-AdenoCA::S.32,288.0,0.0,0.0,2570.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0
Breast-AdenoCA::S.33,528.0,0.0,0.0,1150.0,0.0,0.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.34,581.0,0.0,0.0,2875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.35,127.0,0.0,0.0,1445.0,0.0,0.0,98.0,0.0,0.0,302.0,0.0,0.0,0.0
Breast-AdenoCA::S.36,0.0,578.0,4215.0,2215.0,0.0,0.0,1387.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.37,294.0,2810.0,3676.0,2090.0,0.0,0.0,291.0,0.0,0.0,913.0,0.0,0.0,0.0
Breast-AdenoCA::S.38,848.0,149.0,0.0,687.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0
Breast-AdenoCA::S.39,255.0,0.0,3664.0,2300.0,0.0,7293.0,3338.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.40,426.0,256.0,0.0,1557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.41,406.0,0.0,7483.0,4274.0,1168.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.42,435.0,0.0,0.0,4211.0,0.0,0.0,127.0,0.0,0.0,643.0,0.0,0.0,0.0
Breast-AdenoCA::S.43,202.0,68.0,2695.0,1032.0,0.0,0.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.44,412.0,5180.0,0.0,3602.0,0.0,0.0,407.0,0.0,0.0,582.0,0.0,0.0,0.0
Breast-AdenoCA::S.45,684.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.46,357.0,830.0,5740.0,3184.0,0.0,0.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.47,1348.0,242.0,5404.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.48,443.0,401.0,1742.0,2697.0,636.0,0.0,2172.0,0.0,0.0,564.0,0.0,0.0,0.0
Breast-AdenoCA::S.49,0.0,8395.0,0.0,0.0,0.0,0.0,4598.0,0.0,0.0,1151.0,0.0,0.0,0.0
Breast-AdenoCA::S.50,378.0,2452.0,8178.0,0.0,0.0,0.0,337.0,0.0,0.0,0.0,0.0,0.0,1036.0
Breast-AdenoCA::S.51,198.0,524.0,0.0,3378.0,0.0,0.0,615.0,0.0,0.0,0.0,414.0,0.0,0.0
Breast-AdenoCA::S.52,398.0,4385.0,6258.0,1953.0,0.0,0.0,0.0,0.0,0.0,481.0,0.0,0.0,0.0
Breast-AdenoCA::S.53,362.0,59.0,0.0,1649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.54,363.0,3240.0,10263.0,1147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.55,499.0,2926.0,4518.0,0.0,0.0,0.0,1076.0,0.0,0.0,698.0,0.0,0.0,0.0
Breast-AdenoCA::S.56,346.0,171.0,0.0,949.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.57,278.0,591.0,0.0,1516.0,0.0,0.0,1104.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.58,648.0,0.0,8180.0,0.0,0.0,0.0,5892.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.59,521.0,79.0,0.0,2233.0,0.0,0.0,2933.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.60,409.0,1133.0,0.0,0.0,0.0,0.0,14569.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.61,597.0,662.0,0.0,2831.0,0.0,0.0,2097.0,302.0,4154.0,410.0,0.0,0.0,0.0
Breast-AdenoCA::S.62,178.0,0.0,0.0,832.0,0.0,0.0,167.0,0.0,0.0,81.0,0.0,0.0,0.0
Breast-AdenoCA::S.63,484.0,413.0,2561.0,6148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.64,239.0,1655.0,0.0,3137.0,0.0,0.0,2639.0,0.0,0.0,330.0,0.0,0.0,0.0
Breast-AdenoCA::S.65,353.0,889.0,0.0,0.0,0.0,0.0,4319.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.66,412.0,1475.0,0.0,1648.0,0.0,0.0,1498.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.67,561.0,834.0,6636.0,0.0,0.0,0.0,3438.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.68,417.0,953.0,1234.0,2374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.69,364.0,272.0,0.0,1652.0,0.0,0.0,5402.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.70,692.0,55.0,0.0,1290.0,0.0,0.0,115.0,0.0,0.0,812.0,0.0,0.0,0.0
Breast-AdenoCA::S.71,654.0,938.0,0.0,2648.0,0.0,0.0,1501.0,0.0,0.0,547.0,0.0,0.0,476.0
Breast-AdenoCA::S.72,693.0,135.0,0.0,1338.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.73,498.0,125.0,0.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.74,541.0,3630.0,0.0,0.0,0.0,0.0,8911.0,0.0,0.0,0.0,0.0,3158.0,0.0
Breast-AdenoCA::S.75,203.0,0.0,0.0,3528.0,0.0,0.0,125.0,76.0,0.0,479.0,0.0,0.0,0.0
Breast-AdenoCA::S.76,516.0,0.0,5539.0,2179.0,0.0,0.0,5666.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.77,169.0,285.0,2234.0,2372.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0
Breast-AdenoCA::S.78,357.0,893.0,1066.0,1105.0,0.0,0.0,4099.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.79,292.0,3032.0,0.0,1569.0,0.0,0.0,3193.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.80,181.0,3115.0,0.0,4630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.81,276.0,0.0,0.0,2947.0,0.0,0.0,2318.0,0.0,0.0,696.0,0.0,0.0,0.0
Breast-AdenoCA::S.82,242.0,208.0,0.0,0.0,0.0,0.0,8981.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.83,227.0,1286.0,4787.0,2684.0,0.0,0.0,1477.0,0.0,0.0,452.0,0.0,0.0,0.0
Breast-AdenoCA::S.84,321.0,0.0,0.0,2195.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0
Breast-AdenoCA::S.85,705.0,442.0,0.0,3065.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
