Sample,SBS1,SBS2,SBS3,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40
Eso-AdenoCA::S.1,2545.2484329666877,0.0,0.0,3916.939566807695,0.0,2289.672860997212,0.0,2171.279917114284,0.0,8626.262127042972
Eso-AdenoCA::S.2,0.0,0.0,0.0,0.0,2150.084458744451,24863.613617128172,2454.408828448389,0.0,0.0,22423.657197581622
Eso-AdenoCA::S.3,1654.8956294625962,0.0,0.0,0.0,0.0,0.0,5168.255023070447,4293.3048847204445,0.0,7123.697386485557
Eso-AdenoCA::S.4,2827.732356113364,489.07882669628225,0.0,4715.821370643105,680.1007348178374,2352.658304331519,507.88618074896357,0.0,0.0,0.0
Eso-AdenoCA::S.5,2573.873835546188,0.0,0.0,4715.763263711734,0.0,1243.379865487588,0.0,0.0,0.0,14565.51237181735
Eso-AdenoCA::S.6,0.0,0.0,0.0,0.0,0.0,0.0,81196.78439847552,0.0,0.0,0.0
Eso-AdenoCA::S.7,930.6332121685658,3417.084428621978,0.0,4286.868076528846,0.0,5548.724030167114,13989.778769162096,0.0,0.0,0.0
Eso-AdenoCA::S.8,2578.880990527445,0.0,0.0,17896.512605754197,0.0,1615.8997129656127,5764.148671603562,0.0,0.0,0.0
Eso-AdenoCA::S.9,967.0108632074379,0.0,0.0,12267.685652565298,0.0,3021.99152413455,10962.228841530943,0.0,0.0,6903.610559444595
Eso-AdenoCA::S.10,1071.437391455325,0.0,0.0,5799.947878238338,0.0,1855.9207520815805,6159.342018686662,0.0,1158.1873154133023,21289.847189042113
Eso-AdenoCA::S.11,4524.398277774634,0.0,0.0,0.0,0.0,1688.9968441996577,6698.15857023402,2343.741477884149,0.0,5102.66066559478
Eso-AdenoCA::S.12,3013.2673131553274,3116.158540866569,13706.320610650126,11932.316117378712,0.0,2700.2499711352625,5982.011696841793,3085.941449633327,1048.8491728675322,0.0
Eso-AdenoCA::S.13,1609.043111168295,1336.3283394251134,0.0,5314.36384839694,0.0,0.0,17597.01906330211,0.0,0.0,0.0
Eso-AdenoCA::S.14,0.0,0.0,0.0,0.0,0.0,0.0,49232.04393882201,0.0,0.0,36451.539270742775
Eso-AdenoCA::S.15,1826.5788312392613,0.0,3049.8054474414175,3794.5708692001817,0.0,5282.679377791574,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.16,1988.5281796986399,0.0,0.0,9989.626500788616,0.0,13037.076949611996,0.0,0.0,18713.732234433777,0.0
Eso-AdenoCA::S.17,1405.1930398496324,0.0,0.0,10902.821224609886,0.0,746.6557379801333,1610.4438861150716,0.0,374.7625803592916,0.0
Eso-AdenoCA::S.18,1354.606158746838,0.0,0.0,5201.595993491752,0.0,3438.285495452743,1024.8084342964607,0.0,0.0,13782.711409072292
Eso-AdenoCA::S.19,1923.944710200872,0.0,0.0,4047.01409302931,0.0,3652.234205144477,958.8176445344707,0.0,0.0,0.0
Eso-AdenoCA::S.20,0.0,0.0,0.0,0.0,0.0,0.0,59160.424553763405,0.0,0.0,18266.287175932037
Eso-AdenoCA::S.21,0.0,0.0,0.0,0.0,0.0,8438.624867717508,47695.76106028394,0.0,0.0,0.0
Eso-AdenoCA::S.22,1616.6113813652269,0.0,0.0,0.0,0.0,2721.6901540761987,0.0,5195.197533067891,3912.112327206029,10335.467770436951
Eso-AdenoCA::S.23,1543.8473151165647,0.0,0.0,3118.74807630691,0.0,7239.488236849656,0.0,0.0,8217.351799730399,0.0
