MutationType	DBS1	DBS6
AC>CA	4.97e-05	0.002660571
AC>CG	2.64e-05	0.000146031
AC>CT	0.004291091	0.000240052
AC>GA	0.000127032	0.008581841
AC>GG	5.71e-05	0.000104022
AC>GT	0.002960753	0.000132028
AC>TA	0.001200305	0.010102168
AC>TG	0.000172044	0.000449096
AC>TT	0.026506737	0.003180682
AT>CA	0.000482123	0.000114024
AT>CC	0.000297076	6.39e-05
AT>CG	3.98e-06	1.82e-06
AT>GA	0.002120539	0.001620348
AT>GC	0.000174044	1.72e-05
AT>TA	0.002340595	0.002200472
CC>AA	1.06e-05	8.3e-18
CC>AG	1.23e-05	0.06161322
CC>AT	0.018704754	0.000438094
CC>GA	0.000134034	0.035507619
CC>GG	9.82e-05	0.018103885
CC>GT	0.006921759	0.003440738
CC>TA	0.010402644	0.002220476
CC>TG	0.002550648	0.006871474
CC>TT	0.858218125	8.3e-18
CG>AT	6.03e-07	0.007541618
CG>GC	5.42e-06	0.000590127
CG>GT	1.7e-06	0.003220691
CG>TA	0.000356091	8.3e-18
CG>TC	1.26e-05	0.008911912
CG>TT	0.000124032	0.018704013
CT>AA	2.77e-05	0.004480961
CT>AC	0.000419107	0.001950419
CT>AG	2.85e-18	0.039508477
CT>GA	8.92e-05	0.007341575
CT>GC	0.000252064	0.001790384
CT>GG	1.08e-05	0.006811462
CT>TA	0.007811985	8.84e-05
CT>TC	0.010502669	8.3e-18
CT>TG	0.002240569	0.011202404
GC>AA	0.001580402	8.3e-18
GC>AG	0.000107027	0.003660785
GC>AT	4.87e-05	0.001880403
GC>CA	5.76e-05	0.008691865
GC>CG	5.15e-06	9.04e-18
GC>TA	8.27e-07	0.000829178
TA>AT	0.000505128	0.008571839
TA>CG	7.55e-06	0.000259056
TA>CT	0.000702178	0.026105602
TA>GC	2.01e-05	0.000264057
TA>GG	7.03e-05	0.000218047
TA>GT	0.001150292	6.25e-05
TC>AA	1.09e-05	0.045809829
TC>AG	3.09e-06	0.008281777
TC>AT	0.002460625	0.000594127
TC>CA	4.42e-06	0.011802532
TC>CG	3.3e-05	0.000862185
TC>CT	0.001900483	0.009392015
TC>GA	6.42e-05	0.007341575
TC>GG	0.000411104	0.001510324
TC>GT	0.005101297	8.3e-18
TG>AA	0.001370348	0.025505473
TG>AC	0.00023706	0.010102168
TG>AT	0.002410613	0.22104743
TG>CA	0.000279071	0.011402447
TG>CC	0.000103026	0.007891693
TG>CT	0.00185047	0.27505902
TG>GA	0.000407103	0.007441597
TG>GC	8.89e-05	0.005601202
TG>GT	0.001900483	0.027405881
TT>AA	0.005491396	0.000193041
TT>AC	0.000720183	0.000128027
TT>AG	0.000418106	0.002120455
TT>CA	0.000725184	8.3e-18
TT>CC	0.005421378	8.3e-18
TT>CG	8.38e-05	1.12e-05
TT>GA	0.001860473	8.3e-18
TT>GC	0.001060269	4.09e-07
TT>GG	0.001610409	8.3e-18
