Sample,SBS1,SBS2,SBS3,SBS5,SBS8,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS37,SBS40,SBS41
Breast-AdenoCA::S.1,560.3151965664049,180.50176890980865,0.0,390.70918569323055,0.0,0.0,3545.6448055554624,0.0,0.0,1597.6190865339654,0.0,0.0,0.0
Breast-AdenoCA::S.2,246.65444746833143,262.5622919728751,5371.93017565058,2781.0123245763966,95.76982122273459,0.0,206.959130419244,137.45274828805688,46.46967949181391,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.3,253.78056243758664,439.3548338111459,0.0,506.7098731290673,0.0,0.0,691.0653595946565,0.0,0.0,0.0,0.0,187.7290505121111,52.60756263481333
Breast-AdenoCA::S.4,422.34031219457563,716.4833335224646,5268.691351916634,1569.4595583790167,211.03640289848713,0.0,0.0,0.0,0.0,60.82556816302416,135.78423374485953,0.0,0.0
Breast-AdenoCA::S.5,373.1501989608967,52.04641241185787,237.62661027726273,1816.2696489756813,0.0,0.0,800.7272601747749,45.555346324799196,0.0,340.7977692122411,0.0,718.4540796284732,0.0
Breast-AdenoCA::S.6,859.4239124998755,5959.499831021177,4980.293936163571,1153.782647304464,0.0,0.0,1393.7290729594833,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.7,273.7208284248421,178.03557132082963,0.0,2791.9989430456308,0.0,0.0,60.405152490882344,0.0,0.0,0.0,0.0,0.0,43.66481760030266
Breast-AdenoCA::S.8,653.1036759815156,376.731211362929,1646.811032015204,1311.7277102321825,72.37821329064955,0.0,24.30610683869945,11.34070085688451,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.9,117.92483395104937,124.44424986514471,4847.699537411282,2743.663544531366,187.87854233937938,0.0,88.73626663639405,0.0,97.99819727383895,0.0,71.411767566829,3526.3073276655796,0.0
Breast-AdenoCA::S.10,233.96009714211175,877.6559000410763,3036.271823102066,1136.7364044820063,61.469603140001695,0.0,319.8642809259601,0.0,0.0,420.13105572892727,0.0,0.0,0.0
Breast-AdenoCA::S.11,352.1522323092335,99.87011863850334,0.0,1509.6200625259175,55.67999067577236,92.46608463415394,734.7137435798558,0.0,0.0,0.0,71.04412980496845,0.0,0.0
Breast-AdenoCA::S.12,807.9694042773406,494.1252185661902,1348.0578927742474,578.5085873309738,0.0,0.0,0.0,0.0,0.0,0.0,154.1253007646302,0.0,0.0
Breast-AdenoCA::S.13,331.50144696443584,2739.921347671051,0.0,779.8651511965272,0.0,0.0,2102.0197299507618,0.0,0.0,204.561281734608,228.9471560956748,0.0,910.9667625092101
Breast-AdenoCA::S.14,253.9843462860623,246.96502533687914,0.0,4320.710609265236,0.0,0.0,1507.205263947369,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.15,878.8152151951393,6488.026312278841,1253.3221075870551,558.0285608562506,0.0,0.0,96.4522671035901,0.0,0.0,0.0,646.3657696314737,0.0,0.0
Breast-AdenoCA::S.16,308.18111909343935,0.0,0.0,964.8208646528111,0.0,0.0,0.0,0.0,0.0,0.0,12.452766334721739,0.0,0.0
Breast-AdenoCA::S.17,652.0736046431017,133.160168347968,91.21738890668651,1391.6027697583215,69.49079690968934,0.0,0.0,0.0,0.0,580.4862745979252,0.0,0.0,0.0
Breast-AdenoCA::S.18,169.46782620740677,93.70898929857445,0.0,1959.9382448907832,0.0,0.0,374.10315842808586,0.0,16.66192784904161,1273.6090883206957,0.0,0.0,130.28275527900954
Breast-AdenoCA::S.19,238.74305044577636,37.95143245122376,409.1632206236071,2820.6288656783668,0.0,0.0,38.4797467942309,0.0,0.0,0.0,244.15935578434957,0.0,0.0
Breast-AdenoCA::S.20,196.61998212087582,0.0,2233.4858159864402,833.4377562811413,0.0,0.0,197.87915354490573,0.0,0.0,0.0,148.675515601926,0.0,137.15551603759292
Breast-AdenoCA::S.21,264.17720507214995,852.0729381877283,0.0,3768.972157758024,0.0,0.0,1115.9624926263248,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.22,96.00143563236645,0.0,0.0,2273.152443031386,0.0,485.0084928579666,0.0,25.34964129544559,12.95558701671683,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.23,288.824801971918,978.4660583419778,3369.907015730552,3022.3680190965874,148.25044846923657,0.0,2245.278707339556,96.44620652857142,39.52994823345784,172.4545695715144,0.0,0.0,0.0
Breast-AdenoCA::S.24,586.9677639459983,3566.172193014322,0.0,682.5483831561576,0.0,0.0,0.0,0.0,0.0,715.6807232538802,244.38616412613257,0.0,0.0
Breast-AdenoCA::S.25,564.1589172663784,1249.6300063900178,0.0,2453.062614973842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.26,280.1449673237101,1611.371949541063,0.0,1598.882295351287,0.0,0.0,2000.4613427414015,0.0,0.0,159.91700180783562,96.39560610504321,0.0,0.0
Breast-AdenoCA::S.27,999.0166359742033,1238.6372578912828,2004.68419248787,643.1092086715047,0.0,0.0,1428.1633459470727,0.0,0.0,0.0,130.01701367935027,0.0,357.7161512150917
Breast-AdenoCA::S.28,584.431658811803,469.7932333435859,3980.477948830145,1983.064694507631,0.0,0.0,2503.7343582855947,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.29,513.4304386652667,268.182862077458,0.0,4559.133312151533,0.0,116.77026152557393,992.5452057833222,53.91544712723677,0.0,0.0,0.0,0.0,567.0474707092325
Breast-AdenoCA::S.30,356.0191637787147,761.4099601202419,0.0,3404.1463777224235,0.0,0.0,4964.818577526432,0.0,60.933833132365585,0.0,743.7086333016352,0.0,0.0
Breast-AdenoCA::S.31,482.09456273309735,326.46193949014247,0.0,1701.317877767333,0.0,0.0,856.3578220194463,0.0,0.0,0.0,0.0,465.4511445811063,0.0
Breast-AdenoCA::S.32,287.73579070037516,0.0,0.0,2569.5223350047095,0.0,0.0,37.769877967936324,0.0,0.0,345.1363324020948,0.0,0.0,0.0
Breast-AdenoCA::S.33,529.4342369091092,13.802045573176606,0.0,1096.6478724334966,0.0,0.0,1234.4720211145188,0.0,0.0,0.0,37.545349263087985,0.0,0.0
Breast-AdenoCA::S.34,581.9618394147175,8.277475469244456,0.0,2855.3205518265054,137.00984218461303,0.0,44.01149179073906,0.0,0.0,127.85718569040935,160.13174073484802,0.0,0.0
Breast-AdenoCA::S.35,127.32522292719024,29.401212653284187,0.0,1445.4464684684574,0.0,0.0,97.98453070882404,0.0,0.0,302.2888447842029,0.0,0.0,0.0
Breast-AdenoCA::S.36,98.34294159165633,555.8387363169373,3838.431650171432,2069.0489367890327,0.0,0.0,1381.1754659500114,0.0,45.05507962230351,0.0,0.0,591.5708670851423,295.72007509236465
Breast-AdenoCA::S.37,293.21467469172035,2809.3618296319546,3407.8130257974385,2169.721138309454,205.68055993648937,0.0,304.6227313196042,33.36714671191652,0.0,860.1703886005608,0.0,0.0,0.0
Breast-AdenoCA::S.38,849.6373754498082,150.38301961027543,68.04315145430063,639.621106844856,0.0,0.0,0.0,0.0,0.0,147.80535458871816,0.0,0.0,0.0
Breast-AdenoCA::S.39,254.88376936587116,0.0,3663.8777333535913,2299.8480921715277,0.0,7293.490135144991,3337.5882769843743,0.0,0.0,0.0,0.0,0.0,476.21516733954485
Breast-AdenoCA::S.40,424.9427523451711,257.0138329854997,182.7345243404843,1536.1349556365385,0.0,0.0,19.011928337063164,47.67257386598279,0.0,33.33884454630941,36.35339108048603,0.0,0.0
Breast-AdenoCA::S.41,402.87695387690894,0.0,7478.956410755571,4277.072960180328,1159.4787163431313,434.8340663346933,243.59103880539516,0.0,110.0055355748493,0.0,493.23481266165317,0.0,157.50685320456682
Breast-AdenoCA::S.42,435.25721797840805,0.0,0.0,4211.106491830556,0.0,0.0,126.56835384022384,0.0,0.0,643.0719968901942,0.0,0.0,0.0
Breast-AdenoCA::S.43,202.19378176507018,68.37314240193393,2695.487679161189,1031.6815207466634,0.0,0.0,774.2394905826316,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.44,411.7135438643575,5180.479767056551,0.0,3601.69731954171,0.0,0.0,406.5682307542114,0.0,0.0,582.450486738089,0.0,0.0,0.0
Breast-AdenoCA::S.45,684.1417329115792,21.187306611857405,80.01840747361634,508.8619927779484,48.97122687942414,0.0,0.0,0.0,0.0,0.0,45.42088336966501,157.25992146395703,0.0
Breast-AdenoCA::S.46,356.50133526725114,829.8635586290399,5740.355677826812,3184.3568634719445,0.0,0.0,949.0542534446025,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.47,1348.0448516692102,244.65970667842134,5309.906849369475,0.0,75.50477478167437,0.0,168.67747727184795,38.86677513431351,0.0,0.0,0.0,494.4360582388056,0.0
Breast-AdenoCA::S.48,442.8808483660734,401.17772636353624,1742.1772954978944,2697.1759691616803,635.5182776938552,0.0,2172.45297590748,0.0,0.0,564.1638144483436,0.0,0.0,0.0
Breast-AdenoCA::S.49,203.32782227281643,8393.063839411645,0.0,0.0,375.8112176344274,0.0,4602.086907382216,0.0,0.0,934.7964628916496,587.0901276809003,0.0,0.0
Breast-AdenoCA::S.50,365.99678821915603,2439.3418033261246,7537.895748240321,445.0623812993655,357.07662228359567,0.0,361.76161880286566,58.55939671203501,0.0,170.8111241177107,460.71007910544733,0.0,1027.6727439507297
Breast-AdenoCA::S.51,198.2626664350148,524.3329716161046,0.0,3380.712323658907,0.0,0.0,614.9752888776525,16.327374152873194,0.0,0.0,395.1128439364151,0.0,208.75654121830303
Breast-AdenoCA::S.52,392.3175276941967,4383.442353485798,6010.799975242732,1927.6072317244127,0.0,0.0,73.4901343738168,0.0,0.0,495.24018242519116,0.0,0.0,213.53544944980524
Breast-AdenoCA::S.53,362.29654099346715,58.96563024529747,174.68573844576284,1649.2111947265712,0.0,0.0,0.0,0.0,0.0,0.0,82.41439045223959,0.0,0.0
Breast-AdenoCA::S.54,362.5393161150158,3239.7391165681615,10263.147565792176,1146.969572892674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.55,500.42551539194403,2929.168386626968,4224.170582183657,866.0060130869786,256.0205658465272,0.0,1093.1527821371105,0.0,0.0,637.2720418407108,118.65618850690406,0.0,0.0
Breast-AdenoCA::S.56,345.84850305546433,170.6278126330565,0.0,948.5499635405565,0.0,0.0,276.00310394140746,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.57,278.4961352770967,590.5319239382953,383.52806960467007,1515.5091005120264,0.0,0.0,1103.659163329896,0.0,43.913324962449906,113.8430802989465,0.0,0.0,0.0
Breast-AdenoCA::S.58,647.7951141844563,0.0,8163.914572234802,733.8880630880565,0.0,0.0,5893.083953581231,0.0,33.42562144757344,0.0,414.5497133296623,0.0,0.0
Breast-AdenoCA::S.59,521.3617418608982,78.90733442784627,0.0,2232.54459223534,0.0,0.0,2933.0049665255347,0.0,0.0,0.0,0.0,0.0,0.0
