,SBS1,SBS2,SBS3,SBS5,SBS8,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS37,SBS40,SBS41
Breast-AdenoCA::S.1,560.0,181.0,0.0,391.0,0.0,0.0,3546.0,0.0,0.0,1598.0,0.0,0.0,0.0
Breast-AdenoCA::S.2,247.0,263.0,5372.0,2781.0,0.0,0.0,207.0,137.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.3,254.0,439.0,0.0,507.0,0.0,0.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.4,422.0,716.0,5269.0,1569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.5,373.0,52.0,0.0,1816.0,0.0,0.0,801.0,46.0,0.0,341.0,0.0,718.0,0.0
Breast-AdenoCA::S.6,859.0,5959.0,4980.0,1154.0,0.0,0.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.7,274.0,178.0,0.0,2792.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.8,653.0,377.0,1647.0,1312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.9,118.0,124.0,4848.0,2744.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,3526.0,0.0
Breast-AdenoCA::S.10,234.0,878.0,3036.0,1137.0,0.0,0.0,320.0,0.0,0.0,420.0,0.0,0.0,0.0
Breast-AdenoCA::S.11,352.0,100.0,0.0,1510.0,0.0,0.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.12,808.0,494.0,1348.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0
Breast-AdenoCA::S.13,332.0,2740.0,0.0,780.0,0.0,0.0,2102.0,0.0,0.0,205.0,229.0,0.0,911.0
Breast-AdenoCA::S.14,254.0,247.0,0.0,4321.0,0.0,0.0,1507.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.15,879.0,6488.0,1253.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,646.0,0.0,0.0
Breast-AdenoCA::S.16,308.0,0.0,0.0,965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.17,652.0,133.0,0.0,1392.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,0.0
Breast-AdenoCA::S.18,169.0,94.0,0.0,1960.0,0.0,0.0,374.0,0.0,0.0,1274.0,0.0,0.0,130.0
Breast-AdenoCA::S.19,239.0,38.0,409.0,2821.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0
Breast-AdenoCA::S.20,197.0,0.0,2233.0,833.0,0.0,0.0,198.0,0.0,0.0,0.0,149.0,0.0,137.0
Breast-AdenoCA::S.21,264.0,852.0,0.0,3769.0,0.0,0.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.22,96.0,0.0,0.0,2273.0,0.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.23,289.0,978.0,3370.0,3022.0,0.0,0.0,2245.0,96.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.24,587.0,3566.0,0.0,683.0,0.0,0.0,0.0,0.0,0.0,716.0,244.0,0.0,0.0
Breast-AdenoCA::S.25,564.0,1250.0,0.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.26,280.0,1611.0,0.0,1599.0,0.0,0.0,2000.0,0.0,0.0,160.0,0.0,0.0,0.0
Breast-AdenoCA::S.27,999.0,1239.0,2005.0,643.0,0.0,0.0,1428.0,0.0,0.0,0.0,0.0,0.0,358.0
Breast-AdenoCA::S.28,584.0,470.0,3980.0,1983.0,0.0,0.0,2504.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.29,513.0,268.0,0.0,4559.0,0.0,0.0,993.0,0.0,0.0,0.0,0.0,0.0,567.0
Breast-AdenoCA::S.30,356.0,761.0,0.0,3404.0,0.0,0.0,4965.0,0.0,0.0,0.0,744.0,0.0,0.0
Breast-AdenoCA::S.31,482.0,326.0,0.0,1701.0,0.0,0.0,856.0,0.0,0.0,0.0,0.0,465.0,0.0
Breast-AdenoCA::S.32,288.0,0.0,0.0,2570.0,0.0,0.0,38.0,0.0,0.0,345.0,0.0,0.0,0.0
Breast-AdenoCA::S.33,529.0,0.0,0.0,1097.0,0.0,0.0,1234.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.34,582.0,0.0,0.0,2855.0,0.0,0.0,44.0,0.0,0.0,128.0,0.0,0.0,0.0
