Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Lung-AdenoCA::S.1	38794	0.983	7820.001	20.158%	1124.811	18.47%	0.03522	0.971
Lung-AdenoCA::S.2	56430	0.947	14068.152	24.93%	3916.927	31.997%	0.05305	0.932
Lung-AdenoCA::S.3	79446	0.934	23822.094	29.985%	4917.289	35.829%	0.08854	0.896
Lung-AdenoCA::S.4	9057	0.974	2016.25	22.262%	359.865	22.987%	0.04748	0.961
Lung-AdenoCA::S.5	29628	0.974	6265.201	21.146%	937.188	22.748%	0.03371	0.942
Lung-AdenoCA::S.6	53500	0.979	9873.076	18.454%	1412.536	21.102%	0.02894	0.941
Lung-AdenoCA::S.7	21379	0.97	4571.448	21.383%	879.512	24.428%	0.03637	0.952
Lung-AdenoCA::S.8	31618	0.968	6826.348	21.59%	1334.013	25.254%	0.03748	0.948
Lung-AdenoCA::S.9	25998	0.963	5589.007	21.498%	1134.481	27.052%	0.03968	0.938
Lung-AdenoCA::S.10	36638	0.964	9515.383	25.971%	1878.149	26.523%	0.06041	0.95
Lung-AdenoCA::S.11	5594	0.995	1043.156	18.648%	213.838	10.792%	0.07085	0.994
Lung-AdenoCA::S.12	5792	0.961	1390.123	24.001%	226.399	27.831%	0.04782	0.917
Lung-AdenoCA::S.13	16870	0.952	4022.578	23.845%	680.013	30.971%	0.04635	0.877
Lung-AdenoCA::S.14	33465	0.982	6635.729	19.829%	1136.913	19.438%	0.0347	0.973
Lung-AdenoCA::S.15	104731	0.976	24153.07	23.062%	4115.299	21.884%	0.04571	0.965
Lung-AdenoCA::S.16	23674	0.97	4360.187	18.418%	724.59	24.166%	0.0294	0.914
Lung-AdenoCA::S.17	10201	0.992	1839.645	18.034%	394.446	13.015%	0.02752	0.99
Lung-AdenoCA::S.18	26046	0.982	6610.473	25.38%	928.096	18.802%	0.05831	0.975
Lung-AdenoCA::S.19	88202	0.977	15861.616	17.983%	2956.044	21.247%	0.02532	0.961
Lung-AdenoCA::S.20	12456	0.991	2444.98	19.629%	355.665	13.776%	0.03744	0.989
Lung-AdenoCA::S.21	2071	0.948	639.01	30.855%	196.438	31.947%	0.07544	0.941
Lung-AdenoCA::S.22	10742	0.964	2621.775	24.407%	432.87	26.462%	0.04703	0.934
Lung-AdenoCA::S.23	39217	0.979	7529.604	19.2%	1103.5	20.186%	0.02684	0.955
Lung-AdenoCA::S.24	57423	0.942	15259.084	26.573%	3524.049	33.861%	0.0847	0.914
Lung-AdenoCA::S.25	31313	0.986	7453.804	23.804%	1243.185	16.954%	0.05627	0.982
Lung-AdenoCA::S.26	55676	0.953	15072.49	27.072%	3092.142	30.471%	0.06624	0.93
Lung-AdenoCA::S.27	25914	0.973	5145.711	19.857%	871.526	22.904%	0.03442	0.948
Lung-AdenoCA::S.28	27389	0.964	7220.982	26.365%	1202.068	26.719%	0.0518	0.94
Lung-AdenoCA::S.29	8187	0.967	1911.84	23.352%	275.759	25.635%	0.04274	0.916
Lung-AdenoCA::S.30	62706	0.946	17653.858	28.153%	2869.925	32.895%	0.07447	0.882
Lung-AdenoCA::S.31	14722	0.985	2732.508	18.561%	647.141	17.563%	0.03126	0.982
Lung-AdenoCA::S.32	21039	0.98	4609.09	21.907%	801.931	19.856%	0.04599	0.973
Lung-AdenoCA::S.33	36454	0.964	8107.668	22.241%	1558.865	26.762%	0.03595	0.938
Lung-AdenoCA::S.34	4582	0.941	1464.256	31.957%	252.919	33.977%	0.07748	0.9
Lung-AdenoCA::S.35	18023	0.996	3341.402	18.54%	715.44	9.65%	0.05442	0.996
Lung-AdenoCA::S.36	13714	0.962	3271.984	23.859%	501.251	27.514%	0.04441	0.906
Lung-AdenoCA::S.37	16060	0.963	3080.539	19.181%	726.208	26.916%	0.02966	0.941
Lung-AdenoCA::S.38	98962	0.975	19826.096	20.034%	3762.535	22.332%	0.03212	0.96
Lung-AdenoCA::S.39	64600	0.97	14414.464	22.313%	2257.3	24.727%	0.03634	0.937
Lung-AdenoCA::S.40	4046	0.986	853.307	21.09%	166.55	17.192%	0.04038	0.983
Lung-AdenoCA::S.41	3731	0.923	1189.55	31.883%	214.046	38.682%	0.07735	0.851
