,ID1,ID2,ID5,ID14
ColoRect-AdenoCA::S.1,261.0,1084.0,0.0,474.0
ColoRect-AdenoCA::S.2,460.0,1362.0,0.0,0.0
ColoRect-AdenoCA::S.3,659.0,1066.0,0.0,866.0
ColoRect-AdenoCA::S.4,618.0,736.0,335.0,0.0
ColoRect-AdenoCA::S.5,900.0,174.0,66.0,318.0
ColoRect-AdenoCA::S.6,1162.0,1304.0,90.0,0.0
ColoRect-AdenoCA::S.7,1060.0,321.0,197.0,0.0
ColoRect-AdenoCA::S.8,977.0,29.0,0.0,175.0
ColoRect-AdenoCA::S.9,435.0,346.0,0.0,187.0
ColoRect-AdenoCA::S.10,483.0,391.0,0.0,0.0
ColoRect-AdenoCA::S.11,453.0,399.0,0.0,0.0
ColoRect-AdenoCA::S.12,494.0,131.0,0.0,0.0
ColoRect-AdenoCA::S.13,265.0,327.0,42.0,0.0
ColoRect-AdenoCA::S.14,623.0,1112.0,175.0,0.0
ColoRect-AdenoCA::S.15,958.0,201.0,309.0,0.0
ColoRect-AdenoCA::S.16,789.0,1195.0,0.0,0.0
ColoRect-AdenoCA::S.17,185.0,561.0,0.0,0.0
ColoRect-AdenoCA::S.18,972.0,1911.0,0.0,576.0
ColoRect-AdenoCA::S.19,79.0,155.0,0.0,1005.0
ColoRect-AdenoCA::S.20,204.0,421.0,0.0,649.0
ColoRect-AdenoCA::S.21,242.0,170.0,402.0,0.0
ColoRect-AdenoCA::S.22,204.0,281.0,60.0,0.0
ColoRect-AdenoCA::S.23,595.0,46.0,600.0,0.0
ColoRect-AdenoCA::S.24,1515.0,592.0,0.0,0.0
ColoRect-AdenoCA::S.25,1475.0,193.0,377.0,0.0
ColoRect-AdenoCA::S.26,46.0,454.0,0.0,0.0
ColoRect-AdenoCA::S.27,1106.0,107.0,0.0,0.0
ColoRect-AdenoCA::S.28,459.0,384.0,0.0,0.0
ColoRect-AdenoCA::S.29,385.0,764.0,0.0,0.0
ColoRect-AdenoCA::S.30,403.0,493.0,457.0,0.0
ColoRect-AdenoCA::S.31,601.0,2059.0,0.0,645.0
ColoRect-AdenoCA::S.32,711.0,330.0,0.0,0.0
ColoRect-AdenoCA::S.33,846.0,629.0,391.0,488.0
ColoRect-AdenoCA::S.34,78.0,1311.0,0.0,0.0
ColoRect-AdenoCA::S.35,380.0,361.0,43.0,0.0
ColoRect-AdenoCA::S.36,331.0,333.0,323.0,249.0
ColoRect-AdenoCA::S.37,978.0,230.0,441.0,0.0
ColoRect-AdenoCA::S.38,186.0,500.0,315.0,2273.0
ColoRect-AdenoCA::S.39,535.0,530.0,0.0,0.0
ColoRect-AdenoCA::S.40,611.0,394.0,53.0,0.0
ColoRect-AdenoCA::S.41,761.0,468.0,61.0,0.0
ColoRect-AdenoCA::S.42,798.0,116.0,308.0,824.0
ColoRect-AdenoCA::S.43,299.0,2142.0,238.0,0.0
ColoRect-AdenoCA::S.44,630.0,1048.0,0.0,0.0
ColoRect-AdenoCA::S.45,407.0,952.0,0.0,0.0
ColoRect-AdenoCA::S.46,559.0,836.0,0.0,0.0
ColoRect-AdenoCA::S.47,263.0,561.0,0.0,0.0
ColoRect-AdenoCA::S.48,319.0,2460.0,0.0,0.0
ColoRect-AdenoCA::S.49,0.0,865.0,0.0,752.0
ColoRect-AdenoCA::S.50,2733.0,499.0,0.0,0.0
ColoRect-AdenoCA::S.51,156.0,1200.0,0.0,0.0
ColoRect-AdenoCA::S.52,411.0,921.0,276.0,0.0
ColoRect-AdenoCA::S.53,149.0,655.0,0.0,0.0
ColoRect-AdenoCA::S.54,1229.0,281.0,0.0,0.0
ColoRect-AdenoCA::S.55,456.0,631.0,345.0,2204.0
ColoRect-AdenoCA::S.56,911.0,296.0,0.0,0.0
ColoRect-AdenoCA::S.57,1035.0,620.0,0.0,882.0
ColoRect-AdenoCA::S.58,245.0,157.0,305.0,0.0
ColoRect-AdenoCA::S.59,217.0,914.0,0.0,0.0
ColoRect-AdenoCA::S.60,295.0,97.0,37.0,0.0
ColoRect-AdenoCA::S.61,281.0,94.0,358.0,848.0
ColoRect-AdenoCA::S.62,457.0,528.0,0.0,0.0
ColoRect-AdenoCA::S.63,416.0,67.0,31.0,0.0
ColoRect-AdenoCA::S.64,184.0,1947.0,153.0,0.0
ColoRect-AdenoCA::S.65,295.0,418.0,72.0,0.0
ColoRect-AdenoCA::S.66,564.0,437.0,411.0,0.0
ColoRect-AdenoCA::S.67,1553.0,788.0,0.0,726.0
ColoRect-AdenoCA::S.68,209.0,184.0,0.0,80.0
ColoRect-AdenoCA::S.69,939.0,507.0,79.0,550.0
ColoRect-AdenoCA::S.70,118.0,433.0,387.0,577.0
ColoRect-AdenoCA::S.71,394.0,454.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.1,3988.0,2024.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.2,10982.0,4722.0,0.0,2522.0
ColoRect-AdenoCA::POLE.S.3,5050.0,1607.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.4,5803.0,6370.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.5,5846.0,1937.0,229.0,0.0
ColoRect-AdenoCA::POLE.S.6,2345.0,1650.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.7,2366.0,16011.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.8,6418.0,5483.0,0.0,1201.0
ColoRect-AdenoCA::POLE.S.9,11307.0,12310.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.10,4850.0,4843.0,0.0,1010.0
ColoRect-AdenoCA::POLE.S.11,4259.0,6476.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.12,1373.0,1362.0,237.0,0.0
ColoRect-AdenoCA::POLE.S.13,2701.0,11730.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.14,1914.0,3610.0,430.0,0.0
