Samples	ID1	ID2	ID4	ID5	ID8	ID9	ID13
Skin-Melanoma::S.1	113	0	506	397	0	0	153
Skin-Melanoma::S.2	253	0	0	0	0	0	1211
Skin-Melanoma::S.3	0	0	0	0	274	0	1005
Skin-Melanoma::S.4	0	0	0	312	0	0	478
Skin-Melanoma::S.5	104	0	89	0	189	172	137
Skin-Melanoma::S.6	0	0	0	0	373	0	242
Skin-Melanoma::S.7	30	130	0	241	175	0	0
Skin-Melanoma::S.8	0	0	0	389	567	0	0
Skin-Melanoma::S.9	128	42	0	367	0	0	0
Skin-Melanoma::S.10	0	106	0	0	503	0	390
Skin-Melanoma::S.11	138	69	0	244	112	0	186
Skin-Melanoma::S.12	57	128	0	533	303	0	111
Skin-Melanoma::S.13	37	27	0	312	0	0	0
Skin-Melanoma::S.14	541	0	0	0	0	0	378
Skin-Melanoma::S.15	0	0	0	0	282	0	958
Skin-Melanoma::S.16	280	0	169	460	0	0	326
Skin-Melanoma::S.17	0	0	3374	0	0	0	448
Skin-Melanoma::S.18	81	0	0	332	272	0	162
Skin-Melanoma::S.19	55	113	0	408	0	0	0
Skin-Melanoma::S.20	93	0	0	1112	222	0	176
Skin-Melanoma::S.21	0	0	0	0	611	0	0
Skin-Melanoma::S.22	371	0	0	468	0	0	0
Skin-Melanoma::S.23	0	0	0	260	0	0	427
Skin-Melanoma::S.24	0	0	0	0	231	0	534
Skin-Melanoma::S.25	247	0	0	1426	0	0	0
Skin-Melanoma::S.26	0	0	0	684	367	0	143
Skin-Melanoma::S.27	102	0	0	341	0	0	167
Skin-Melanoma::S.28	211	0	0	0	495	0	0
Skin-Melanoma::S.29	52	0	0	0	40	0	37
Skin-Melanoma::S.30	149	0	0	0	104	0	131
Skin-Melanoma::S.31	218	85	0	514	0	0	155
Skin-Melanoma::S.32	29	0	0	218	0	0	0
Skin-Melanoma::S.33	0	40	0	0	99	0	363
Skin-Melanoma::S.34	55	0	0	908	147	0	0
Skin-Melanoma::S.35	0	63	0	97	0	0	0
Skin-Melanoma::S.36	236	0	0	0	0	0	482
Skin-Melanoma::S.37	44	0	0	296	102	0	221
Skin-Melanoma::S.38	59	0	0	305	80	86	0
Skin-Melanoma::S.39	24	0	0	172	116	0	0
Skin-Melanoma::S.40	133	164	0	200	0	0	298
Skin-Melanoma::S.41	67	0	0	997	0	0	0
Skin-Melanoma::S.42	43	0	0	158	145	0	158
Skin-Melanoma::S.43	60	42	0	343	0	0	133
Skin-Melanoma::S.44	0	0	0	0	0	0	1391
Skin-Melanoma::S.45	0	0	0	718	196	0	424
Skin-Melanoma::S.46	168	0	0	301	0	0	269
Skin-Melanoma::S.47	226	0	0	0	0	0	1103
Skin-Melanoma::S.48	32	95	0	0	0	0	184
Skin-Melanoma::S.49	0	0	0	313	0	0	87
Skin-Melanoma::S.50	101	0	0	400	146	0	135
Skin-Melanoma::S.51	336	0	0	275	182	0	122
Skin-Melanoma::S.52	123	179	0	291	0	0	0
Skin-Melanoma::S.53	201	0	0	173	0	0	69
Skin-Melanoma::S.54	0	0	0	809	0	0	1516
Skin-Melanoma::S.55	164	0	0	0	334	0	608
Skin-Melanoma::S.56	64	0	0	350	0	0	0
Skin-Melanoma::S.57	0	0	0	580	0	0	0
Skin-Melanoma::S.58	123	77	0	0	286	0	266
Skin-Melanoma::S.59	242	0	0	0	234	0	95
