Sample Names	MutationType	DBS2	DBS3	DBS4	DBS6	DBS7	DBS8	DBS9	DBS10
ColoRect-AdenoCA::S.1	AC>CA	0.0	0.0	0.0	0.02001920291682519	0.9799807970831748	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>CG	0.0	0.0	0.0	0.008167150430921205	0.9918328495690787	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>CT	0.0	0.0	0.0	0.00618216031655029	0.9938178396834497	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>GA	0.0	0.0	0.0	0.23712946770163537	0.7628705322983647	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>GG	0.0	0.0	0.0	0.014227711812287575	0.9857722881877123	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>GT	0.0	0.0	0.0	0.010234179890588713	0.9897658201094114	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>TA	0.0	0.0	0.0	0.3964539531787973	0.6035460468212027	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>TG	0.0	0.0	0.0	0.13688187237262456	0.8631181276273754	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>TT	0.0	0.0	0.0	0.48716900152470277	0.5128309984752972	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>CA	0.0	0.0	0.0	0.0036072058983783913	0.9963927941016216	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>CC	0.0	0.0	0.0	0.0035845451221468714	0.996415454877853	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>CG	0.0	0.0	0.0	0.0005775164907469412	0.999422483509253	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>GA	0.0	0.0	0.0	0.038143719154171564	0.9618562808458283	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>GC	0.0	0.0	0.0	0.0006520734041134474	0.9993479265958866	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>TA	0.0	0.0	0.0	0.022300237452208684	0.9776997625477912	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>AA	0.0	0.0	0.0	0.24439125396554018	0.7556087460344598	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>AG	0.0	0.0	0.0	0.9961905036495278	0.0038094963504722453	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>AT	0.0	0.0	0.0	0.15341428528857598	0.846585714711424	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>GA	0.0	0.0	0.0	0.9764353265113538	0.023564673488646173	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>GG	0.0	0.0	0.0	0.7568285385884871	0.24317146141151297	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>GT	0.0	0.0	0.0	0.8815067987662544	0.11849320123374565	0.0	0.0	0.0
