Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Stomach-AdenoCA::S.1	345	0.747	284.465	82.454%	63.901	69.015%	0.70484	0.688
Stomach-AdenoCA::S.2	260	0.953	128.751	49.52%	31.745	33.057%	1.48778	0.948
Stomach-AdenoCA::S.3	197	0.929	106.945	54.287%	26.659	37.123%	0.33144	0.921
Stomach-AdenoCA::S.4	136	0.754	106.079	77.999%	43.392	71.144%	0.5486	0.737
Stomach-AdenoCA::S.5	126	0.983	45.084	35.781%	14.034	19.725%	0.23517	0.982
Stomach-AdenoCA::S.6	216	0.847	129.718	60.055%	31.912	53.727%	0.35838	0.813
Stomach-AdenoCA::S.7	299	0.727	241.181	80.663%	62.917	77.699%	3.90009	0.675
Stomach-AdenoCA::S.8	234	0.882	168.121	71.847%	35.493	47.964%	1.35238	0.865
Stomach-AdenoCA::S.9	258	0.936	128.297	49.728%	28.781	35.965%	0.29568	0.927
Stomach-AdenoCA::S.10	234	0.842	166.898	71.324%	40.474	54.028%	1.98046	0.817
Stomach-AdenoCA::S.11	189	0.962	84.654	44.79%	16.633	28.119%	0.27596	0.957
Stomach-AdenoCA::S.12	71	0.925	44.896	63.234%	15.19	48.253%	0.51638	0.921
Stomach-AdenoCA::S.13	367	0.672	384.363	104.731%	156.651	79.12%	6.8764	0.656
Stomach-AdenoCA::S.14	357	0.965	119.331	33.426%	46.768	27.003%	0.42489	0.963
Stomach-AdenoCA::S.15	223	0.986	87.043	39.033%	25.927	18.301%	0.19477	0.986
Stomach-AdenoCA::S.16	163	0.956	162.203	99.511%	51.143	66.009%	2.07817	0.958
Stomach-AdenoCA::S.17	186	0.893	125.759	67.612%	51.275	47.115%	0.36238	0.889
Stomach-AdenoCA::S.18	181	0.918	110.844	61.24%	26.918	41.7%	0.41897	0.911
Stomach-AdenoCA::S.19	140	0.804	95.005	67.861%	45.164	59.447%	0.34357	0.794
Stomach-AdenoCA::S.20	456	0.76	370.014	81.143%	106.438	65.051%	1.49841	0.728
Stomach-AdenoCA::S.21	51	0.988	15.716	30.816%	3.632	15.473%	0.25521	0.987
Stomach-AdenoCA::S.22	120	0.8	92.483	77.069%	34.694	64.336%	0.75903	0.787
Stomach-AdenoCA::S.23	171	0.737	125.694	73.505%	34.086	73.495%	1.11545	0.684
Stomach-AdenoCA::S.24	194	0.987	62.672	32.305%	18.629	17.236%	1.86135	0.987
Stomach-AdenoCA::S.25	98	0.861	79.009	80.621%	16.912	61.919%	0.70373	0.842
Stomach-AdenoCA::S.26	171	0.936	77.84	45.52%	22.893	36.467%	0.22018	0.929
Stomach-AdenoCA::S.27	242	0.886	137.68	56.893%	38.795	46.429%	0.35113	0.871
Stomach-AdenoCA::S.28	633	0.947	279.166	44.102%	53.912	32.72%	0.24209	0.936
Stomach-AdenoCA::S.29	122	0.605	126.308	103.531%	35.991	83.051%	0.82341	0.552
Stomach-AdenoCA::S.30	270	0.921	143.723	53.231%	45.975	40.538%	0.80606	0.915
Stomach-AdenoCA::S.31	232	0.891	153.628	66.219%	35.06	45.769%	0.56418	0.876
Stomach-AdenoCA::S.32	129	0.623	127.814	99.081%	25.155	83.99%	1.29096	0.493
Stomach-AdenoCA::S.33	353	0.868	271.633	76.95%	89.931	58.606%	8.14692	0.86
Stomach-AdenoCA::S.34	187	0.781	133.718	71.507%	38.845	63.476%	0.60872	0.748
Stomach-AdenoCA::S.35	183	0.843	139.193	76.062%	45.664	55.339%	1.37888	0.832
Stomach-AdenoCA::S.36	32	0.789	25.656	80.175%	10.18	70.586%	1.78819	0.777
Stomach-AdenoCA::S.37	106	0.742	99.068	93.46%	43.65	67.791%	2.34288	0.731
Stomach-AdenoCA::S.38	239	0.854	147.632	61.771%	36.166	53.598%	0.39224	0.825
Stomach-AdenoCA::S.39	182	0.668	163.455	89.81%	37.864	84.54%	2.48193	0.587
Stomach-AdenoCA::S.40	31	0.721	30.088	97.058%	9.614	88.131%	0.86762	0.699
Stomach-AdenoCA::S.41	214	0.76	164.608	76.92%	40.386	69.631%	1.22265	0.71
Stomach-AdenoCA::S.42	260	0.789	216.651	83.327%	82.373	71.426%	8.08318	0.777
Stomach-AdenoCA::S.43	134	0.938	108.974	81.324%	39.682	54.902%	7.04108	0.937
Stomach-AdenoCA::S.44	198	0.992	68.105	34.396%	23.9	18.57%	0.28936	0.992
Stomach-AdenoCA::S.45	220	0.975	114.436	52.016%	25.136	25.383%	0.39631	0.973
Stomach-AdenoCA::S.46	208	0.824	132.909	63.899%	32.789	57.27%	0.46346	0.785
Stomach-AdenoCA::S.47	204	0.744	151.712	74.369%	40.728	68.453%	0.5207	0.693
Stomach-AdenoCA::S.48	80	0.867	60.561	75.701%	20.391	56.511%	2.5411	0.86
Stomach-AdenoCA::S.49	178	0.893	102.792	57.748%	23.14	45.019%	1.81874	0.872
Stomach-AdenoCA::S.50	35	0.939	22.951	65.574%	7.118	40.362%	0.73662	0.937
Stomach-AdenoCA::S.51	96	0.874	82.978	86.435%	16.907	48.847%	3.70844	0.86
Stomach-AdenoCA::S.52	77	0.935	39.443	51.225%	14.466	43.796%	2.12083	0.932
Stomach-AdenoCA::S.53	249	0.78	210.299	84.457%	79.888	81.796%	5.68032	0.766
Stomach-AdenoCA::S.54	236	0.848	147.356	62.439%	36.208	57.89%	0.37004	0.817
Stomach-AdenoCA::S.55	183	0.901	103.48	56.546%	38.647	43.49%	0.35473	0.894
Stomach-AdenoCA::S.56	103	0.801	78.121	75.846%	27.296	63.445%	0.434	0.786
Stomach-AdenoCA::S.57	143	0.707	123.236	86.179%	35.474	72.822%	0.82495	0.665
Stomach-AdenoCA::S.58	106	0.605	123.127	116.158%	35.681	131.166%	2.20818	0.562
Stomach-AdenoCA::S.59	299	0.812	231.766	77.514%	100.457	59.085%	4.55201	0.803
Stomach-AdenoCA::S.60	275	0.894	184.09	66.942%	45.524	47.893%	2.61757	0.882
Stomach-AdenoCA::S.61	74	0.787	57.715	77.993%	26.084	63.041%	3.75152	0.777
Stomach-AdenoCA::S.62	253	0.861	176.002	69.566%	43.121	55.683%	1.45362	0.841
Stomach-AdenoCA::S.63	111	0.559	115.731	104.262%	29.177	92.684%	2.76111	0.473
Stomach-AdenoCA::S.64	131	0.813	108.574	82.881%	34.558	63.53%	2.66486	0.799
Stomach-AdenoCA::S.65	73	0.901	50.544	69.238%	21.215	44.755%	0.82346	0.898
Stomach-AdenoCA::S.66	218	0.801	190.105	87.204%	40.601	63.193%	3.8701	0.766
