"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec"
"1","pasa",2.78043793629042,2.91792050303166,0.289710404416409,0.939380354213688,1,0.10666941653481,0.118155979053495,0.0725877270012996,0.144486460518242,0.920260582010582,1,0.142380104471165,0.978333333333333,1,0.0961966762372552
"2","fitms_0.01",2.74037579139225,2.88005808176344,0.299338292634066,0.920450019116686,1,0.126535028561947,0.129097753581294,0.0921061627545426,0.143293256997991,0.903708994708995,1,0.163974418858864,0.96576455026455,1,0.112524943386959
"3","fitms_0.06",2.52167405483849,2.74339571493243,0.609339400244363,0.810672241338908,1,0.311898875889219,0.238725416060979,0.12692712212629,0.302076997002141,0.79176455026455,1,0.323020059647266,0.968634920634921,1,0.107447230265841
"4","fitms_0.03",2.52095847662151,2.7421016732688,0.609057022725478,0.810386527053194,1,0.3118313746706,0.238978031314999,0.128757959100966,0.301955522975528,0.792320105820106,1,0.32316286398098,0.967616402116402,1,0.108612226679532
"5","mp",2.5292210850807,2.62432227638975,0.389749707500338,0.887876167042834,1,0.149002514366249,0.289751137141527,0.245732251518727,0.215166218437032,0.869583333333333,1,0.192282041731541,0.949388888888889,1,0.139046083258278
"6","yapsa_0.06",2.47825765152056,2.5570321942839,0.415721235516083,0.861415208248542,0.888888888888889,0.159632838013145,0.297748962236051,0.250974401325661,0.217428083275783,0.867988095238095,1,0.190625670124243,0.908018518518519,1,0.184448758089273
"7","yapsa_0.03",2.47634732898688,2.55247422916421,0.412932749622278,0.860348077848078,0.888888888888889,0.161599614541837,0.298427803288254,0.255226522295881,0.217502578316487,0.921562169312169,1,0.150016150787822,0.853212962962963,1,0.215038424536674
"8","yapsa_0.10",2.44845261763512,2.49487937621948,0.425341548672424,0.843917989417989,0.857142857142857,0.166879437436339,0.305314578132077,0.261635112683854,0.220081745428677,0.805507936507937,1,0.222440849086239,0.948259259259259,1,0.147711691258563
"9","yapsa_0.01",2.43435796425154,2.47197949728796,0.3944693825192,0.830328298244965,0.857142857142857,0.173164120667357,0.302141153914247,0.255981527062752,0.21592812507877,0.962854497354497,1,0.103809850578842,0.773644620811287,0.8,0.238916468150531
"10","sigpro",2.38240380489334,2.4140508862207,0.551912346322464,0.799648067981401,0.8,0.197390268032656,0.324145136905602,0.25,0.318953252460475,0.711271164021164,0.666666666666667,0.264668310884735,0.995277777777778,1,0.0456782271172975
"11","yapsa_0.00",2.385406549293,2.41133832738387,0.380674657723637,0.795109576697812,0.8,0.181491023019585,0.303338600618813,0.257870891614455,0.215531435593414,0.976973544973545,1,0.084734672318953,0.711771604938272,0.714285714285714,0.243926655478218
"12","deconstruct_0.03",1.93129130633273,2.09569692314306,1.75504084834559,0.843831908831909,0.857142857142857,0.172483088133526,0.799875360333941,0.694723417864588,1.69572702119073,0.849603174603175,1,0.20584007844859,0.881563492063492,1,0.190740350454837
"13","deconstruct_0.00",1.93089911555994,2.09533073929961,1.75640876616722,0.845654179154179,0.857142857142857,0.170274788912718,0.799882630471808,0.694874647405348,1.69582107532689,0.869494708994709,1,0.194516242595704,0.861287037037037,1,0.196880653166648
"14","deconstruct_0.06",1.91078609024189,2.07815709044722,1.7553858754489,0.830206965873633,0.857142857142857,0.177916843341548,0.80102607907028,0.694113490605835,1.69555380620082,0.811748677248677,1,0.221489052126202,0.900063492063492,1,0.184838596832879
"15","deconstruct_0.10",1.87816450052981,2.05434947070444,1.75136151142016,0.80683798300465,0.8,0.19031907793459,0.804674123808815,0.698350125273053,1.6939208079211,0.764449735449735,0.75,0.243522882090867,0.918388888888889,1,0.178171154932224
"16","sigest",1.44319032066346,1.26442661605713,0.866679957581622,0.591964803714804,0.571428571428571,0.206101048356375,0.821048215491747,0.911756223436478,0.619912346875226,0.62264417989418,0.5,0.259659362980734,0.641594356261023,0.5,0.260735220866438
