cancer.type,Tool,rank_in_cancer_type,m.Combined
Breast-AdenoCA,pasa,1,2.77825468067632
Breast-AdenoCA,fitms_0.060,2,2.69865245576528
Breast-AdenoCA,musical,3,2.67412774522789
Breast-AdenoCA,msa_thresholdx10,4,2.65009717181357
Breast-AdenoCA,deconstruct_0.03,5,2.57834928629271
Breast-AdenoCA,mp,6,2.56438668355229
Breast-AdenoCA,yapsa_0.03,7,2.55751250714542
Breast-AdenoCA,mutsig,8,2.49669407863911
Breast-AdenoCA,sigspack,9,2.40052615831797
Breast-AdenoCA,sigpro,10,2.39962593367219
Breast-AdenoCA,sigest,11,2.39703806307987
Breast-AdenoCA,sigfit,12,2.34536421327459
ColoRect-AdenoCA,fitms_0.060,1,2.92099674587776
ColoRect-AdenoCA,pasa,2,2.91418530001204
ColoRect-AdenoCA,musical,3,2.87741781438442
ColoRect-AdenoCA,sigpro,4,2.84158619473838
ColoRect-AdenoCA,msa_thresholdx10,5,2.83829912493616
ColoRect-AdenoCA,mp,6,2.82210600029053
ColoRect-AdenoCA,yapsa_0.03,7,2.81188094255629
ColoRect-AdenoCA,deconstruct_0.03,8,2.76030522168517
ColoRect-AdenoCA,mutsig,9,2.69440437647189
ColoRect-AdenoCA,sigspack,10,2.64077727555164
ColoRect-AdenoCA,sigest,11,2.63411060888497
ColoRect-AdenoCA,sigfit,12,2.55740372544087
Eso-AdenoCA,pasa,1,2.91879502448554
Eso-AdenoCA,fitms_0.060,2,2.80712559510742
Eso-AdenoCA,yapsa_0.03,3,2.77533401787266
Eso-AdenoCA,musical,4,2.76765533757755
Eso-AdenoCA,msa_thresholdx10,5,2.74474410816166
Eso-AdenoCA,deconstruct_0.03,6,2.7186907887824
Eso-AdenoCA,mp,7,2.6137168612333
Eso-AdenoCA,sigpro,8,2.56903222625429
Eso-AdenoCA,mutsig,9,2.52981438312123
Eso-AdenoCA,sigest,10,2.38173574285138
Eso-AdenoCA,sigspack,11,2.37349367935931
Eso-AdenoCA,sigfit,12,2.30591482587814
Kidney-RCC,pasa,1,2.70576900746776
Kidney-RCC,fitms_0.060,2,2.65705541219253
Kidney-RCC,musical,3,2.58718726369547
Kidney-RCC,deconstruct_0.03,4,2.5786724732684
Kidney-RCC,mp,5,2.5701279010686
Kidney-RCC,msa_thresholdx10,6,2.56354374557344
Kidney-RCC,yapsa_0.03,7,2.54572295192675
Kidney-RCC,mutsig,8,2.43920328707653
Kidney-RCC,sigest,9,2.38185214487242
Kidney-RCC,sigspack,10,2.37052277979305
Kidney-RCC,sigpro,11,2.34410603129252
Kidney-RCC,sigfit,12,2.31302189530324
Liver-HCC,pasa,1,2.81455031417699
Liver-HCC,fitms_0.060,2,2.73118275523198
Liver-HCC,musical,3,2.66677612019229
Liver-HCC,msa_thresholdx10,4,2.65095072643963
Liver-HCC,yapsa_0.03,5,2.64132293920213
Liver-HCC,deconstruct_0.03,6,2.63444262980303
Liver-HCC,mp,7,2.56204618532926
Liver-HCC,mutsig,8,2.48953588773713
Liver-HCC,sigspack,9,2.45101690579715
Liver-HCC,sigest,10,2.44890976294001
Liver-HCC,sigfit,11,2.39194304487126
Liver-HCC,sigpro,12,2.32713437219683
Lung-AdenoCA,pasa,1,2.77137733761134
