,SBS1,SBS4,SBS5,SBS9,SBS12,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS22a,SBS24,SBS29,SBS30,SBS31,SBS35,SBS40
Liver-HCC::S.1,0.0,2956.0,4323.0,0.0,0.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,1569.0,361.0,0.0,0.0,0.0
Liver-HCC::S.2,0.0,5347.0,5140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4925.0
Liver-HCC::S.3,0.0,0.0,11115.0,0.0,2172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0,0.0,0.0,0.0
Liver-HCC::S.4,0.0,0.0,6411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.5,223.0,2807.0,1257.0,0.0,0.0,2635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.6,547.0,0.0,6482.0,0.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7565.0
Liver-HCC::S.7,137.0,0.0,0.0,0.0,3916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0,0.0,1472.0
Liver-HCC::S.8,224.0,0.0,5820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.9,157.0,0.0,7409.0,0.0,2191.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.10,0.0,0.0,10044.0,0.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.11,0.0,2730.0,5851.0,0.0,914.0,1733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,2294.0
Liver-HCC::S.12,166.0,1912.0,2115.0,0.0,1144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0
Liver-HCC::S.13,523.0,0.0,15830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,1187.0,0.0,0.0,0.0
Liver-HCC::S.14,0.0,0.0,5613.0,0.0,2906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3156.0
Liver-HCC::S.15,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,649.0,0.0,0.0,0.0,1952.0
Liver-HCC::S.16,178.0,0.0,8367.0,0.0,2064.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.17,0.0,0.0,4619.0,0.0,5404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,0.0,0.0,0.0
Liver-HCC::S.18,318.0,0.0,0.0,0.0,2377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,1060.0
Liver-HCC::S.19,503.0,0.0,6263.0,0.0,2451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.20,0.0,0.0,4208.0,0.0,2159.0,1056.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.21,0.0,0.0,6395.0,0.0,1496.0,2725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.0,0.0,0.0,0.0
