Samples	SBS1	SBS5	SBS10a	SBS10b	SBS17a	SBS17b	SBS18	SBS28	SBS37	SBS40
ColoRect-AdenoCA::S.1	2229	0	0	0	0	0	6155	0	0	0
ColoRect-AdenoCA::S.2	2201	1535	992	0	0	0	3817	0	0	6447
ColoRect-AdenoCA::S.3	1975	1967	0	0	0	0	5935	0	0	0
ColoRect-AdenoCA::S.4	1783	1986	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.5	2182	1691	0	0	0	0	0	0	0	22500
ColoRect-AdenoCA::S.6	2153	6017	0	0	0	0	2166	0	0	8554
ColoRect-AdenoCA::S.7	2701	2840	0	0	0	0	2322	0	0	0
ColoRect-AdenoCA::S.8	1642	4956	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.9	2776	3021	0	0	0	0	4365	0	0	6905
ColoRect-AdenoCA::S.10	1756	1781	0	0	0	0	4791	0	2614	0
ColoRect-AdenoCA::S.11	3444	1987	0	0	0	0	3854	0	0	10059
ColoRect-AdenoCA::S.12	2673	1450	0	0	0	1972	2705	0	0	0
ColoRect-AdenoCA::S.13	3603	0	0	0	0	0	4894	0	0	10904
ColoRect-AdenoCA::S.14	2450	0	0	0	0	0	0	0	0	23167
ColoRect-AdenoCA::S.15	1599	0	0	0	0	0	4050	0	0	4556
ColoRect-AdenoCA::S.16	3714	0	0	0	0	0	0	0	0	6261
ColoRect-AdenoCA::S.17	2031	2923	0	0	0	0	5139	0	0	4973
ColoRect-AdenoCA::S.18	2493	3137	0	0	0	0	0	0	0	11123
ColoRect-AdenoCA::S.19	1897	2474	816	0	0	0	6409	0	0	3419
ColoRect-AdenoCA::S.20	1257	2588	0	0	0	0	4957	0	0	6295
ColoRect-AdenoCA::S.21	2875	288	0	0	0	0	5870	1375	0	6312
ColoRect-AdenoCA::S.22	1920	58	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.23	3759	7779	0	0	0	0	2777	0	0	0
ColoRect-AdenoCA::S.24	3149	5199	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.25	3360	747	0	0	0	0	0	0	0	8284
ColoRect-AdenoCA::S.26	2269	4295	0	0	0	0	3448	0	0	6248
ColoRect-AdenoCA::S.27	3139	1314	0	0	0	9116	3880	0	0	0
ColoRect-AdenoCA::S.28	2465	0	0	0	0	0	3923	0	0	10781
ColoRect-AdenoCA::S.29	1722	4935	0	0	0	0	2462	0	0	0
ColoRect-AdenoCA::S.30	2716	9176	0	0	0	0	10499	0	0	0
ColoRect-AdenoCA::S.31	4202	0	0	0	0	0	0	0	0	11652
ColoRect-AdenoCA::S.32	1565	2511	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.33	846	2163	0	0	0	0	3627	0	0	7602
ColoRect-AdenoCA::S.34	2580	1788	0	0	0	0	0	0	0	8868
ColoRect-AdenoCA::S.35	4368	2549	0	0	0	0	4277	0	0	0
ColoRect-AdenoCA::S.36	3641	1422	0	0	1784	0	9680	0	0	0
ColoRect-AdenoCA::S.37	5181	1146	0	0	0	0	0	0	0	15192
ColoRect-AdenoCA::S.38	2779	0	0	0	0	1960	0	0	0	6035
ColoRect-AdenoCA::S.39	4216	1362	0	0	0	0	7550	0	0	5451
ColoRect-AdenoCA::S.40	2870	1227	0	0	0	0	3352	0	0	0
ColoRect-AdenoCA::S.41	2555	0	0	0	0	0	0	0	0	15521
ColoRect-AdenoCA::S.42	2211	0	0	0	904	0	3619	0	0	9627
ColoRect-AdenoCA::S.43	2702	1643	0	0	1948	0	3837	0	0	9065
ColoRect-AdenoCA::S.44	2234	4058	0	0	0	0	4953	0	0	11223
ColoRect-AdenoCA::S.45	1546	3565	0	0	0	0	3088	728	0	9185
ColoRect-AdenoCA::S.46	1813	4646	0	0	0	0	3455	0	0	0
ColoRect-AdenoCA::S.47	3142	1615	0	0	2587	0	2381	0	0	5925
ColoRect-AdenoCA::S.48	3433	3411	0	0	0	0	0	0	0	17545
ColoRect-AdenoCA::S.49	1481	631	0	0	0	0	4953	0	0	10268
ColoRect-AdenoCA::S.50	4686	3547	0	0	0	2179	0	0	0	6074
ColoRect-AdenoCA::S.51	2092	3333	0	0	0	0	3492	0	0	0
ColoRect-AdenoCA::S.52	3114	663	0	0	0	0	3540	0	0	0
ColoRect-AdenoCA::S.53	2961	2414	0	0	0	0	0	0	0	12955
ColoRect-AdenoCA::S.54	2170	0	0	0	0	0	5086	0	0	5744
ColoRect-AdenoCA::S.55	1729	3567	0	0	0	10977	0	0	0	0
ColoRect-AdenoCA::S.56	3249	2591	0	0	0	0	2553	0	0	3229
ColoRect-AdenoCA::S.57	2083	643	0	0	0	0	3497	0	0	7182
ColoRect-AdenoCA::S.58	2854	1167	0	0	0	0	6620	0	0	0
ColoRect-AdenoCA::S.59	4021	350	0	0	0	0	3995	0	0	7724
ColoRect-AdenoCA::S.60	2162	1669	0	0	0	0	2110	0	0	8637
ColoRect-AdenoCA::S.61	1788	1525	0	0	0	0	1983	0	1867	6048
ColoRect-AdenoCA::S.62	3396	819	0	0	0	0	3541	0	0	14106
ColoRect-AdenoCA::S.63	2283	9518	0	0	0	0	8172	0	0	0
ColoRect-AdenoCA::S.64	2314	0	0	0	0	0	0	0	0	16214
ColoRect-AdenoCA::S.65	2570	7219	0	0	0	0	5912	0	0	0
ColoRect-AdenoCA::S.66	1739	2269	0	0	0	0	0	0	1878	4221
ColoRect-AdenoCA::S.67	3706	0	0	0	0	0	0	0	0	8714
ColoRect-AdenoCA::S.68	2101	7211	0	0	0	0	5930	0	0	0
ColoRect-AdenoCA::S.69	3297	1483	0	0	0	0	3250	0	0	9039
ColoRect-AdenoCA::S.70	3584	1921	0	0	0	0	4935	0	0	11648
ColoRect-AdenoCA::POLE.S.1	18928	340164	196599	83943	0	0	0	164697	0	0
ColoRect-AdenoCA::POLE.S.2	5536	193706	89548	171912	0	0	0	153102	0	0
ColoRect-AdenoCA::POLE.S.3	74504	56523	230057	161757	0	0	0	57160	0	0
ColoRect-AdenoCA::POLE.S.4	19688	389736	479272	246276	0	0	0	191652	0	0
ColoRect-AdenoCA::POLE.S.5	4544	73011	300429	157490	0	0	0	1042975	0	0
ColoRect-AdenoCA::POLE.S.6	12779	107752	351655	276767	0	0	0	135635	0	0
ColoRect-AdenoCA::POLE.S.7	8603	345109	764763	81755	0	0	0	256744	0	0
ColoRect-AdenoCA::POLE.S.8	16082	90999	867990	151297	0	0	0	467309	0	0
ColoRect-AdenoCA::POLE.S.9	7571	625223	352529	86776	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.10	9670	307779	746352	0	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.11	33879	98096	133394	62041	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.12	0	227038	979367	283388	0	0	0	182433	0	0
ColoRect-AdenoCA::POLE.S.13	7265	88780	244769	162721	0	0	0	103866	0	0
ColoRect-AdenoCA::POLE.S.14	49241	240641	431282	98855	0	0	0	114492	0	0
