MutationType	DBS2	DBS4	DBS5	DBS9
AC>CA	0.000374079158890813	0.00414185748142889	0.0021398219882088	0.0245918183020509
AC>CG	3.17067094567882e-05	4.96222538837858e-05	0.00046196156941704	0.00206931154005063
AC>CT	0.000126026668503322	8.32373290953826e-18	0.0020198319701784	0.0284905212035956
AC>GA	0.00023705016218482	0.00440197413485197	0.00055795358384136	0.0252915854895076
AC>GG	4.17088260046709e-18	7.01314515575279e-18	1.1099076667812e-17	0.00712762863795216
AC>GT	0.000280059263340716	1.12050250705323e-08	0.00082193162350824	0.012095975668895
AC>TA	0.00148031324908664	0.001270569807105	0.0014798768890416	0.041186297318882
AC>TG	6.3613461244534e-06	5.31238242183271e-05	0.0011199068349504	0.0178940466506793
AC>TT	0.00292061803198175	0.000161072235388901	0.0074693786223924	0.0443852330329699
AT>CA	3.78080005509966e-05	0.000916410978982818	0.00010799101622736	0.0126957761152864
AT>CC	4.17088260046709e-18	7.00314066908267e-18	2.1298228200396e-05	0.00177940799096141
AT>CG	4.17088260046709e-18	9.46424438993173e-18	1.049912657766e-17	9.21693352621583e-18
AT>GA	0.000168035558004429	0.000324145368111827	0.0011099076667812	0.00636788140585627
AT>GC	5.85123818051138e-06	1.76078965394079e-05	1.049912657766e-17	0.00180939801328098
AT>TA	0.000458096937893028	0.0045320324615635	0.00079293403581756	0.00919694017800278
CC>AA	0.724153238066708	7.00314066908267e-18	1.049912657766e-17	9.01700004408534e-18
CC>AG	0.0726153661376284	0.00543243626187413	0.024297978651156	0.0263912196412254
CC>AT	0.100021165478827	0.0157070440720854	0.0024297978651156	0.0194935145077233
CC>GA	0.0177037462897524	0.00355159276789193	6.7594376823792e-05	0.0109963415171772
CC>GG	0.000450095244654721	7.30327526918622e-05	1.1899010121348e-05	0.00305898227659658
CC>GT	0.0011002328202671	7.99358484942436e-05	2.4797937059616e-05	0.0178940466506793
CC>TA	0.0160033864766123	0.000170076273392008	0.0012698943574884	0.000686771511118251
CC>TG	0.00023705016218482	8.30372393619803e-06	0.0048095998893852	0.0154948448651134
CC>TT	4.17088260046709e-18	7.00314066908267e-18	1.049912657766e-17	9.01700004408534e-18
CG>AT	0.00115024340300651	0.000290130113433425	0.0016398635797488	0.000218927162932892
CG>GC	0.000369078100616872	5.10228820176023e-06	9.9191748238464e-05	1.19960089278297e-05
CG>GT	0.00128027091812899	7.00314066908267e-18	0.0064794609736416	9.93669406188561e-05
CG>TA	4.17088260046709e-18	7.00314066908267e-18	1.049912657766e-17	9.01700004408533e-18
CG>TC	0.00215045505779478	7.00314066908267e-18	2.9797521144216e-05	0.000132955765616779
CG>TT	0.00556117680062278	0.000361161968791264	0.0022198153335624	8.28724283430903e-05
CT>AA	0.00321067941187035	7.00314066908267e-18	0.46596123668472	9.01700004408534e-18
CT>AC	4.17088260046709e-18	7.00314066908267e-18	0.20898261473628	9.01700004408534e-18
CT>AG	0.000587124241360715	0.000363162866125287	0.026697779011764	0.000581806432999741
CT>GA	1.81038309516677e-05	0.000673301952898948	0.016098660752412	0.00283905544625303
CT>GC	0.000134028361741628	7.22323937582527e-05	0.004849596562062	0.0031089656471292
CT>GG	8.98190065999866e-05	0.000926415465652936	0.0005699525856444	0.0103965410707858
CT>TA	0.00338071539318435	7.00314066908267e-18	0.0033397221685128	9.01700004408534e-18
CT>TC	3.84081275438696e-05	7.00314066908267e-18	0.00023698028561004	2.99900223195743e-05
CT>TG	0.000390082545367425	3.08138189439638e-05	0.00087392729798808	9.45685370477243e-18
GC>AA	0.00508107520632441	0.328147162779874	0.00013298893665036	9.01700004408534e-18
GC>AG	0.000325068787806188	0.0113050699372335	0.0026597787330072	0.123958758920907
GC>AT	0.00095320170701322	0.00924414568318913	0.0015698694025644	0.125958093742212
GC>CA	0.00106022435407557	0.0119053391374405	0.0045796190214936	0.0273908870518779
GC>CG	6.69141597053353e-05	9.8344103967261e-07	0.00032297313186516	0.00249916852663119
GC>TA	0.000736155777924166	0.017707941406109	0.00022198153335624	0.0139953437491347
TA>AT	0.00275058205066774	0.030413639477159	0.0018698444476404	0.0154948448651134
TA>CG	1.89040002754983e-05	0.000389174531467594	7.8893436854988e-06	0.00134955100438084
TA>CT	0.000280059263340716	0.00872391237634299	0.0022698111744084	0.0141952772312652
TA>GC	8.22173980235957e-05	7.02314964242291e-05	5.2195657843224e-05	0.000578807430767784
TA>GG	7.89166995627944e-05	0.00222099604076622	0.0016298644115796	0.00324891908462055
TA>GT	0.00130027515122475	0.00806361625611519	0.0019098411203172	0.00777741245487626
TC>AA	0.00145030689944299	0.379170044797476	0.040396639403568	0.00368877274530764
TC>AG	0.000200042330957654	0.00187083900731209	0.014898760572108	0.0466844680774706
TC>AT	4.17088260046709e-18	0.00841377328956933	0.00074793777905616	0.0517827718717983
TC>CA	0.0006821443485656	0.0846379572291992	0.0014298810481956	0.0487837696398408
TC>CG	3.89082333712637e-06	0.000400179466804724	1.0599118259352e-17	0.00778740912898279
TC>CT	0.00335070904354071	8.28371496285779e-06	0.001049912657766	0.0513829049075373
TC>GA	0.000885187314487618	0.0364163314792299	2.4597953696232e-05	0.0172942462042878
TC>GG	9.87208903276022e-06	1.04046661369228e-05	3.4797105228816e-05	0.00372875944173374
TC>GT	8.57181388153546e-05	7.00314066908267e-18	3.8596789133112e-05	9.14695680747015e-18
TG>AA	0.00296062649817328	0.00763342332930011	0.01799850270456	0.0157947450883091
TG>AC	0.000220046564053419	0.000118052942707394	0.0014598785527032	0.0072675820754435
TG>AT	0.00429090799904168	7.00314066908267e-18	0.020398303065168	0.000745751888346747
TG>CA	0.000144030478289511	0.000804360728277496	0.00047596040485392	0.0227924169628765
TG>CC	5.94125722944232e-05	0.000120053840041417	0.00050595790936152	0.0117960754456992
TG>CT	0.00307064978019999	8.21368355616696e-05	0.00032797271594976	0.000967678053511597
TG>GA	0.00147031113253876	0.00785352203604271	0.0032697279913284	0.0061779445978323
TG>GC	0.000272057570102409	0.000604270994875134	0.00029197571054064	0.00390869957565118
TG>GT	0.00640135459064493	3.23144919444815e-05	0.082693120759284	0.00333888915157927
TT>AA	0.00431091223213744	1.80080760062126e-05	0.0049195907392464	0.000340886587032494
TT>AC	0.000345073020901953	6.60296120227795e-07	0.00096591964514472	0.00665778495494549
TT>AG	0.000215045505779478	7.00314066908267e-18	0.00089292571750956	0.000917694682978973
TT>CA	4.17088260046709e-18	7.00314066908267e-18	1.049912657766e-17	9.02699671819186e-18
TT>CC	2.98063073126904e-06	7.00314066908267e-18	0.00077293569947916	0.00515828383896678
TT>CG	1.52032171527817e-05	7.25325283583563e-18	1.049912657766e-17	1.9793414730919e-05
TT>GA	4.79101382643581e-05	7.00314066908267e-18	2.9897512825908e-05	9.16695015568321e-18
TT>GC	1.54032594837394e-06	7.00314066908267e-18	5.6595291837672e-05	3.55881598192282e-05
TT>GG	4.17088260046709e-18	7.00314066908267e-18	1.049912657766e-17	9.01700004408534e-18
