,DBS2,DBS4,DBS5,DBS6,DBS11
Lung-AdenoCA::S.1,78.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.2,194.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.3,1564.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.4,480.0,0.0,0.0,190.0,0.0
Lung-AdenoCA::S.5,499.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.6,41.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.7,0.0,0.0,0.0,1923.0,0.0
Lung-AdenoCA::S.8,1283.0,0.0,0.0,198.0,0.0
Lung-AdenoCA::S.9,124.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.10,6467.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.11,1844.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.12,348.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.13,943.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.14,2363.0,0.0,0.0,353.0,0.0
Lung-AdenoCA::S.15,2749.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.16,574.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.17,494.0,0.0,1073.0,0.0,0.0
Lung-AdenoCA::S.18,56.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.19,772.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.20,50.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.21,132.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.22,758.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.23,617.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.24,201.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.25,436.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.26,932.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.27,2595.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.28,955.0,0.0,0.0,578.0,0.0
Lung-AdenoCA::S.29,419.0,0.0,0.0,1460.0,0.0
Lung-AdenoCA::S.30,71.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.31,286.0,0.0,0.0,319.0,0.0
Lung-AdenoCA::S.32,901.0,0.0,0.0,0.0,0.0
