,ID1,ID2,ID3,ID5,ID6,ID7,ID8,ID14
Stomach-AdenoCA::MSI-H.S.1,15934.0,79976.0,0.0,2734.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::MSI-H.S.2,22660.0,99078.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::MSI-H.S.3,5543.0,25004.0,0.0,3263.0,0.0,2615.0,0.0,0.0
Stomach-AdenoCA::MSI-H.S.4,17136.0,106560.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::MSI-H.S.5,0.0,99015.0,0.0,7122.0,0.0,1434.0,0.0,0.0
Stomach-AdenoCA::MSI-H.S.6,18277.0,67240.0,0.0,0.0,0.0,4790.0,0.0,0.0
Stomach-AdenoCA::MSI-H.S.7,13222.0,59795.0,0.0,5313.0,0.0,1005.0,0.0,0.0
Stomach-AdenoCA::MSI-H.S.8,10946.0,60166.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::MSI-H.S.9,35805.0,108227.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::MSI-H.S.10,23852.0,23418.0,0.0,0.0,0.0,3083.0,0.0,0.0
