,ID1,ID2,ID3,ID5,ID6,ID8,ID9
Lung-AdenoCA::S.1,52.0,0.0,195.0,127.0,0.0,0.0,54.0
Lung-AdenoCA::S.2,191.0,0.0,30.0,0.0,0.0,45.0,0.0
Lung-AdenoCA::S.3,216.0,0.0,2002.0,151.0,0.0,0.0,0.0
Lung-AdenoCA::S.4,0.0,0.0,145.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.5,108.0,0.0,1989.0,0.0,0.0,0.0,891.0
Lung-AdenoCA::S.6,93.0,160.0,0.0,300.0,49.0,140.0,100.0
Lung-AdenoCA::S.7,0.0,0.0,114.0,321.0,0.0,46.0,0.0
Lung-AdenoCA::S.8,122.0,0.0,3311.0,200.0,0.0,0.0,0.0
Lung-AdenoCA::S.9,0.0,14.0,700.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.10,0.0,0.0,0.0,94.0,0.0,54.0,0.0
Lung-AdenoCA::S.11,0.0,0.0,130.0,239.0,0.0,0.0,0.0
Lung-AdenoCA::S.12,99.0,0.0,164.0,142.0,0.0,0.0,0.0
Lung-AdenoCA::S.13,209.0,34.0,1659.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.14,80.0,20.0,730.0,279.0,0.0,0.0,312.0
Lung-AdenoCA::S.15,23.0,0.0,0.0,230.0,0.0,157.0,361.0
Lung-AdenoCA::S.16,155.0,49.0,0.0,0.0,0.0,62.0,0.0
Lung-AdenoCA::S.17,73.0,118.0,2310.0,508.0,0.0,51.0,614.0
Lung-AdenoCA::S.18,115.0,133.0,404.0,306.0,0.0,0.0,0.0
Lung-AdenoCA::S.19,170.0,0.0,63.0,154.0,0.0,76.0,0.0
Lung-AdenoCA::S.20,145.0,0.0,0.0,0.0,0.0,38.0,131.0
Lung-AdenoCA::S.21,64.0,0.0,0.0,59.0,0.0,128.0,0.0
Lung-AdenoCA::S.22,179.0,0.0,0.0,296.0,0.0,0.0,0.0
Lung-AdenoCA::S.23,141.0,0.0,2479.0,157.0,0.0,0.0,0.0
Lung-AdenoCA::S.24,57.0,0.0,2946.0,0.0,0.0,0.0,703.0
Lung-AdenoCA::S.25,0.0,0.0,500.0,351.0,0.0,43.0,0.0
Lung-AdenoCA::S.26,118.0,0.0,389.0,0.0,23.0,42.0,0.0
Lung-AdenoCA::S.27,0.0,74.0,1457.0,0.0,0.0,90.0,0.0
Lung-AdenoCA::S.28,140.0,0.0,154.0,49.0,0.0,0.0,0.0
Lung-AdenoCA::S.29,37.0,13.0,0.0,0.0,63.0,0.0,0.0
