Samples	DBS1	DBS6
Skin-Melanoma::S.1	292	0
Skin-Melanoma::S.2	623	0
Skin-Melanoma::S.3	1498	0
Skin-Melanoma::S.4	960	0
Skin-Melanoma::S.5	4733	0
Skin-Melanoma::S.6	463	0
Skin-Melanoma::S.7	897	0
Skin-Melanoma::S.8	1026	0
Skin-Melanoma::S.9	146	0
Skin-Melanoma::S.10	1994	0
Skin-Melanoma::S.11	13	0
Skin-Melanoma::S.12	294	0
Skin-Melanoma::S.13	2782	0
Skin-Melanoma::S.14	533	0
Skin-Melanoma::S.15	917	0
Skin-Melanoma::S.16	3093	0
Skin-Melanoma::S.17	1559	0
Skin-Melanoma::S.18	5065	0
Skin-Melanoma::S.19	182	0
Skin-Melanoma::S.20	4298	0
Skin-Melanoma::S.21	193	0
Skin-Melanoma::S.22	2111	0
Skin-Melanoma::S.23	2204	0
Skin-Melanoma::S.24	2284	0
Skin-Melanoma::S.25	388	0
Skin-Melanoma::S.26	787	0
Skin-Melanoma::S.27	1266	0
Skin-Melanoma::S.28	790	0
Skin-Melanoma::S.29	1695	0
Skin-Melanoma::S.30	1965	0
Skin-Melanoma::S.31	735	0
Skin-Melanoma::S.32	897	0
Skin-Melanoma::S.33	302	0
Skin-Melanoma::S.34	1434	0
Skin-Melanoma::S.35	3875	0
Skin-Melanoma::S.36	565	0
Skin-Melanoma::S.37	26	0
Skin-Melanoma::S.38	862	0
Skin-Melanoma::S.39	4944	0
Skin-Melanoma::S.40	432	0
Skin-Melanoma::S.41	2456	0
Skin-Melanoma::S.42	9418	0
Skin-Melanoma::S.43	3506	0
Skin-Melanoma::S.44	3069	0
Skin-Melanoma::S.45	1892	0
Skin-Melanoma::S.46	2766	0
Skin-Melanoma::S.47	8773	0
Skin-Melanoma::S.48	5114	0
Skin-Melanoma::S.49	2100	0
Skin-Melanoma::S.50	2607	0
Skin-Melanoma::S.51	948	0
Skin-Melanoma::S.52	1538	0
Skin-Melanoma::S.53	229	0
Skin-Melanoma::S.54	327	0
Skin-Melanoma::S.55	5245	0
Skin-Melanoma::S.56	4157	0
Skin-Melanoma::S.57	3750	0
Skin-Melanoma::S.58	476	0
Skin-Melanoma::S.59	849	0
Skin-Melanoma::S.60	11593	0
Skin-Melanoma::S.61	752	0
Skin-Melanoma::S.62	2176	0
Skin-Melanoma::S.63	1080	0
Skin-Melanoma::S.64	1148	0
Skin-Melanoma::S.65	1028	0
Skin-Melanoma::S.66	816	0
Skin-Melanoma::S.67	186	0
Skin-Melanoma::S.68	509	0
Skin-Melanoma::S.69	5784	0
Skin-Melanoma::S.70	7827	0
Skin-Melanoma::S.71	2867	0
Skin-Melanoma::S.72	65	0
Skin-Melanoma::S.73	532	0
Skin-Melanoma::S.74	120	0
Skin-Melanoma::S.75	1047	0
Skin-Melanoma::S.76	217	0
Skin-Melanoma::S.77	3205	0
Skin-Melanoma::S.78	430	0
Skin-Melanoma::S.79	1028	0
Skin-Melanoma::S.80	2006	0
Skin-Melanoma::S.81	331	0
Skin-Melanoma::S.82	5318	0
Skin-Melanoma::S.83	16119	0
Skin-Melanoma::S.84	22182	0
Skin-Melanoma::S.85	1472	0
Skin-Melanoma::S.86	14900	0
Skin-Melanoma::S.87	901	0
Skin-Melanoma::S.88	1089	0
Skin-Melanoma::S.89	498	0
Skin-Melanoma::S.90	816	0
Skin-Melanoma::S.91	808	0
Skin-Melanoma::S.92	651	0
Skin-Melanoma::S.93	406	0
Skin-Melanoma::S.94	1104	0
Skin-Melanoma::S.95	3157	0
Skin-Melanoma::S.96	952	0
Skin-Melanoma::S.97	1814	0
Skin-Melanoma::S.98	5921	0
