Sample,DBS2,DBS3,DBS4,DBS6,DBS7,DBS8,DBS9,DBS10
ColoRect-AdenoCA::S.1,0.0,0.0,5.0655266553616025,23.238515125045538,69.42507677633915,21.74213695839871,0.0,0.0
ColoRect-AdenoCA::S.2,9.44501563598134,5.933954856122843,17.50611749190343,0.0,28.856342405346215,1.7053377451224672,6.831897981924111,0.0
ColoRect-AdenoCA::S.3,36.25869331327022,11.807368011675395,1.2948528457868131,1.9240824546929913,63.033901316936756,1.1399663658958494,9.864296035183333,0.0
ColoRect-AdenoCA::S.4,12.5055060380185,1.59775857258049,8.354393692301684,29.679082994432083,28.957810828719488,0.0,6.949119908992897,0.0
ColoRect-AdenoCA::S.5,12.050385494853524,0.0,3.8559586617482426,19.8920980554794,0.7238443374292551,0.0,28.613652309847524,0.0
ColoRect-AdenoCA::S.6,50.173669205126714,6.45291231537993,7.423574400187884,4.725053884982509,99.39313995700856,0.0,71.88220886011109,0.0
ColoRect-AdenoCA::S.7,25.663472896550413,7.408973372262702,8.378458918742707,5.62634669746165,73.16431736069444,0.0,13.141470491344313,0.0
ColoRect-AdenoCA::S.8,2.3962126328328783,2.9748354299131674,15.564545321072059,11.421754498902782,39.021669244432026,0.0,58.80880414698806,0.0
ColoRect-AdenoCA::S.9,22.569598728341187,0.0,2.922465692662867,0.0,54.72272052235011,4.877566698869738,0.0,0.0
ColoRect-AdenoCA::S.10,12.07337000943329,0.0,5.082883696356146,0.0,451.88554656402135,0.0,0.0,0.0
ColoRect-AdenoCA::S.11,9.787623792490468,0.0,17.536800821724327,7.428069148776899,253.33030179556678,13.103856216773588,12.890530254099401,0.0
ColoRect-AdenoCA::S.12,7.095345675611966,0.0,3.516372257498123,0.0,120.81591419447497,0.0,0.0,0.0
ColoRect-AdenoCA::S.13,4.171395767481476,0.0,55.721489449815486,10.455979686924314,0.0,0.0,88.73928962322879,0.0
ColoRect-AdenoCA::S.14,24.397468766330185,5.547363657876495,21.214072719984763,1.1382876308254926,0.0,0.0,0.0,3.7703654796497004
ColoRect-AdenoCA::S.15,66.96532319466806,8.60952734645275,10.0369885478746,8.735635827871084,44.01900919706014,0.0,21.75881554226048,0.0
ColoRect-AdenoCA::S.16,16.512242431120548,0.0,0.0,34.76910206081262,205.08161194927888,51.78336144032155,16.753372790616716,0.0
ColoRect-AdenoCA::S.17,9.23823769243175,0.0,39.71038955416918,0.0,9.757486111416844,2.8692952272552144,0.0,0.0
ColoRect-AdenoCA::S.18,49.43842614151064,9.574711573985441,17.801643236388518,1.939328794319695,59.532864965730006,5.123781313020044,11.13886856411823,0.0
ColoRect-AdenoCA::S.19,17.36917824706565,0.0,15.786152591769484,2.552662347024133,53.4464510927894,0.0,3.944435061657313,0.0
ColoRect-AdenoCA::S.20,51.702664470021716,0.0,13.718957308875636,0.0,14.134142622806138,4.459903131859316,2.4123591543159946,0.0
ColoRect-AdenoCA::S.21,23.585724280204673,0.0,3.8326037862961093,30.99939687088191,0.0,0.0,19.383843091152094,0.0
ColoRect-AdenoCA::S.22,3.855354347561221,0.0,0.0,13.866081211022495,229.7437071496193,0.0,22.012093347200317,0.0
ColoRect-AdenoCA::S.23,58.04910060610859,0.0,12.40831550657709,0.0,49.48060633225333,0.0,0.0,0.0
ColoRect-AdenoCA::S.24,0.0,0.0,13.849239056774573,32.57856919135666,0.0,0.0,38.72988392858758,0.0
ColoRect-AdenoCA::S.25,7.54524159158417,0.0,5.637730820410078,28.914725775137132,144.83754043205644,0.0,4.621356739933541,2.29569908992028
ColoRect-AdenoCA::S.26,17.491295732275507,1.833299388488955,8.942558925745496,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.27,5.3035311584458285,0.0,43.516138953384846,7.132934425933847,92.77919567293745,0.0,33.53877465269617,0.0
ColoRect-AdenoCA::S.28,0.6025479206668742,0.0,5.240984473061459,3.7674928202936857,104.5611595548391,0.0,30.983484409780303,0.0
ColoRect-AdenoCA::S.29,21.10104457286294,0.0,3.522221318793535,0.0,243.26738461023206,0.0,0.0,0.0
ColoRect-AdenoCA::S.30,22.408002501973513,0.0,13.899114224983547,1.8926147097113486,74.73690066976586,0.0,8.790054124755052,0.0
ColoRect-AdenoCA::S.31,35.016108869189424,0.0,15.583046688175124,0.0,103.9017585079339,0.0,0.0,0.0
ColoRect-AdenoCA::S.32,9.560231134296059,0.0,6.5168998665217845,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.33,5.7216759925485565,0.0,60.406355755362284,29.24823241104224,15.030259750673961,0.0,0.0,0.0
ColoRect-AdenoCA::S.34,9.821275793530319,0.0,40.47079420418636,0.0,106.72510079986671,0.0,0.0,0.0
ColoRect-AdenoCA::S.35,35.11917617686331,0.0,0.0,0.0,229.96529296163175,0.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.1,0.0,816.2668105611485,0.0,0.0,36.05212208993945,0.0,0.0,771.3437970280145
ColoRect-AdenoCA::POLE.S.2,0.0,748.7289779645995,0.0,0.0,0.0,0.0,43.69801980655612,755.6903993391583
ColoRect-AdenoCA::POLE.S.3,0.0,191.43941994307517,6.745991257487922,0.0,6.328754986100673,0.0,18.2267169795138,0.0
ColoRect-AdenoCA::POLE.S.4,0.0,1162.9135289356407,0.0,110.18875137022499,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.5,0.0,1466.0645025626097,0.0,0.0,0.0,157.76299127282786,0.0,2645.08813174478
ColoRect-AdenoCA::POLE.S.6,0.0,2258.949766656324,120.43501077407447,0.0,0.0,0.0,316.1898501547347,162.8930102989046
ColoRect-AdenoCA::POLE.S.7,45.758860891428945,1319.6221199699637,0.0,86.73665831527263,82.86023487897964,0.0,41.10670529827152,0.0
ColoRect-AdenoCA::POLE.S.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.3289852424502
ColoRect-AdenoCA::POLE.S.9,0.0,7511.524906399427,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.10,0.0,3449.0158023230597,0.0,0.0,0.0,0.0,0.0,970.5200738443205
ColoRect-AdenoCA::POLE.S.11,0.0,1241.5559130257436,55.5117695839311,42.8367945197137,0.0,0.0,0.0,354.7271740036423
ColoRect-AdenoCA::POLE.S.12,5.994893524613115,239.5283443691779,4.757973981612358,6.136226141605721,7.493853815136637,0.0,0.0,277.71123431061375
ColoRect-AdenoCA::POLE.S.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1714.5779854949546
ColoRect-AdenoCA::POLE.S.14,0.0,893.8215466015955,8.422510865927784,29.363922746514632,0.0,16.3210398929242,82.2801809424221,0.0
ColoRect-AdenoCA::POLE.S.15,36.35734231310681,667.958400546563,0.0,0.0,51.69391349709016,0.0,13.273422436825205,0.0
ColoRect-AdenoCA::POLE.S.16,0.0,3314.620689592532,0.0,320.2082772923449,0.0,112.11001503372214,0.0,0.0
ColoRect-AdenoCA::POLE.S.17,78.46396270231635,440.3567663050762,0.0,16.608373287519683,38.25016267500349,0.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.18,34.38194390829261,1334.5540483205234,56.41147250503232,0.0,125.47103029453446,0.0,300.8727631655376,0.0
ColoRect-AdenoCA::POLE.S.19,74.89584726641029,3452.9652192945823,368.63503995545926,0.0,0.0,0.0,831.3147747380859,0.0
ColoRect-AdenoCA::POLE.S.20,47.90355009226223,1405.9036470667993,0.0,0.0,268.21147774305877,0.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.21,0.0,2181.8409153290845,0.0,79.82437591237179,0.0,32.32922623126658,108.0901905120477,0.0
ColoRect-AdenoCA::POLE.S.22,0.0,0.0,1.0830371721420984,6.212875548742095,0.0,0.0,0.0,146.49161614416062
ColoRect-AdenoCA::POLE.S.23,0.0,1968.0895409883308,0.0,152.71877686961184,0.0,40.141092002472725,168.2616550877366,0.0
ColoRect-AdenoCA::POLE.S.24,8.525830915190571,0.0,8.075547803849531,0.0,0.0,0.0,10.41297820839848,450.19564605391827
ColoRect-AdenoCA::POLE.S.25,14.879679771400417,650.0842153239014,0.0,41.86828648799333,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.26,0.0,1229.2571716751477,0.0,41.483359438679095,0.0,0.0,0.0,813.5417915426272
ColoRect-AdenoCA::POLE.S.27,0.0,1980.1010921714728,157.52738746372444,0.0,0.0,0.0,516.1823160510586,274.93659135868006
ColoRect-AdenoCA::POLE.S.28,18.314037182930242,425.06118469048914,0.0,0.0,11.984601462836444,12.042326682857595,0.0,0.0
ColoRect-AdenoCA::POLE.S.29,0.0,1065.5381662678114,0.0,0.0,26.01360792415351,11.981934523805043,0.0,44.63126208250387
ColoRect-AdenoCA::POLE.S.30,0.0,1016.7264209414217,6.740204847470585,0.0,0.0,0.0,0.0,295.60260004647773
