Sample.ID,Tool,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID13,ID14
Breast-AdenoCA::S.1,deconstruct,32.1990756328026,95.3744187260879,0,0,0,0,0,114.246227128071,24.8750934633952,0,0,0,0
Breast-AdenoCA::S.2,deconstruct,160.757306646724,0,0,0,0,77.7310659719484,0,105.840140702347,91.6714780402651,0,0,0,0
Breast-AdenoCA::S.3,deconstruct,36.2578759588439,0,0,0,0,0,0,151.815527796365,55.5195899182867,0,0,0,0
Breast-AdenoCA::S.4,deconstruct,109.689373684325,0,0,0,0,285.112688127065,0,188.060340869959,53.5514402680459,0,0,0,0
Breast-AdenoCA::S.5,deconstruct,71.0406818842134,0,0,0,0,262.101454341334,0,0,0,0,0,0,0
Breast-AdenoCA::S.6,deconstruct,23.4421354177141,0,0,0,0,0,0,84.9669195583217,28.564465083914,0,0,0,0
Breast-AdenoCA::S.7,deconstruct,66.3930367656493,0,0,320.517819484458,0,0,0,273.722037054321,323.161514146073,0,0,0,0
Breast-AdenoCA::S.8,deconstruct,0,0,0,0,0,766.561219586706,0,0,0,0,0,0,0
Breast-AdenoCA::S.9,deconstruct,388.090439934904,0,0,0,0,169.768590119153,0,0,64.1409699459425,0,0,0,0
Breast-AdenoCA::S.10,deconstruct,120.896921437186,0,0,0,0,0,0,105.746366615792,119.356704237654,0,0,0,0
Breast-AdenoCA::S.11,deconstruct,9.37802376944041,4.23146339079547,0,0,0,0,0,17.1014046042291,28.8413132509065,0,0,0,0
Breast-AdenoCA::S.12,deconstruct,64.3800570221498,49.693706206694,0,0,0,0,0,535.152607584516,0,0,0,0,0
Breast-AdenoCA::S.13,deconstruct,119.766860353978,0,0,0,0,372.48534155389,0,92.0098678975895,239.033599873952,0,0,0,0
Breast-AdenoCA::S.14,deconstruct,441.45693830093,130.688193161241,0,0,0,0,0,288.852384487621,0,0,0,0,0
Breast-AdenoCA::S.15,deconstruct,0,0,0,0,0,0,0,187.65011380058,133.905436197754,0,0,0,0
Breast-AdenoCA::S.16,deconstruct,0,0,0,0,111.986532912137,337.27693341418,0,167.749116590513,73.7887690801664,0,0,0,0
Breast-AdenoCA::S.17,deconstruct,188.488333245395,0,0,0,0,175.305525077904,0,81.7895709520592,88.2528346726805,0,0,0,0
Breast-AdenoCA::S.18,deconstruct,0,82.8590436539079,0,198.412489519138,0,0,0,28.8217602602946,80.3829128063193,0,0,0,0
Breast-AdenoCA::S.19,deconstruct,0,147.046540954758,0,175.646254528653,0,0,0,358.165784664569,0,0,0,0,0
Breast-AdenoCA::S.20,deconstruct,59.0285280549668,0,0,0,35.9355922270919,0,0,126.865205917132,44.1706738008093,0,0,0,0
Breast-AdenoCA::S.21,deconstruct,43.7359035103267,31.9617030381996,0,0,0,0,0,97.3023934514737,0,0,0,0,0
Breast-AdenoCA::S.22,deconstruct,0,51.1785138130234,0,0,119.116982538036,0,0,105.672048405431,40.0324552435102,0,0,0,0
Breast-AdenoCA::S.23,deconstruct,296.62157748682,0,0,0,0,461.455468678978,0,0,0,0,0,0,0
Breast-AdenoCA::S.24,deconstruct,215.102396238061,0,0,0,0,0,0,219.809094932296,71.961413960605,0,0,0,0
Breast-AdenoCA::S.25,deconstruct,0,127.346899351559,0,0,0,581.891657810878,0,435.927306818082,79.4935520546657,0,0,0,0
Breast-AdenoCA::S.26,deconstruct,22.4498775081615,0,0,0,0,15.5479124413241,0,21.9916849412742,137.860577056976,0,0,0,0
Breast-AdenoCA::S.27,deconstruct,40.5630755294927,56.3212381394916,0,0,0,0,0,0,251.115686331016,0,0,0,0
Breast-AdenoCA::S.28,deconstruct,109.008840363118,0,0,0,0,0,0,258.133718396539,0,0,0,0,0
Breast-AdenoCA::S.29,deconstruct,141.343237181323,29.1366526758402,0,0,21.6274098487936,19.6898873751642,0,53.2004509821401,31.0023619367389,0,0,0,0
