Sample.ID,Tool,DBS1,DBS2,DBS3,DBS4,DBS5,DBS6,DBS7,DBS8,DBS9,DBS10,DBS11
Breast-AdenoCA::S.1,deconstruct,0,29.4115099605703,0,69.2531859654204,0,0,0,0,51.3353040740093,0,0
Breast-AdenoCA::S.2,deconstruct,0,0,0,34.8498355370495,0,41.7982283649745,0,0,0,0,8.35193609797603
Breast-AdenoCA::S.3,deconstruct,0,117.461321242813,0,29.0721536993999,0,0,0,0,56.1908580404575,0,0
Breast-AdenoCA::S.4,deconstruct,0,28.8061950913037,0,44.4980020464619,0,22.3697706596258,0,0,27.3260322026086,0,0
Breast-AdenoCA::S.5,deconstruct,0,21.4365271601356,0,31.881077743537,0,37.307592621126,0,0,54.3748024752014,0,0
Breast-AdenoCA::S.6,deconstruct,0,15.696839381023,0,63.4652415891112,0,0,0,0,38.3828476012193,0,13.4550714286464
Breast-AdenoCA::S.7,deconstruct,0,33.6281874769817,0,46.1137670308303,0,18.7918211957028,0,0,0,0,0
Breast-AdenoCA::S.8,deconstruct,0,0,0,11.1634976789482,0,22.5795011376737,0,0,57.149135128052,0,0
Breast-AdenoCA::S.9,deconstruct,0,12.4675325746584,0,50.666511810734,0,0,0,0,66.8659556146077,0,0
Breast-AdenoCA::S.10,deconstruct,0,51.8134728941731,0,13.8911769104462,0,27.4551118881396,0,0,63.4822022683195,0,14.3580360389217
Breast-AdenoCA::S.11,deconstruct,0,14.6844079267469,0,62.8131479672103,0,0,0,0,42.9710967872801,0,18.2468067966192
Breast-AdenoCA::S.12,deconstruct,0,0,0,13.9820661430036,0,27.4964356077345,0,0,46.8601220114799,0,40.661376237782
Breast-AdenoCA::S.13,deconstruct,0,57.0439481224888,0,14.4525651347838,0,42.0401797838259,0,0,46.4633069589014,0,0
Breast-AdenoCA::S.14,deconstruct,0,12.5854111196411,0,0,0,11.729425642715,0,0,36.5341491408568,0,59.1510140967871
Breast-AdenoCA::S.15,deconstruct,0,25.0280458593185,0,114.392128391961,0,0,0,0,51.8882203312005,0,16.69160541752
Breast-AdenoCA::S.16,deconstruct,0,17.6082257772587,0,0,0,57.2727458040934,0,0,16.1161029318942,0,0
Breast-AdenoCA::S.17,deconstruct,0,58.6199246420404,0,26.4872870688549,0,26.4659502623314,0,0,23.4268380267732,0,0
Breast-AdenoCA::S.18,deconstruct,0,142.89684120211,0,0,0,50.1084059260407,0,0,0,0,13.0818568743918
Breast-AdenoCA::S.19,deconstruct,0,24.3464640448289,0,25.0832423427244,0,0,0,0,9.57029361244673,0,0
Breast-AdenoCA::S.20,deconstruct,0,42.6295661592746,0,12.0412675966008,0,0,0,0,50.3291662441247,0,0
Breast-AdenoCA::S.21,deconstruct,0,0,0,36.1346122593002,0,53.1850323201006,0,0,61.1590946924209,0,0
Breast-AdenoCA::S.22,deconstruct,0,0,0,0,0,11.0436049608877,0,0,107.804100989045,0,0
Breast-AdenoCA::S.23,deconstruct,0,28.4516974896069,0,38.0643291893785,0,51.2780236901069,0,0,53.4414354827629,0,0
Breast-AdenoCA::S.24,deconstruct,0,20.7476614572031,0,15.9340573196596,0,0,0,0,73.3182812231373,0,0
Breast-AdenoCA::S.25,deconstruct,0,28.520013191286,0,24.3123433766237,0,0,0,0,86.1676434320902,0,0
Breast-AdenoCA::S.26,deconstruct,0,0,0,72.2515373001016,0,0,0,0,58.7484626998984,0,0
Breast-AdenoCA::S.27,deconstruct,0,15.0644726644876,0,37.7311394316779,0,0,0,0,32.6192666338119,0,13.5851212700226
Breast-AdenoCA::S.28,deconstruct,0,10.8890189126333,0,42.9095236576533,0,0,0,0,72.2014574297134,0,0
Breast-AdenoCA::S.29,deconstruct,0,42.8115642248896,0,0,0,0,0,0,99.6621616237967,0,0
Breast-AdenoCA::S.30,deconstruct,0,17.5237104131395,0,7.89016460898186,0,9.98388252680556,0,0,46.602242451073,0,0
Breast-AdenoCA::S.31,deconstruct,0,0,0,42.4498168398946,0,0,0,0,0,0,132.736361399654
Breast-AdenoCA::S.32,deconstruct,0,26.0665106325491,0,0,0,0,0,0,0,0,53.8765635624847
Breast-AdenoCA::S.33,deconstruct,0,15.2409188816495,0,0,0,23.9486478457577,0,0,30.8104332725928,0,0
Breast-AdenoCA::S.34,deconstruct,0,87.7774098958912,0,57.5259329837012,0,0,0,0,41.4912203913538,0,0
Breast-AdenoCA::S.35,deconstruct,0,0,0,37.581082282604,0,0,0,0,75.5235086402054,0,20.8954090771906
Breast-AdenoCA::S.36,deconstruct,0,51.2050833603862,0,50.980764192818,0,32.2402469556378,0,0,68.4796585943672,0,45.0942468967907
Breast-AdenoCA::S.37,deconstruct,0,39.0636364211835,0,34.5821602015711,0,24.566780989688,0,0,50.7626972482905,0,10.0247251392668
Breast-AdenoCA::S.38,deconstruct,0,121.780487355151,0,0,0,21.9482784356211,0,0,0,0,0
Breast-AdenoCA::S.39,deconstruct,0,202,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.40,deconstruct,0,4.3372121133441,0,0,0,33.398849680773,0,0,29.2639382058828,0,0
Breast-AdenoCA::S.41,deconstruct,0,11.6730538939379,0,0,0,0,0,0,31.6437629990622,0,11.6831831069999
Breast-AdenoCA::S.42,deconstruct,0,17.8946723374144,0,69.8646329272266,0,0,0,0,100.240694735359,0,0
Breast-AdenoCA::S.43,deconstruct,0,34.6587686628326,0,13.81145223621,0,0,0,0,44.5297791009574,0,0
Breast-AdenoCA::S.44,deconstruct,0,0,0,11.4223383392066,0,18.3137154107394,0,0,18.8954131890115,0,39.5228155372346
Breast-AdenoCA::S.45,deconstruct,0,23.9793936340303,0,0,0,42.1869023093328,0,0,26.4619631687397,0,87.3717408878972
Breast-AdenoCA::S.46,deconstruct,0,0,0,10.9142094643657,0,44.246440977567,0,0,32.1020267219478,0,11.3597386090598
Breast-AdenoCA::S.47,deconstruct,0,13.7108977283717,0,39.3022385683041,0,0,0,0,19.9868637033242,0,0
Breast-AdenoCA::S.48,deconstruct,0,0,0,61.3283146390057,0,25.4308128531657,0,0,25.1879970707911,0,37.261410151427
Breast-AdenoCA::S.49,deconstruct,0,50.7980127868314,0,53.6161933311473,0,0,0,0,33.6303996703094,0,13.9553942117118
Breast-AdenoCA::S.50,deconstruct,0,10.0433433982685,0,25.6000491822313,0,7.22759343665812,0,0,57.1290139828421,0,0
Breast-AdenoCA::S.51,deconstruct,0,0,0,11.2315005560477,0,85.0618118074402,0,0,0,0,16.3576412747794
Breast-AdenoCA::S.52,deconstruct,0,31.33890100436,0,42.13592480826,0,0,0,0,40.52517418738,0,0
Breast-AdenoCA::S.53,deconstruct,0,21.6192332074025,0,21.6969063862394,0,7.67661102185284,0,0,59.831100483906,0,9.17614890059925
Breast-AdenoCA::S.54,deconstruct,0,0,0,0,0,0,0,0,0,0,212.101126680401
Breast-AdenoCA::S.55,deconstruct,0,48.2972365387311,0,0,0,0,0,0,59.7027634612689,0,0
Breast-AdenoCA::S.56,deconstruct,0,15.5367670494264,0,0,0,39.6501284159587,0,0,79.6441534403468,0,0
Breast-AdenoCA::S.57,deconstruct,0,0,0,8.23807851387946,0,48.9007979875269,0,0,31.8611234985937,0,0
Breast-AdenoCA::S.58,deconstruct,0,4.54949513093428,0,0,0,0,0,0,39.5448639660537,0,21.905640903012
Breast-AdenoCA::S.59,deconstruct,0,35.8741754657622,0,17.2660892627367,0,45.3839207543263,0,0,36.4758145171748,0,0
Breast-AdenoCA::S.60,deconstruct,0,0,0,72.501256086705,0,17.5785958251436,0,0,44.7515333722929,0,0
Breast-AdenoCA::S.61,deconstruct,0,36.2527877013085,0,50.6654940925628,0,0,0,0,73.0817182061287,0,0
