"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.spec","med.spec","m.scaled_L2","med.scaled_L2","m.KL","med.KL","m.sum_sens_spec","med.sum_sens_spec"
"1","pasa",2.6425731605358,2.68359763651458,0.298064408561936,0.86686605986606,0.888888888888889,0.133827497964446,0.138473576677608,0.089878337906915,0.134476623826715,0.797390652557319,0.8,0.191056813027466,0.983656084656085,1,0.0653039938533218,0.989790151206818,1,0.917997325051505,0.948199248853138,0.233335279880884,0.0520977070536861,1.78718080376414,1.8
"2","musical",2.61661612910313,2.68606075447273,0.326176009723102,0.882238626660195,0.888888888888889,0.125437573711987,0.172654594000925,0.128862479008795,0.153710595494101,0.892752645502646,1,0.150670460884946,0.896518077601411,1,0.151803235978733,0.929209400167733,1,0.89948422106962,0.92333179168944,0.176837601833686,0.0653597477746711,1.82196204567038,1.85714285714286
"3","fitms_0.010",2.57032153407416,2.60638203591469,0.315977220384779,0.822214150047483,0.857142857142857,0.155503998138778,0.136427584091629,0.104883153857576,0.117010760925899,0.750667107583774,0.75,0.208219735545255,0.956082010582011,1,0.108655777024643,0.976533147408147,1,0.920574421403742,0.937186078265246,0.186271792393077,0.139705422040371,1.72720025499192,1.75
"4","fitms_0.030",2.57004922227124,2.60532574885007,0.322939429650119,0.82145251045251,0.857142857142857,0.157068823643717,0.135078202772851,0.104275079600205,0.120041092953025,0.750045414462081,0.75,0.209146766212242,0.955082010582011,1,0.110751528046699,0.976318969610636,1,0.921893991271417,0.938795815112052,0.189922310866065,0.137625763354381,1.72636438407272,1.75
"5","fitms_0.050",2.56776235430525,2.60434037887918,0.323201355596232,0.820733957400624,0.857142857142857,0.154876056040631,0.135022478146251,0.103763483445106,0.119981635672409,0.749165784832452,0.75,0.207536896334327,0.953619047619048,1,0.112146400999154,0.975751068376068,1,0.921999439872588,0.939417980153904,0.192011813903374,0.138667784609422,1.72491685320852,1.75
"6","fitms_0.060",2.56636393562342,2.60252856504927,0.323218433098629,0.820143609476943,0.857142857142857,0.154753212284524,0.135569044976225,0.104127470275836,0.120744432126979,0.748128747795414,0.75,0.207476523029218,0.953804232804233,1,0.112085144576292,0.975862179487179,1,0.921730425468569,0.939171606217598,0.195497527882803,0.14070362671366,1.72399092728259,1.75
"7","fitms_0.200",2.56404380737176,2.60515580624631,0.332181950061519,0.818127989294656,0.857142857142857,0.15916891349623,0.140912982751693,0.101432205741539,0.142465171141827,0.734652557319224,0.75,0.211177939454759,0.970304232804233,1,0.0916204123000429,0.983497049247049,1,0.918980028122309,0.942814494296117,0.246873415851229,0.146155771806627,1.71814960656627,1.75
"8","fitms_0.005",2.56300857009351,2.60057868808615,0.312697895639847,0.822047323047323,0.857142857142857,0.153459028785754,0.14201215301055,0.114721827327915,0.113360093152819,0.753253527336861,0.75,0.206890608847469,0.951767195767196,1,0.114197238393347,0.97356297714631,1,0.916544659331026,0.933457629048217,0.182874054177716,0.143054738186139,1.72681650448317,1.75
"9","fitms_0.001",2.55802024491541,2.59719624358336,0.317529279471906,0.820286059619393,0.857142857142857,0.154693206820622,0.143870848559019,0.115959651360871,0.114688442089361,0.751327601410935,0.75,0.20725215089676,0.950563492063492,1,0.117507184728175,0.972956190414524,1,0.91559949541698,0.932471088090673,0.187592230148306,0.145335864690321,1.72428379182546,1.75
"10","fitms_0.100",2.55612129020453,2.60098069838681,0.340281834442714,0.816198283198283,0.857142857142857,0.157802430088389,0.140819626903052,0.104347211265944,0.139897774594101,0.741470017636684,0.75,0.209495661623681,0.955470899470899,1,0.110200132004802,0.97664128001628,1,0.918717684357887,0.940235295709443,0.224262304521588,0.145876900069675,1.71811129765296,1.75
