Cancer type,Tool,Rank within cancer type,mean (Combined Score)
Breast-AdenoCA,PASA,1,2.77825468067632
Breast-AdenoCA,FitMS,2,2.69865245576529
Breast-AdenoCA,MuSiCal,3,2.67412774522789
Breast-AdenoCA,MSA,4,2.64578936091982
Breast-AdenoCA,MutPat,5,2.56438668355229
Breast-AdenoCA,SigsPack,6,2.53601425355606
Breast-AdenoCA,SigEstQP,7,2.53601425355606
Breast-AdenoCA,DeconSig,8,2.52278127324888
Breast-AdenoCA,mutSig,9,2.51524169768673
Breast-AdenoCA,YAPSA,10,2.51249907028876
Breast-AdenoCA,SigPro,11,2.39962593367219
Breast-AdenoCA,sigfit,12,2.34536421327459
ColoRect-AdenoCA,FitMS,1,2.92099674587776
ColoRect-AdenoCA,PASA,2,2.91418530001204
ColoRect-AdenoCA,MuSiCal,3,2.87741781438442
ColoRect-AdenoCA,SigPro,4,2.84158619473838
ColoRect-AdenoCA,MutPat,5,2.82210600029053
ColoRect-AdenoCA,MSA,6,2.8207864235799
ColoRect-AdenoCA,YAPSA,7,2.81863974388411
ColoRect-AdenoCA,DeconSig,8,2.76616924445264
ColoRect-AdenoCA,mutSig,9,2.70857104313856
ColoRect-AdenoCA,SigEstQP,10,2.66244394221831
ColoRect-AdenoCA,SigsPack,10,2.66244394221831
ColoRect-AdenoCA,sigfit,12,2.55740372544087
Eso-AdenoCA,PASA,1,2.91879502448555
Eso-AdenoCA,FitMS,2,2.80449502685872
Eso-AdenoCA,MuSiCal,3,2.76765533757755
Eso-AdenoCA,MSA,4,2.75258020568698
Eso-AdenoCA,YAPSA,5,2.72359745421192
Eso-AdenoCA,DeconSig,6,2.6716177422672
Eso-AdenoCA,MutPat,7,2.6137168612333
Eso-AdenoCA,SigPro,8,2.56903222625429
Eso-AdenoCA,SigEstQP,9,2.56671590158154
Eso-AdenoCA,SigsPack,9,2.56671590158154
Eso-AdenoCA,mutSig,11,2.54757628788313
Eso-AdenoCA,sigfit,12,2.30591482587814
Kidney-RCC,PASA,1,2.70576900746776
Kidney-RCC,FitMS,2,2.63771540728593
Kidney-RCC,MuSiCal,3,2.58718726369547
Kidney-RCC,MutPat,4,2.5701279010686
Kidney-RCC,MSA,5,2.5605078185149
Kidney-RCC,DeconSig,6,2.51541564223048
Kidney-RCC,YAPSA,7,2.50654483269842
Kidney-RCC,SigEstQP,8,2.46153468455496
Kidney-RCC,SigsPack,8,2.46153468455496
Kidney-RCC,mutSig,10,2.44331042993368
Kidney-RCC,SigPro,11,2.34410603129252
Kidney-RCC,sigfit,12,2.31302189530324
Liver-HCC,PASA,1,2.81455031417699
Liver-HCC,FitMS,2,2.71830591996855
Liver-HCC,MuSiCal,3,2.66677612019229
Liver-HCC,MSA,4,2.64283564861946
Liver-HCC,DeconSig,5,2.57433395565083
Liver-HCC,YAPSA,6,2.57327612892158
Liver-HCC,MutPat,7,2.56204618532926
Liver-HCC,SigEstQP,8,2.51936214389239
Liver-HCC,SigsPack,8,2.51936214389239
Liver-HCC,mutSig,10,2.49191684011808
Liver-HCC,sigfit,11,2.39194304487126
Liver-HCC,SigPro,12,2.32713437219683
Lung-AdenoCA,PASA,1,2.77137733761134
Lung-AdenoCA,MuSiCal,2,2.59106359451725
Lung-AdenoCA,FitMS,3,2.58849373835709
Lung-AdenoCA,MSA,4,2.56767644362856
Lung-AdenoCA,MutPat,5,2.486145116061
Lung-AdenoCA,SigEstQP,6,2.48598592504341
Lung-AdenoCA,SigsPack,6,2.48598592504341
Lung-AdenoCA,mutSig,8,2.47433548899231
Lung-AdenoCA,YAPSA,9,2.44679476914906
Lung-AdenoCA,DeconSig,10,2.43995425527952
Lung-AdenoCA,sigfit,11,2.37610515407112
Lung-AdenoCA,SigPro,12,2.30303445771489
Ovary-AdenoCA,PASA,1,2.77524873193273
Ovary-AdenoCA,FitMS,2,2.72369163765406
Ovary-AdenoCA,MuSiCal,3,2.6435557976127
Ovary-AdenoCA,MSA,4,2.58283561079647
