"tool_name","cancer_type","cpu_seconds"
"deconstruct","Total all cancer types",174.05
"fitms_0.001","Total all cancer types",31.5599999999999
"fitms_0.005","Total all cancer types",76.4899999999999
"fitms_0.010","Total all cancer types",89.688
"fitms_0.030","Total all cancer types",119.178
"fitms_0.050","Total all cancer types",122.043
"fitms_0.060","Total all cancer types",145.927
"fitms_0.100","Total all cancer types",134.744
"fitms_0.200","Total all cancer types",139.681
"mp","Total all cancer types",23.6880000000001
"msa_default","Total all cancer types",1393920
"musical","Total all cancer types",752.429000000008
"mutsig","Total all cancer types",11.3460000000001
"pasa","Total all cancer types",59295.199
"sigest","Total all cancer types",0.126999999999867
"sigfit","Total all cancer types",1004.424
"siglasso","Total all cancer types",422.804
"siglasso_wprior","Total all cancer types",427.558
"sigpro","Total all cancer types",445.924
"sigspack","Total all cancer types",0.13499999999982
"yapsa","Total all cancer types",0.240000000000002
