"tool_name","cancer_type","cpu_seconds"
"deconstruct","Breast-AdenoCA",29.4399999999998
"deconstruct","ColoRect-AdenoCA",18.0740000000001
"deconstruct","Eso-AdenoCA",27.2230000000002
"deconstruct","Kidney-RCC",12.701
"deconstruct","Liver-HCC",21.6979999999999
"deconstruct","Lung-AdenoCA",12.7619999999999
"deconstruct","Ovary-AdenoCA",17.7950000000002
"deconstruct","Skin-Melanoma",8.47700000000011
"deconstruct","Stomach-AdenoCA",25.8800000000001
"deconstruct","Total all cancer types",174.05
"fitms_0.010","Breast-AdenoCA",13.782
"fitms_0.010","ColoRect-AdenoCA",3.01099999999999
"fitms_0.010","Eso-AdenoCA",2.90600000000006
"fitms_0.010","Kidney-RCC",10.177
"fitms_0.010","Liver-HCC",28.925
"fitms_0.010","Lung-AdenoCA",3.53099999999997
"fitms_0.010","Ovary-AdenoCA",11.347
"fitms_0.010","Skin-Melanoma",12.743
"fitms_0.010","Stomach-AdenoCA",3.26599999999996
"fitms_0.010","Total all cancer types",89.688
"mp","Breast-AdenoCA",2.71
"mp","ColoRect-AdenoCA",2.21799999999985
"mp","Eso-AdenoCA",2.13200000000006
"mp","Kidney-RCC",2.51300000000015
"mp","Liver-HCC",4.379
"mp","Lung-AdenoCA",2.47999999999982
"mp","Ovary-AdenoCA",2.38599999999997
"mp","Skin-Melanoma",2.48800000000003
"mp","Stomach-AdenoCA",2.3820000000002
"mp","Total all cancer types",23.6880000000001
"msa_default","Breast-AdenoCA",155160
"msa_default","ColoRect-AdenoCA",126000
"msa_default","Eso-AdenoCA",95760
"msa_default","Kidney-RCC",137520
"msa_default","Liver-HCC",281880
"msa_default","Lung-AdenoCA",142560
"msa_default","Ovary-AdenoCA",134280
"msa_default","Skin-Melanoma",155520
"msa_default","Stomach-AdenoCA",165240
"msa_default","Total all cancer types",1393920
"musical","Breast-AdenoCA",51.1640000000027
"musical","ColoRect-AdenoCA",98.8430000000018
"musical","Eso-AdenoCA",50.4960000000029
"musical","Kidney-RCC",99.5199999999991
"musical","Liver-HCC",103.186
"musical","Lung-AdenoCA",50.853999999996
"musical","Ovary-AdenoCA",99.4939999999977
"musical","Skin-Melanoma",99.3970000000034
"musical","Stomach-AdenoCA",99.4750000000045
"musical","Total all cancer types",752.429000000008
"mutsig","Breast-AdenoCA",1.38200000000002
"mutsig","ColoRect-AdenoCA",0.788999999999991
"mutsig","Eso-AdenoCA",0.86899999999998
"mutsig","Kidney-RCC",1.98100000000004
"mutsig","Liver-HCC",1.36900000000003
