Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,sum_sens_spec,cancer.type
Breast-AdenoCA::S.1,deconstruct,29.1769800788594,0.194513200525729,0.75,1,0.857142857142857,2.55548679947427,1,0.895020810350944,0.443207025172531,1.75,Breast-AdenoCA
Breast-AdenoCA::S.2,deconstruct,29.296127804048,0.344660327106447,0.75,1,0.857142857142857,2.40533967289355,1,0.822739389841063,0.564850981682147,1.75,Breast-AdenoCA
Breast-AdenoCA::S.3,deconstruct,93.5800255838706,0.447751318583113,0.6,1,0.75,2.15224868141689,1,0.756263156947847,1.16866544842322,1.6,Breast-AdenoCA
Breast-AdenoCA::S.4,deconstruct,9.2604586807484,0.0752882819573041,1,1,1,2.9247117180427,1,0.955203476091213,0.010315045571546,2,Breast-AdenoCA
Breast-AdenoCA::S.5,deconstruct,36.377340729326,0.250878211926386,1,1,1,2.74912178807361,1,0.865264221441811,0.066706170051387,2,Breast-AdenoCA
Breast-AdenoCA::S.6,deconstruct,37.8406260355153,0.288859740729124,0.8,1,0.888888888888889,2.51114025927088,1,0.858421454814152,0.455795608322604,1.8,Breast-AdenoCA
Breast-AdenoCA::S.7,deconstruct,17.9501333121092,0.181314477900093,1,1,1,2.81868552209991,1,0.885240756039373,0.05135336969505,2,Breast-AdenoCA
Breast-AdenoCA::S.8,deconstruct,49.4061363114301,0.514647253244064,0.75,1,0.857142857142857,2.23535274675594,1,0.700217489240335,0.749637285609392,1.75,Breast-AdenoCA
Breast-AdenoCA::S.9,deconstruct,67.0649348506833,0.515884114236025,0.6,1,0.75,2.08411588576397,1,0.712807472368194,1.32255552388464,1.6,Breast-AdenoCA
Breast-AdenoCA::S.10,deconstruct,31.5015741012643,0.184219731586341,1,1,1,2.81578026841366,1,0.900757671496457,0.0704239929262827,2,Breast-AdenoCA
Breast-AdenoCA::S.11,deconstruct,46.8530300311243,0.320911164596742,0.8,1,0.888888888888889,2.47908883540326,1,0.82038738770847,0.729349138681675,1.8,Breast-AdenoCA
