"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.spec","med.spec","m.scaled_L2","med.scaled_L2","m.KL","med.KL","m.sum_sens_spec","med.sum_sens_spec"
"1","pasa",2.78043793629042,2.91792050303166,0.289710404416409,0.939380354213688,1,0.10666941653481,0.118155979053495,0.0725877270012996,0.144486460518242,0.920260582010582,1,0.142380104471165,0.978333333333333,1,0.0961966762372552,0.97460582010582,1,0.931007713143944,0.953686510041788,0.173468407979409,0.0123355163904204,1.8948664021164,2
"2","fitms_0.010",2.74037579138848,2.88005808176344,0.299338292640862,0.920450019116686,1,0.126535028561947,0.129097753585061,0.0921061627545426,0.143293257000958,0.903708994708995,1,0.163974418858864,0.96576455026455,1,0.112524943386959,0.960441798941799,1,0.922561872934604,0.940566957594898,0.163530206375566,0.0234409752354993,1.86415079365079,2
"3","fitms_0.001",2.73517872109095,2.87356902187005,0.30121517820937,0.918032029698696,1,0.127716386824438,0.130498527586301,0.0936146949828832,0.143519816433704,0.903708994708995,1,0.163974418858864,0.961968253968254,1,0.118197968044294,0.954886243386243,1,0.921627678249703,0.940073170125398,0.165372421124279,0.0246664474703105,1.85859523809524,2
"4","fitms_0.005",2.73517872108803,2.87356902187005,0.301215178207283,0.918032029698696,1,0.127716386824438,0.130498527589219,0.093614694982883,0.143519816431773,0.903708994708995,1,0.163974418858864,0.961968253968254,1,0.118197968044294,0.954886243386243,1,0.921627678247685,0.940073170125399,0.165372421124306,0.0246664474703107,1.85859523809524,2
"5","musical",2.5716228038255,2.67038967664381,0.335779374379724,0.907407194657195,1,0.136032076744969,0.276470229684197,0.238655605975608,0.196895186360708,0.962670634920635,1,0.101872671292208,0.885422398589065,1,0.187683223213363,0.841888888888889,1,0.806601813000482,0.844874590100861,0.181851393354423,0.0766896408493141,1.80455952380952,2
"6","mp",2.5292210850807,2.62432227638975,0.389749707500338,0.887876167042834,1,0.149002514366249,0.289751137141527,0.245732251518727,0.215166218437032,0.869583333333333,1,0.192282041731541,0.949388888888889,1,0.139046083258278,0.945357142857143,1,0.799507267694363,0.837729877246994,0.322398317256153,0.110509179456192,1.81494047619048,2
"7","fitms_0.050",2.52167405483748,2.74339571493243,0.609339400244788,0.810672241338908,1,0.311898875889219,0.23872541606199,0.12692712212629,0.302076997002127,0.79176455026455,1,0.323020059647266,0.968634920634921,1,0.107447230265841,0.964978835978836,1,0.812658583909719,0.923915151570763,0.54848579323331,0.0639012527421978,1.75674338624339,2
"8","fitms_0.060",2.521674054837,2.74339571493253,0.60933940024481,0.810672241338908,1,0.311898875889219,0.238725416062474,0.12692712212629,0.302076997001995,0.79176455026455,1,0.323020059647266,0.968634920634921,1,0.107447230265841,0.964978835978836,1,0.812658583909412,0.923915151570764,0.548485793233302,0.0639012527422024,1.75674338624339,2
"9","fitms_0.030",2.52095847662286,2.7421016732688,0.609057022723781,0.810386527053194,1,0.3118313746706,0.238978031313645,0.128757959100968,0.301955522974936,0.792320105820106,1,0.32316286398098,0.967616402116402,1,0.108612226679532,0.96405291005291,1,0.812521691132143,0.923335301071001,0.54795460065646,0.0643483248779339,1.75637301587302,2
"10","fitms_0.100",2.52003040674009,2.72724840399804,0.606084443028582,0.809549185382519,1,0.311395943024987,0.237785730826046,0.129074465853271,0.298724381357097,0.788162698412698,1,0.323347990795635,0.969653439153439,1,0.103460377324592,0.967293650793651,1,0.813143340814446,0.923066012281287,0.552313434569015,0.0702806283777894,1.75545634920635,2
"11","fitms_0.200",2.51389409852701,2.71255863002615,0.610811816913739,0.807281730615064,1,0.310798601471156,0.241111192478277,0.129865709904823,0.30488440065309,0.776738095238095,1,0.323618676193468,0.978267195767196,1,0.0852815817367197,0.975042328042328,1,0.811377602556353,0.922173816459883,0.580899559211071,0.0782345177708201,1.75178042328042,2
"12","msa_default",2.48952132917897,2.56440092165898,0.413250029321941,0.866921171421171,0.909090909090909,0.161616009703577,0.294924438016792,0.245252974402116,0.216766915781104,0.909100529100529,1,0.159906674112593,0.875345238095238,1,0.206949412458645,0.846531746031746,1,0.800220335227485,0.840232211566992,0.290530428989952,0.131966140734016,1.75563227513228,1.83333333333333
"13","yapsa",2.4789983922613,2.55712996592003,0.415323074429446,0.861970763804097,0.888888888888889,0.159243215266347,0.297748962236051,0.250974401325661,0.217428083275783,0.867988095238095,1,0.190625670124243,0.908759259259259,1,0.183474355225816,0.898425925925926,1,0.799190952877857,0.8388508846666,0.326665713119544,0.177594270826758,1.76641402116402,1.8
"14","mutsig",2.40488097890629,2.43307628269416,0.381595965474705,0.809845189850092,0.833333333333333,0.17720128131328,0.303338597813284,0.257870965799574,0.215531472363808,0.974,1,0.0878007412174099,0.734219576719577,0.75,0.241229322388816,0.589179894179894,0.666666666666667,0.801439038489992,0.840958443440724,0.232304217253009,0.137767296796103,1.56317989417989,1.6
"15","deconstruct",2.39544818889706,2.47058597263508,0.58399721148788,0.830577336244003,0.857142857142857,0.177922972720154,0.31691953597067,0.254306949105886,0.326842007319077,0.811748677248677,1,0.221489052126202,0.900619047619048,1,0.184385669754468,0.898391534391534,1,0.810812137447666,0.852454545958142,0.546184957063304,0.297902247798117,1.71014021164021,1.75
