Sample.ID,Tool,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS24,SBS26,SBS28,SBS29,SBS30,SBS31,SBS35,SBS37,SBS39,SBS40,SBS40a,SBS40b,SBS40c,SBS41,SBS44,SBS38
Breast-AdenoCA::S.1,deconstruct,543.958999668081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3540.44856856668,0,0,0,0,0,1720.75803305978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.2,deconstruct,0,0,5418.63301999665,0,2749.60386910328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.3,deconstruct,267.355651085038,437.057397793458,0,0,311.243629912322,0,0,0,0,0,0,0,0,0,0,687.483471421448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.902010668783,0,0,0,0,0,0
Breast-AdenoCA::S.4,deconstruct,0,711.659071906455,5216.04744793484,0,1603.82719353532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.5,deconstruct,388.838301907246,0,0,0,1583.68379074675,0,0,0,0,0,0,0,0,0,0,789.915602108804,0,0,0,0,0,275.90939847711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163.43356446588,0,0,0,0,0,0
Breast-AdenoCA::S.6,deconstruct,922.280247612775,5761.18115838016,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.95815294766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5774.19909889083,0,0,0,0,0,0
Breast-AdenoCA::S.7,deconstruct,272.710531913456,0,0,0,2765.89948906947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.8,deconstruct,651.465095389829,376.415525578103,1610.42620138183,0,1377.65569704104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.9,deconstruct,0,0,4724.27723909347,0,2999.54095591869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3528.36245263357,0,0,0,0,0,0
Breast-AdenoCA::S.10,deconstruct,0,863.603040252732,2565.9479402756,0,1617.12488142452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.932089645622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.11,deconstruct,352.47633160702,0,0,0,1562.32314481761,0,0,0,0,0,0,0,0,0,0,733.909957908436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
