,ID1,ID2,ID3,ID5,ID6,ID7,ID8,ID14
Stomach-AdenoCA::S.1,0.0,606.0,0.0,232.0,0.0,0.0,94.0,0.0
Stomach-AdenoCA::S.2,0.0,0.0,0.0,300.0,0.0,0.0,0.0,1999.0
Stomach-AdenoCA::S.3,615.0,116.0,0.0,479.0,0.0,0.0,0.0,1435.0
Stomach-AdenoCA::S.4,184.0,207.0,0.0,442.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.5,34.0,1704.0,0.0,118.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.6,1766.0,169.0,0.0,498.0,0.0,0.0,0.0,740.0
Stomach-AdenoCA::S.7,156.0,343.0,0.0,331.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.8,548.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.9,78.0,270.0,0.0,87.0,0.0,0.0,136.0,0.0
Stomach-AdenoCA::S.10,1091.0,285.0,0.0,352.0,456.0,0.0,0.0,0.0
Stomach-AdenoCA::S.11,177.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.12,323.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.13,447.0,299.0,0.0,493.0,0.0,116.0,0.0,0.0
Stomach-AdenoCA::S.14,891.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.15,821.0,292.0,0.0,85.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.16,68.0,173.0,0.0,197.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.17,311.0,130.0,0.0,450.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.18,20.0,64.0,0.0,132.0,0.0,0.0,271.0,0.0
Stomach-AdenoCA::S.19,338.0,486.0,0.0,0.0,87.0,0.0,117.0,0.0
Stomach-AdenoCA::S.20,238.0,149.0,0.0,0.0,117.0,0.0,0.0,0.0
Stomach-AdenoCA::S.21,95.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.22,133.0,168.0,0.0,231.0,0.0,0.0,47.0,0.0
Stomach-AdenoCA::S.23,0.0,69.0,0.0,0.0,0.0,0.0,372.0,0.0
Stomach-AdenoCA::S.24,86.0,343.0,0.0,0.0,0.0,0.0,307.0,0.0
Stomach-AdenoCA::S.25,17.0,69.0,0.0,501.0,0.0,0.0,129.0,0.0
Stomach-AdenoCA::S.26,459.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.27,123.0,69.0,0.0,463.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.28,959.0,184.0,0.0,263.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.29,106.0,718.0,0.0,463.0,0.0,94.0,0.0,0.0
Stomach-AdenoCA::S.30,924.0,167.0,0.0,285.0,0.0,0.0,0.0,126.0
Stomach-AdenoCA::S.31,96.0,58.0,0.0,31.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.32,162.0,389.0,0.0,184.0,0.0,58.0,0.0,0.0
Stomach-AdenoCA::S.33,134.0,119.0,0.0,0.0,0.0,28.0,0.0,0.0
Stomach-AdenoCA::S.34,97.0,227.0,0.0,242.0,0.0,0.0,117.0,0.0
Stomach-AdenoCA::S.35,561.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.36,235.0,71.0,0.0,294.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.37,174.0,54.0,0.0,68.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.38,360.0,0.0,0.0,356.0,0.0,0.0,38.0,0.0
Stomach-AdenoCA::S.39,233.0,243.0,0.0,329.0,0.0,58.0,0.0,0.0
Stomach-AdenoCA::S.40,235.0,622.0,0.0,466.0,0.0,0.0,170.0,0.0
Stomach-AdenoCA::S.41,831.0,97.0,0.0,422.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.42,536.0,141.0,0.0,592.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.43,0.0,320.0,0.0,0.0,0.0,0.0,42.0,0.0
Stomach-AdenoCA::S.44,63.0,664.0,0.0,289.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.45,45.0,884.0,0.0,0.0,0.0,102.0,0.0,0.0
Stomach-AdenoCA::S.46,0.0,50.0,0.0,162.0,0.0,0.0,0.0,390.0
Stomach-AdenoCA::S.47,428.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.48,146.0,826.0,0.0,328.0,824.0,0.0,96.0,117.0
Stomach-AdenoCA::S.49,227.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.50,118.0,91.0,0.0,48.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.51,131.0,64.0,0.0,334.0,124.0,0.0,0.0,0.0
Stomach-AdenoCA::S.52,220.0,113.0,0.0,314.0,0.0,0.0,51.0,1037.0
Stomach-AdenoCA::S.53,301.0,732.0,92.0,348.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.54,1240.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.55,706.0,414.0,0.0,461.0,594.0,0.0,312.0,0.0
Stomach-AdenoCA::S.56,271.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.57,1121.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.58,155.0,174.0,0.0,350.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.59,134.0,478.0,0.0,268.0,0.0,95.0,0.0,0.0
Stomach-AdenoCA::S.60,1260.0,363.0,0.0,109.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.61,132.0,657.0,0.0,512.0,476.0,0.0,0.0,0.0
Stomach-AdenoCA::S.62,584.0,633.0,0.0,0.0,98.0,0.0,0.0,1851.0
Stomach-AdenoCA::S.63,37.0,304.0,0.0,103.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.64,213.0,1370.0,0.0,0.0,93.0,0.0,0.0,0.0
Stomach-AdenoCA::S.65,296.0,42.0,0.0,187.0,87.0,0.0,0.0,0.0
Stomach-AdenoCA::S.66,559.0,153.0,0.0,467.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.67,353.0,1264.0,0.0,184.0,304.0,0.0,0.0,0.0
Stomach-AdenoCA::S.68,130.0,211.0,0.0,585.0,0.0,0.0,78.0,0.0
Stomach-AdenoCA::S.69,163.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.70,43.0,530.0,0.0,252.0,0.0,68.0,0.0,0.0
Stomach-AdenoCA::S.71,22.0,165.0,0.0,209.0,0.0,0.0,370.0,0.0
Stomach-AdenoCA::S.72,64.0,421.0,0.0,64.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.73,133.0,895.0,0.0,0.0,0.0,0.0,70.0,0.0
Stomach-AdenoCA::S.74,0.0,284.0,0.0,183.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.75,0.0,696.0,0.0,0.0,0.0,0.0,0.0,1200.0
Stomach-AdenoCA::S.76,390.0,1322.0,0.0,0.0,193.0,0.0,0.0,0.0
