,DBS2,DBS3,DBS4,DBS6,DBS7,DBS8,DBS9,DBS10
ColoRect-AdenoCA::MSI-H.S.1,53.0,73.0,34.0,16.0,0.0,207.0,78.0,0.0
ColoRect-AdenoCA::MSI-H.S.2,15.0,0.0,66.0,14.0,61.0,112.0,24.0,0.0
ColoRect-AdenoCA::MSI-H.S.3,3.0,26.0,24.0,13.0,0.0,0.0,49.0,0.0
ColoRect-AdenoCA::MSI-H.S.4,0.0,0.0,8.0,19.0,32.0,13.0,36.0,72.0
ColoRect-AdenoCA::MSI-H.S.5,0.0,40.0,0.0,13.0,0.0,0.0,44.0,0.0
ColoRect-AdenoCA::MSI-H.S.6,63.0,0.0,0.0,29.0,0.0,8.0,27.0,0.0
ColoRect-AdenoCA::MSI-H.S.7,19.0,42.0,10.0,0.0,0.0,0.0,59.0,0.0
ColoRect-AdenoCA::MSI-H.S.8,0.0,95.0,31.0,9.0,0.0,135.0,30.0,0.0
ColoRect-AdenoCA::MSI-H.S.9,0.0,76.0,7.0,0.0,0.0,0.0,30.0,111.0
ColoRect-AdenoCA::MSI-H.S.10,31.0,33.0,0.0,0.0,0.0,0.0,39.0,0.0
ColoRect-AdenoCA::MSI-H.S.11,0.0,35.0,5.0,3.0,16.0,0.0,24.0,0.0
ColoRect-AdenoCA::MSI-H.S.12,0.0,0.0,0.0,0.0,0.0,484.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.13,0.0,0.0,22.0,0.0,75.0,0.0,22.0,52.0
ColoRect-AdenoCA::MSI-H.S.14,15.0,24.0,0.0,0.0,3.0,0.0,34.0,0.0
ColoRect-AdenoCA::MSI-H.S.15,0.0,39.0,6.0,18.0,0.0,0.0,35.0,0.0
ColoRect-AdenoCA::MSI-H.S.16,0.0,0.0,14.0,0.0,0.0,0.0,30.0,61.0
ColoRect-AdenoCA::MSI-H.S.17,118.0,52.0,5.0,0.0,0.0,0.0,15.0,0.0
ColoRect-AdenoCA::MSI-H.S.18,8.0,33.0,24.0,21.0,17.0,40.0,89.0,0.0
ColoRect-AdenoCA::MSI-H.S.19,154.0,53.0,0.0,0.0,73.0,0.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.20,76.0,93.0,10.0,0.0,28.0,61.0,86.0,0.0
ColoRect-AdenoCA::MSI-H.S.21,14.0,33.0,0.0,3.0,45.0,0.0,32.0,0.0
ColoRect-AdenoCA::MSI-H.S.22,0.0,17.0,8.0,23.0,34.0,0.0,85.0,15.0
ColoRect-AdenoCA::MSI-H.S.23,12.0,0.0,28.0,9.0,0.0,11.0,31.0,30.0
ColoRect-AdenoCA::MSI-H.S.24,0.0,27.0,0.0,14.0,120.0,0.0,23.0,0.0
ColoRect-AdenoCA::MSI-H.S.25,29.0,33.0,44.0,9.0,35.0,12.0,34.0,0.0
ColoRect-AdenoCA::MSI-H.S.26,46.0,18.0,0.0,0.0,17.0,0.0,22.0,0.0
ColoRect-AdenoCA::MSI-H.S.27,0.0,35.0,42.0,8.0,22.0,114.0,56.0,0.0
ColoRect-AdenoCA::MSI-H.S.28,0.0,76.0,31.0,10.0,0.0,0.0,32.0,0.0
ColoRect-AdenoCA::MSI-H.S.29,9.0,0.0,0.0,0.0,134.0,0.0,23.0,26.0
ColoRect-AdenoCA::MSI-H.S.30,7.0,16.0,7.0,0.0,24.0,0.0,63.0,14.0
ColoRect-AdenoCA::MSI-H.S.31,12.0,46.0,0.0,31.0,82.0,0.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.32,8.0,47.0,0.0,45.0,75.0,77.0,19.0,0.0
ColoRect-AdenoCA::MSI-H.S.33,0.0,43.0,65.0,0.0,39.0,0.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.34,9.0,28.0,0.0,17.0,33.0,0.0,56.0,29.0
ColoRect-AdenoCA::MSI-H.S.35,16.0,39.0,0.0,0.0,78.0,0.0,41.0,0.0
