,SBS1,SBS2,SBS3,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40,SBS41
Stomach-AdenoCA::S.1,847.0,1418.0,8981.0,5603.0,0.0,4957.0,190.0,0.0,0.0,0.0,1014.0
Stomach-AdenoCA::S.2,1418.0,0.0,0.0,4712.0,97.0,537.0,3316.0,3220.0,0.0,0.0,0.0
Stomach-AdenoCA::S.3,476.0,618.0,0.0,0.0,0.0,0.0,0.0,3112.0,0.0,4668.0,0.0
Stomach-AdenoCA::S.4,929.0,0.0,0.0,3141.0,0.0,242.0,9577.0,6263.0,0.0,0.0,0.0
Stomach-AdenoCA::S.5,1049.0,0.0,0.0,1170.0,0.0,2601.0,422.0,982.0,0.0,5211.0,0.0
Stomach-AdenoCA::S.6,1145.0,0.0,1287.0,9834.0,963.0,0.0,2580.0,0.0,218.0,3246.0,2523.0
Stomach-AdenoCA::S.7,552.0,0.0,367.0,0.0,0.0,580.0,2039.0,2735.0,0.0,0.0,0.0
Stomach-AdenoCA::S.8,0.0,488.0,1994.0,16497.0,0.0,1999.0,0.0,743.0,0.0,0.0,0.0
Stomach-AdenoCA::S.9,1133.0,0.0,0.0,14199.0,0.0,972.0,2210.0,2137.0,0.0,0.0,845.0
Stomach-AdenoCA::S.10,685.0,0.0,0.0,1880.0,50.0,1478.0,660.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.11,358.0,124.0,0.0,8010.0,0.0,0.0,3276.0,2896.0,0.0,0.0,0.0
Stomach-AdenoCA::S.12,4283.0,711.0,0.0,3575.0,0.0,1329.0,123.0,2252.0,0.0,0.0,0.0
Stomach-AdenoCA::S.13,684.0,548.0,0.0,15407.0,0.0,0.0,1109.0,1264.0,0.0,0.0,0.0
Stomach-AdenoCA::S.14,1059.0,158.0,0.0,8070.0,120.0,0.0,222.0,0.0,0.0,5655.0,0.0
Stomach-AdenoCA::S.15,1481.0,0.0,0.0,0.0,0.0,761.0,338.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.16,777.0,0.0,0.0,3423.0,0.0,1930.0,5291.0,781.0,0.0,0.0,0.0
Stomach-AdenoCA::S.17,438.0,766.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.18,1120.0,0.0,0.0,8081.0,0.0,909.0,0.0,0.0,0.0,1640.0,0.0
Stomach-AdenoCA::S.19,1045.0,0.0,821.0,2444.0,126.0,2052.0,0.0,249.0,0.0,0.0,0.0
Stomach-AdenoCA::S.20,1168.0,561.0,0.0,2387.0,0.0,2174.0,635.0,1004.0,0.0,5540.0,0.0
Stomach-AdenoCA::S.21,789.0,0.0,0.0,0.0,0.0,0.0,4714.0,0.0,989.0,0.0,0.0
Stomach-AdenoCA::S.22,767.0,347.0,0.0,3199.0,0.0,1181.0,1869.0,3837.0,255.0,0.0,0.0
Stomach-AdenoCA::S.23,260.0,0.0,0.0,5105.0,0.0,649.0,0.0,0.0,0.0,2308.0,0.0
Stomach-AdenoCA::S.24,946.0,758.0,0.0,379.0,102.0,3121.0,0.0,0.0,0.0,0.0,1314.0
Stomach-AdenoCA::S.25,1770.0,0.0,6655.0,0.0,0.0,550.0,1176.0,2728.0,334.0,1917.0,0.0
Stomach-AdenoCA::S.26,1273.0,0.0,0.0,2130.0,142.0,0.0,9624.0,1610.0,0.0,0.0,0.0
Stomach-AdenoCA::S.27,814.0,200.0,0.0,6379.0,0.0,633.0,15236.0,1408.0,4300.0,0.0,0.0
Stomach-AdenoCA::S.28,2010.0,254.0,0.0,3344.0,217.0,0.0,0.0,1511.0,0.0,0.0,0.0
Stomach-AdenoCA::S.29,475.0,0.0,0.0,6877.0,301.0,0.0,1759.0,0.0,0.0,1898.0,0.0
Stomach-AdenoCA::S.30,196.0,298.0,0.0,1948.0,810.0,5649.0,0.0,412.0,0.0,0.0,0.0
Stomach-AdenoCA::S.31,92.0,116.0,0.0,0.0,66.0,2525.0,946.0,836.0,165.0,1115.0,0.0
Stomach-AdenoCA::S.32,648.0,84.0,0.0,4824.0,0.0,0.0,0.0,0.0,0.0,0.0,3640.0
Stomach-AdenoCA::S.33,813.0,163.0,0.0,13909.0,652.0,1521.0,0.0,1199.0,0.0,0.0,0.0
Stomach-AdenoCA::S.34,2353.0,299.0,0.0,2839.0,0.0,219.0,313.0,1062.0,0.0,11224.0,0.0
Stomach-AdenoCA::S.35,911.0,899.0,0.0,3197.0,90.0,5449.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.36,6611.0,494.0,0.0,0.0,0.0,0.0,1280.0,0.0,0.0,5714.0,0.0
Stomach-AdenoCA::S.37,980.0,0.0,34375.0,2650.0,473.0,4786.0,1290.0,0.0,0.0,8875.0,1073.0
Stomach-AdenoCA::S.38,1523.0,1276.0,0.0,7300.0,262.0,4333.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.39,1452.0,0.0,0.0,7329.0,0.0,0.0,2591.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.40,3008.0,0.0,963.0,5288.0,366.0,0.0,5195.0,1359.0,0.0,0.0,0.0
Stomach-AdenoCA::S.41,727.0,0.0,0.0,11104.0,0.0,0.0,686.0,1231.0,0.0,9040.0,0.0
Stomach-AdenoCA::S.42,396.0,0.0,2549.0,0.0,1713.0,0.0,17156.0,2210.0,0.0,0.0,0.0
Stomach-AdenoCA::S.43,3950.0,0.0,0.0,0.0,185.0,440.0,351.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.44,799.0,1420.0,14921.0,4053.0,340.0,4055.0,164.0,0.0,0.0,0.0,650.0
Stomach-AdenoCA::S.45,142.0,303.0,1508.0,2646.0,364.0,0.0,6346.0,419.0,0.0,0.0,0.0
Stomach-AdenoCA::S.46,480.0,92.0,0.0,3854.0,215.0,0.0,1409.0,0.0,0.0,6735.0,0.0
Stomach-AdenoCA::S.47,1746.0,267.0,0.0,4555.0,0.0,0.0,107.0,0.0,0.0,6869.0,0.0
Stomach-AdenoCA::S.48,2408.0,0.0,0.0,3176.0,111.0,1221.0,4726.0,0.0,289.0,0.0,0.0
Stomach-AdenoCA::S.49,809.0,0.0,3950.0,1045.0,379.0,0.0,327.0,907.0,0.0,0.0,0.0
Stomach-AdenoCA::S.50,535.0,73.0,462.0,454.0,0.0,0.0,669.0,147.0,0.0,1016.0,0.0
Stomach-AdenoCA::S.51,699.0,0.0,0.0,4775.0,0.0,728.0,814.0,2656.0,449.0,4155.0,0.0
Stomach-AdenoCA::S.52,689.0,262.0,0.0,0.0,0.0,266.0,16457.0,3459.0,0.0,0.0,0.0
Stomach-AdenoCA::S.53,904.0,0.0,1132.0,758.0,1411.0,0.0,0.0,355.0,0.0,4968.0,0.0
Stomach-AdenoCA::S.54,808.0,0.0,0.0,724.0,0.0,0.0,343.0,0.0,0.0,9422.0,0.0
Stomach-AdenoCA::S.55,289.0,992.0,0.0,2512.0,0.0,2818.0,1195.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.56,1405.0,797.0,0.0,10765.0,0.0,320.0,613.0,2601.0,394.0,0.0,0.0
Stomach-AdenoCA::S.57,2499.0,0.0,0.0,3236.0,0.0,482.0,3564.0,2440.0,4175.0,0.0,0.0
Stomach-AdenoCA::S.58,1315.0,239.0,0.0,5833.0,246.0,0.0,0.0,2721.0,0.0,11057.0,0.0
Stomach-AdenoCA::S.59,937.0,0.0,1887.0,768.0,451.0,263.0,0.0,2119.0,0.0,1973.0,0.0
Stomach-AdenoCA::S.60,1009.0,1115.0,4575.0,3264.0,0.0,2211.0,0.0,0.0,186.0,0.0,3959.0
Stomach-AdenoCA::S.61,952.0,373.0,0.0,7734.0,0.0,329.0,0.0,2233.0,0.0,0.0,0.0
Stomach-AdenoCA::S.62,1774.0,0.0,1188.0,5292.0,404.0,2110.0,0.0,2599.0,0.0,0.0,0.0
Stomach-AdenoCA::S.63,1998.0,752.0,0.0,2705.0,803.0,125.0,1702.0,5430.0,0.0,0.0,0.0
Stomach-AdenoCA::S.64,739.0,462.0,0.0,1121.0,0.0,1885.0,0.0,3559.0,0.0,0.0,0.0
Stomach-AdenoCA::S.65,942.0,0.0,0.0,0.0,0.0,3345.0,4595.0,0.0,0.0,2278.0,0.0
Stomach-AdenoCA::S.66,1134.0,0.0,29779.0,3299.0,859.0,0.0,8056.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.67,599.0,1082.0,0.0,2068.0,0.0,2101.0,190.0,3912.0,0.0,2479.0,10584.0
Stomach-AdenoCA::S.68,895.0,194.0,0.0,6780.0,763.0,0.0,4746.0,1644.0,0.0,0.0,3416.0
Stomach-AdenoCA::S.69,660.0,1336.0,7374.0,2059.0,0.0,3347.0,2714.0,0.0,193.0,0.0,0.0
Stomach-AdenoCA::S.70,895.0,0.0,1842.0,8687.0,0.0,8015.0,654.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.71,172.0,0.0,0.0,0.0,0.0,0.0,0.0,4178.0,726.0,0.0,3744.0
Stomach-AdenoCA::S.72,352.0,0.0,0.0,2213.0,0.0,280.0,392.0,1827.0,0.0,7305.0,0.0
Stomach-AdenoCA::S.73,279.0,0.0,0.0,17745.0,0.0,7108.0,888.0,4808.0,0.0,5252.0,654.0
Stomach-AdenoCA::S.74,1421.0,0.0,4203.0,17641.0,633.0,4635.0,6181.0,0.0,1329.0,0.0,0.0
Stomach-AdenoCA::S.75,744.0,289.0,0.0,8188.0,0.0,1193.0,9001.0,0.0,1116.0,0.0,0.0
Stomach-AdenoCA::S.76,1613.0,0.0,0.0,17060.0,0.0,0.0,352.0,0.0,0.0,0.0,6339.0
Stomach-AdenoCA::S.77,490.0,0.0,0.0,6153.0,0.0,0.0,896.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.78,1436.0,0.0,0.0,0.0,0.0,674.0,44.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.79,1346.0,433.0,4839.0,12512.0,394.0,1594.0,5627.0,2752.0,0.0,7575.0,735.0
Stomach-AdenoCA::S.80,505.0,290.0,0.0,1105.0,0.0,179.0,544.0,809.0,292.0,0.0,0.0
Stomach-AdenoCA::S.81,848.0,1967.0,0.0,6637.0,0.0,299.0,3041.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.82,1910.0,121.0,0.0,5990.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.83,1046.0,0.0,844.0,8218.0,730.0,0.0,0.0,0.0,0.0,0.0,1692.0
Stomach-AdenoCA::S.84,252.0,44.0,659.0,0.0,0.0,420.0,258.0,2660.0,67.0,0.0,0.0
Stomach-AdenoCA::S.85,657.0,0.0,12671.0,4207.0,0.0,3489.0,10059.0,0.0,804.0,4807.0,0.0
Stomach-AdenoCA::S.86,1212.0,0.0,0.0,0.0,0.0,0.0,0.0,1772.0,0.0,0.0,0.0
Stomach-AdenoCA::S.87,4079.0,0.0,0.0,0.0,0.0,2872.0,0.0,2600.0,0.0,2790.0,0.0
Stomach-AdenoCA::S.88,1198.0,0.0,1960.0,0.0,0.0,2851.0,11478.0,6012.0,2006.0,0.0,0.0
Stomach-AdenoCA::S.89,0.0,382.0,0.0,2498.0,0.0,436.0,14301.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.90,625.0,0.0,0.0,0.0,0.0,2888.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.91,1642.0,0.0,0.0,7504.0,0.0,0.0,4020.0,810.0,0.0,0.0,0.0
