# Original paramaters
"","ID1","ID2","ID3","ID5","ID6","ID8","ID9","ID11"
"prob",0.993730407523511,0.376175548589342,0.912225705329154,0.974921630094044,0.0595611285266458,0.896551724137931,0.115987460815047,0.125391849529781
"size",1.58262582597002,0.315950593451849,3.45181247192012,5.10792481075416,1.41448334109836,3.03896674289185,4.04656561865365,3.25458905086372
"mu",183.123682048873,279.449761874884,163.544834078194,199.039276200656,104.152979755282,103.353680865649,53.7052721614473,61.7895681474457
# Parameters derived from synthetic exposures
"","ID1","ID2","ID3","ID5","ID6","ID8","ID9","ID11"
"prob",0.99,0.4,0.9,0.99,0.07,0.95,0.09,0.09
"size",0.970932179910367,0.327051696812866,3.17240910398138,4.68521285316468,1.46188216263965,2.51729945419399,4.11088789893625,2.56882638216394
"mu",248.042300796164,290.327524187227,156.693963259939,190.316554703906,52.5725323729558,87.3981336890958,52.330628505461,38.1071135619162
# Difference between original parameters and parameters derived from synthetic exposures
"","ID1","ID2","ID3","ID5","ID6","ID8","ID9","ID11"
"prob",0.00373040752351095,-0.0238244514106583,0.0122257053291536,-0.0150783699059561,-0.0104388714733542,-0.0534482758620689,0.025987460815047,0.0353918495297806
"size",0.611693646059656,-0.0111011033610175,0.279403367938738,0.422711957589478,-0.0473988215412899,0.521667288697865,-0.064322280282596,0.685762668699784
"mu",-64.9186187472912,-10.8777623123428,6.85087081825472,8.72272149674995,51.5804473823258,15.9555471765534,1.3746436559863,23.6824545855295
