# Original paramaters
"","ID1","ID2","ID4","ID5","ID6","ID8","ID9","ID10","ID14"
"prob",1,1,0.166666666666667,0.458333333333333,0.0729166666666667,0.09375,0.208333333333333,0.0208333333333333,0.3125
"size",1.97534441464457,1.27898656771311,1.87926498004437,2.26661762572249,1.20719546582822,1.51837454931211,1.58870798271079,6.21916176232866,1.26715513866884
"mu",567.195104802015,694.499527843695,117.864155286107,376.453961215869,243.875823853932,96.4395273449147,152.023595145411,62.4977485484834,307.126244620786
# Parameters derived from synthetic exposures
"","ID1","ID2","ID4","ID5","ID6","ID8","ID9","ID10","ID14"
"prob",1,1,0.23,0.45,0.08,0.14,0.27,0.02,0.33
"size",1.69927027768355,1.25207505240939,1.68694036963533,2.45873951268964,1.20170274849252,2.57161253972236,3.25893482359645,45144731.7398361,1.58206498821396
"mu",555.721110077464,738.329221563187,142.133218513078,459.73481227509,305.047493014762,76.0740822416893,145.351517421631,63.4979448803337,298.250260970972
# Difference between original parameters and parameters derived from synthetic exposures
"","ID1","ID2","ID4","ID5","ID6","ID8","ID9","ID10","ID14"
"prob",0,0,-0.0633333333333334,0.0083333333333333,-0.00708333333333333,-0.04625,-0.0616666666666667,0.000833333333333332,-0.0175
"size",0.276074136961017,0.0269115153037205,0.192324610409039,-0.192121886967147,0.00549271733570267,-1.05323799041025,-1.67022684088566,-45144725.5206744,-0.314909849545119
"mu",11.4739947245509,-43.8296937194914,-24.2690632269713,-83.2808510592209,-61.1716691608293,20.3654451032254,6.67207772377981,-1.00019633185026,8.8759836498138
