,DBS2,DBS4,DBS5,DBS9
Liver-HCC::S.1,40.0,70.0,23.0,0.0
Liver-HCC::S.2,66.0,20.0,0.0,14.0
Liver-HCC::S.3,145.0,120.0,29.0,0.0
Liver-HCC::S.4,930.0,0.0,0.0,0.0
Liver-HCC::S.5,30.0,5.0,0.0,0.0
Liver-HCC::S.6,88.0,12.0,0.0,10.0
Liver-HCC::S.7,33.0,0.0,0.0,0.0
Liver-HCC::S.8,29.0,19.0,0.0,5.0
Liver-HCC::S.9,105.0,160.0,0.0,0.0
Liver-HCC::S.10,64.0,0.0,2.0,13.0
Liver-HCC::S.11,15.0,82.0,3.0,0.0
Liver-HCC::S.12,173.0,38.0,0.0,18.0
Liver-HCC::S.13,45.0,161.0,8.0,0.0
Liver-HCC::S.14,573.0,0.0,0.0,0.0
Liver-HCC::S.15,91.0,0.0,0.0,0.0
Liver-HCC::S.16,65.0,64.0,2.0,0.0
Liver-HCC::S.17,53.0,76.0,0.0,0.0
Liver-HCC::S.18,48.0,43.0,0.0,0.0
Liver-HCC::S.19,69.0,173.0,8.0,0.0
Liver-HCC::S.20,149.0,72.0,8.0,0.0
Liver-HCC::S.21,226.0,0.0,63.0,0.0
Liver-HCC::S.22,51.0,46.0,319.0,19.0
Liver-HCC::S.23,421.0,51.0,0.0,0.0
Liver-HCC::S.24,91.0,0.0,0.0,0.0
Liver-HCC::S.25,51.0,0.0,0.0,0.0
Liver-HCC::S.26,244.0,179.0,0.0,0.0
Liver-HCC::S.27,86.0,0.0,0.0,7.0
Liver-HCC::S.28,9.0,174.0,0.0,0.0
Liver-HCC::S.29,57.0,0.0,0.0,0.0
Liver-HCC::S.30,51.0,0.0,113.0,15.0
Liver-HCC::S.31,22.0,0.0,0.0,0.0
Liver-HCC::S.32,7.0,2.0,2.0,20.0
Liver-HCC::S.33,125.0,33.0,0.0,19.0
Liver-HCC::S.34,109.0,124.0,4.0,0.0
Liver-HCC::S.35,86.0,207.0,277.0,0.0
Liver-HCC::S.36,2.0,53.0,1.0,9.0
Liver-HCC::S.37,13.0,24.0,0.0,7.0
Liver-HCC::S.38,19.0,0.0,0.0,4.0
Liver-HCC::S.39,196.0,0.0,0.0,0.0
Liver-HCC::S.40,199.0,73.0,0.0,0.0
Liver-HCC::S.41,18.0,10.0,0.0,0.0
Liver-HCC::S.42,39.0,0.0,0.0,6.0
Liver-HCC::S.43,14.0,97.0,4.0,0.0
Liver-HCC::S.44,194.0,0.0,0.0,0.0
Liver-HCC::S.45,164.0,26.0,0.0,0.0
Liver-HCC::S.46,322.0,73.0,0.0,0.0
Liver-HCC::S.47,41.0,157.0,6.0,0.0
Liver-HCC::S.48,261.0,197.0,2.0,0.0
Liver-HCC::S.49,38.0,23.0,0.0,12.0
Liver-HCC::S.50,41.0,60.0,37.0,0.0
Liver-HCC::S.51,27.0,178.0,0.0,0.0
Liver-HCC::S.52,22.0,7.0,2.0,6.0
Liver-HCC::S.53,26.0,0.0,3.0,8.0
Liver-HCC::S.54,6.0,19.0,0.0,10.0
Liver-HCC::S.55,143.0,3.0,6.0,26.0
Liver-HCC::S.56,21.0,53.0,3.0,8.0
Liver-HCC::S.57,165.0,33.0,0.0,0.0
Liver-HCC::S.58,109.0,18.0,0.0,0.0
Liver-HCC::S.59,18.0,24.0,1.0,0.0
Liver-HCC::S.60,303.0,0.0,0.0,8.0
Liver-HCC::S.61,338.0,0.0,0.0,0.0
Liver-HCC::S.62,43.0,87.0,0.0,0.0
Liver-HCC::S.63,132.0,176.0,5.0,0.0
Liver-HCC::S.64,350.0,39.0,0.0,0.0
Liver-HCC::S.65,18.0,70.0,0.0,0.0
Liver-HCC::S.66,151.0,24.0,0.0,0.0
Liver-HCC::S.67,28.0,0.0,0.0,0.0
Liver-HCC::S.68,27.0,250.0,9.0,0.0
Liver-HCC::S.69,125.0,49.0,151.0,0.0
Liver-HCC::S.70,14.0,81.0,6.0,0.0
Liver-HCC::S.71,277.0,0.0,0.0,0.0
Liver-HCC::S.72,201.0,29.0,0.0,0.0
Liver-HCC::S.73,85.0,9.0,0.0,0.0
Liver-HCC::S.74,4.0,47.0,4.0,7.0
Liver-HCC::S.75,268.0,62.0,0.0,0.0
Liver-HCC::S.76,9.0,97.0,1.0,0.0
Liver-HCC::S.77,109.0,26.0,0.0,0.0
Liver-HCC::S.78,14.0,11.0,0.0,11.0
Liver-HCC::S.79,8.0,2.0,0.0,10.0
Liver-HCC::S.80,433.0,9.0,0.0,0.0
Liver-HCC::S.81,369.0,318.0,0.0,0.0
Liver-HCC::S.82,6.0,50.0,67.0,33.0
Liver-HCC::S.83,390.0,0.0,0.0,0.0
Liver-HCC::S.84,33.0,104.0,5.0,0.0
Liver-HCC::S.85,43.0,0.0,0.0,0.0
Liver-HCC::S.86,291.0,35.0,0.0,0.0
Liver-HCC::S.87,48.0,80.0,0.0,0.0
Liver-HCC::S.88,20.0,0.0,2.0,8.0
Liver-HCC::S.89,179.0,41.0,35.0,0.0
Liver-HCC::S.90,250.0,0.0,0.0,0.0
Liver-HCC::S.91,13.0,93.0,219.0,19.0
Liver-HCC::S.92,363.0,23.0,0.0,0.0
Liver-HCC::S.93,456.0,0.0,0.0,0.0
Liver-HCC::S.94,97.0,90.0,0.0,0.0
Liver-HCC::S.95,56.0,0.0,0.0,0.0
Liver-HCC::S.96,151.0,139.0,77.0,0.0
Liver-HCC::S.97,213.0,0.0,0.0,0.0
Liver-HCC::S.98,80.0,130.0,0.0,0.0
Liver-HCC::S.99,101.0,71.0,0.0,37.0
