Sample,SBS1,SBS4,SBS5,SBS9,SBS12,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS22,SBS24,SBS29,SBS30,SBS31,SBS35,SBS40
Liver-HCC::S.1,0.0,0.0,0.0,0.0,4612.7325006260435,0.0,0.0,0.0,0.0,0.0,8874.855495519383,0.0,0.0,0.0,0.0,5855.2938075298125,0.0
Liver-HCC::S.2,0.0,4077.4302441936916,5722.323782156685,0.0,5552.232886264396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5053.869976594578,0.0
Liver-HCC::S.3,0.0,0.0,12785.219854212895,0.0,4240.075078056211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.4,289.2484526211179,1609.082354480879,8320.08116171492,0.0,1638.388115974459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.2218886013109,0.0,0.0,0.0,0.0
Liver-HCC::S.5,194.33567753590415,2458.9588205096416,5640.690748783964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.0158061786706,0.0,0.0,0.0,0.0
Liver-HCC::S.6,336.8386832572876,0.0,11306.289387344694,0.0,4097.585531577561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.7,215.53178496681144,0.0,2672.8949881883395,0.0,1828.84477598213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.7448455095896,0.0,0.0,0.0,0.0
Liver-HCC::S.8,278.2882726436035,0.0,6275.532167614235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.029411517554
Liver-HCC::S.9,0.0,0.0,3565.990329739863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.8491392693855,0.0,0.0,0.0
Liver-HCC::S.10,0.0,0.0,11203.532506590129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.82685052149,0.0,0.0,0.0,0.0
Liver-HCC::S.11,0.0,0.0,9354.806496441124,0.0,0.0,0.0,0.0,0.0,0.0,373.4884049962901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.12,0.0,0.0,18974.656044783613,0.0,2967.2380039971295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.13,0.0,0.0,11287.367947389293,0.0,2412.382753267768,0.0,0.0,0.0,1112.3173717765842,0.0,0.0,0.0,0.0,751.8966114088853,0.0,0.0,0.0
Liver-HCC::S.14,0.0,0.0,8095.787319529423,0.0,2178.129409994203,0.0,0.0,0.0,0.0,0.0,3878.656087553248,0.0,2445.7904389304595,1042.5238537759208,0.0,0.0,0.0
Liver-HCC::S.15,0.0,0.0,4095.3074436379916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756.218674010853,0.0,0.0,0.0,0.0
Liver-HCC::S.16,0.0,1471.084666706425,4739.4691962657635,0.0,7308.707523581776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.17,0.0,0.0,6518.529782545261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6269.814232814195
