,ID1,ID2,ID5,ID14
ColoRect-AdenoCA::S.1,261.0,1084.0,0.0,474.0
ColoRect-AdenoCA::S.2,460.0,1362.0,0.0,0.0
ColoRect-AdenoCA::S.3,658.0,1069.0,0.0,868.0
ColoRect-AdenoCA::S.4,619.0,751.0,0.0,0.0
ColoRect-AdenoCA::S.5,900.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.6,1163.0,1308.0,0.0,0.0
ColoRect-AdenoCA::S.7,1060.0,330.0,0.0,0.0
ColoRect-AdenoCA::S.8,1023.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.9,435.0,347.0,0.0,0.0
ColoRect-AdenoCA::S.10,483.0,391.0,0.0,0.0
ColoRect-AdenoCA::S.11,453.0,401.0,0.0,0.0
ColoRect-AdenoCA::S.12,494.0,131.0,0.0,0.0
ColoRect-AdenoCA::S.13,265.0,329.0,0.0,0.0
ColoRect-AdenoCA::S.14,623.0,1121.0,0.0,0.0
ColoRect-AdenoCA::S.15,959.0,215.0,0.0,0.0
ColoRect-AdenoCA::S.16,789.0,1195.0,0.0,0.0
ColoRect-AdenoCA::S.17,185.0,561.0,0.0,0.0
ColoRect-AdenoCA::S.18,972.0,1911.0,0.0,0.0
ColoRect-AdenoCA::S.19,0.0,0.0,0.0,1067.0
ColoRect-AdenoCA::S.20,204.0,421.0,0.0,649.0
ColoRect-AdenoCA::S.21,242.0,170.0,402.0,0.0
ColoRect-AdenoCA::S.22,205.0,284.0,0.0,0.0
ColoRect-AdenoCA::S.23,595.0,0.0,627.0,0.0
ColoRect-AdenoCA::S.24,1515.0,594.0,0.0,0.0
ColoRect-AdenoCA::S.25,1477.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.26,0.0,455.0,0.0,0.0
ColoRect-AdenoCA::S.27,1106.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.28,459.0,384.0,0.0,0.0
ColoRect-AdenoCA::S.29,385.0,764.0,0.0,0.0
ColoRect-AdenoCA::S.30,403.0,493.0,0.0,0.0
ColoRect-AdenoCA::S.31,601.0,2059.0,0.0,645.0
ColoRect-AdenoCA::S.32,711.0,331.0,0.0,0.0
ColoRect-AdenoCA::S.33,843.0,647.0,0.0,500.0
ColoRect-AdenoCA::S.34,0.0,1312.0,0.0,0.0
ColoRect-AdenoCA::S.35,380.0,363.0,0.0,0.0
ColoRect-AdenoCA::S.36,330.0,348.0,0.0,0.0
ColoRect-AdenoCA::S.37,979.0,251.0,0.0,0.0
ColoRect-AdenoCA::S.38,0.0,508.0,0.0,2427.0
ColoRect-AdenoCA::S.39,535.0,530.0,0.0,0.0
ColoRect-AdenoCA::S.40,612.0,396.0,0.0,0.0
ColoRect-AdenoCA::S.41,761.0,471.0,0.0,0.0
ColoRect-AdenoCA::S.42,792.0,0.0,0.0,854.0
ColoRect-AdenoCA::S.43,0.0,2154.0,0.0,0.0
ColoRect-AdenoCA::S.44,630.0,1048.0,0.0,0.0
ColoRect-AdenoCA::S.45,407.0,952.0,0.0,0.0
ColoRect-AdenoCA::S.46,559.0,836.0,0.0,0.0
ColoRect-AdenoCA::S.47,263.0,561.0,0.0,0.0
ColoRect-AdenoCA::S.48,0.0,2462.0,0.0,0.0
ColoRect-AdenoCA::S.49,0.0,865.0,0.0,752.0
ColoRect-AdenoCA::S.50,2733.0,499.0,0.0,0.0
ColoRect-AdenoCA::S.51,0.0,1200.0,0.0,0.0
ColoRect-AdenoCA::S.52,412.0,934.0,0.0,0.0
ColoRect-AdenoCA::S.53,149.0,655.0,0.0,0.0
ColoRect-AdenoCA::S.54,1229.0,281.0,0.0,0.0
ColoRect-AdenoCA::S.55,454.0,647.0,0.0,2215.0
ColoRect-AdenoCA::S.56,911.0,297.0,0.0,0.0
ColoRect-AdenoCA::S.57,1035.0,620.0,0.0,882.0
ColoRect-AdenoCA::S.58,245.0,157.0,305.0,0.0
ColoRect-AdenoCA::S.59,217.0,914.0,0.0,0.0
ColoRect-AdenoCA::S.60,295.0,99.0,0.0,0.0
ColoRect-AdenoCA::S.61,275.0,0.0,0.0,876.0
ColoRect-AdenoCA::S.62,457.0,528.0,0.0,0.0
ColoRect-AdenoCA::S.63,416.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.64,0.0,1955.0,0.0,0.0
ColoRect-AdenoCA::S.65,296.0,421.0,0.0,0.0
ColoRect-AdenoCA::S.66,566.0,456.0,0.0,0.0
ColoRect-AdenoCA::S.67,1553.0,788.0,0.0,726.0
ColoRect-AdenoCA::S.68,230.0,187.0,0.0,0.0
ColoRect-AdenoCA::S.69,938.0,511.0,0.0,552.0
ColoRect-AdenoCA::S.70,0.0,447.0,0.0,681.0
ColoRect-AdenoCA::S.71,394.0,454.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.1,3988.0,2024.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.2,11641.0,4846.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.3,5050.0,1607.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.4,5803.0,6370.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.5,5847.0,1948.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.6,2345.0,1650.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.7,2366.0,16011.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.8,6731.0,5542.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.9,11307.0,12310.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.10,5114.0,4892.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.11,4259.0,6476.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.12,1373.0,1373.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.13,2701.0,11730.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.14,1915.0,3631.0,0.0,0.0
