Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Ovary-AdenoCA::S.1	482	0.991	98.632	20.463%	22.96	13.662%	0.08322	0.99
Ovary-AdenoCA::S.2	1772	0.973	424.922	23.98%	140.733	23.328%	0.07009	0.97
Ovary-AdenoCA::S.3	740	0.978	254.803	34.433%	50.347	24.842%	0.18477	0.975
Ovary-AdenoCA::S.4	325	0.923	133.669	41.129%	33.167	39.409%	0.18358	0.907
Ovary-AdenoCA::S.5	474	0.984	127.8	26.962%	28.655	18.015%	0.12803	0.982
Ovary-AdenoCA::S.6	608	0.977	188.72	31.039%	48.824	26.852%	0.11726	0.975
Ovary-AdenoCA::S.7	689	0.975	224.107	32.526%	44.311	22.643%	0.13651	0.971
Ovary-AdenoCA::S.8	184	0.985	69.687	37.873%	16.767	20.711%	0.45558	0.984
Ovary-AdenoCA::S.9	680	0.989	140.533	20.667%	29.348	16.237%	0.07017	0.987
Ovary-AdenoCA::S.10	463	0.968	143.462	30.985%	44.391	25.029%	0.12732	0.965
Ovary-AdenoCA::S.11	993	0.972	331.025	33.336%	73.013	26.003%	0.13196	0.968
Ovary-AdenoCA::S.12	160	0.988	49.239	30.774%	11.096	16.385%	0.18655	0.987
Ovary-AdenoCA::S.13	519	0.947	185.343	35.712%	43.24	32.385%	0.12801	0.935
Ovary-AdenoCA::S.14	527	0.989	110.26	20.922%	22.871	14.774%	0.07008	0.987
Ovary-AdenoCA::S.15	1001	0.985	242.455	24.221%	56.376	17.221%	0.07988	0.983
Ovary-AdenoCA::S.16	154	0.975	96.27	62.513%	32.31	44.711%	0.89628	0.976
Ovary-AdenoCA::S.17	417	0.977	124.636	29.889%	29.968	21.553%	0.12308	0.974
Ovary-AdenoCA::S.18	919	0.902	441.392	48.03%	157.634	48.494%	0.30223	0.894
Ovary-AdenoCA::S.19	389	0.941	153.925	39.569%	35.332	33.94%	0.14723	0.929
Ovary-AdenoCA::S.20	585	0.955	178.828	30.569%	61.956	31.306%	0.1126	0.95
Ovary-AdenoCA::S.21	452	0.943	212.135	46.933%	45.23	38.595%	0.28066	0.934
Ovary-AdenoCA::S.22	266	0.972	147.022	55.271%	44.453	44.206%	0.43847	0.973
Ovary-AdenoCA::S.23	895	0.954	333.624	37.276%	80.174	30.664%	0.17002	0.947
Ovary-AdenoCA::S.24	1193	0.978	297.909	24.971%	76.504	21.574%	0.06471	0.974
Ovary-AdenoCA::S.25	283	0.976	90.277	31.9%	22.343	24.305%	0.14859	0.974
Ovary-AdenoCA::S.26	190	0.924	84.725	44.592%	19.615	40.619%	0.16822	0.908
Ovary-AdenoCA::S.27	290	0.972	99.887	34.444%	22.692	23.803%	0.17666	0.968
Ovary-AdenoCA::S.28	585	0.986	169.742	29.016%	33.87	20.57%	0.18728	0.984
Ovary-AdenoCA::S.29	390	0.975	137.278	35.199%	27.64	22.486%	0.19326	0.972
Ovary-AdenoCA::S.30	775	0.918	394.844	50.948%	88.704	39.917%	0.23355	0.903
Ovary-AdenoCA::S.31	660	0.934	325.142	49.264%	98.714	45.937%	0.30754	0.929
Ovary-AdenoCA::S.32	376	0.986	115.73	30.779%	26.685	17.58%	0.158	0.985
Ovary-AdenoCA::S.33	827	0.959	319.253	38.604%	92.31	33.319%	0.14622	0.956
Ovary-AdenoCA::S.34	374	0.867	200.129	53.51%	70.97	52.232%	0.24241	0.854
