,SBS1,SBS2,SBS5,SBS7a,SBS7b,SBS7c,SBS7d,SBS13,SBS17a,SBS17b,SBS38,SBS40
Skin-Melanoma::S.1,0.0,0.0,764.0,0.0,4506.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.2,893.0,0.0,3119.0,10775.0,4470.0,4759.0,0.0,0.0,454.0,0.0,0.0,0.0
Skin-Melanoma::S.3,0.0,0.0,0.0,37733.0,6399.0,794.0,1124.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.4,0.0,14403.0,0.0,225383.0,29296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.5,0.0,0.0,0.0,69167.0,17240.0,0.0,0.0,0.0,0.0,10777.0,1067.0,0.0
Skin-Melanoma::S.6,0.0,50813.0,20339.0,65083.0,65836.0,2858.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.7,0.0,0.0,0.0,85317.0,47420.0,0.0,3201.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.8,3568.0,51505.0,0.0,179139.0,37688.0,18880.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.9,0.0,0.0,0.0,0.0,19691.0,8421.0,2129.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.10,0.0,0.0,0.0,66750.0,23137.0,0.0,6387.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.11,338.0,0.0,9824.0,12547.0,3508.0,0.0,760.0,0.0,0.0,0.0,350.0,0.0
Skin-Melanoma::S.12,0.0,0.0,11042.0,10169.0,46052.0,3817.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.13,0.0,2979.0,0.0,37274.0,5535.0,1936.0,2920.0,0.0,0.0,0.0,0.0,5836.0
Skin-Melanoma::S.14,0.0,72165.0,21997.0,64784.0,27158.0,6495.0,9376.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.15,0.0,27022.0,13034.0,28261.0,22492.0,1976.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.16,0.0,0.0,3676.0,13157.0,2139.0,1159.0,2066.0,0.0,0.0,0.0,1084.0,0.0
Skin-Melanoma::S.17,149.0,514.0,1199.0,14618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.18,0.0,0.0,4621.0,31068.0,4178.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.19,0.0,0.0,3019.0,845.0,0.0,12510.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.20,0.0,0.0,0.0,663.0,14722.0,4350.0,3546.0,0.0,325.0,0.0,1382.0,1263.0
Skin-Melanoma::S.21,1568.0,18942.0,5481.0,0.0,28847.0,6196.0,4028.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.22,0.0,26273.0,0.0,155683.0,0.0,5026.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.23,0.0,0.0,0.0,0.0,17672.0,746.0,2540.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.24,437.0,1930.0,2183.0,1105.0,13049.0,0.0,3569.0,0.0,0.0,0.0,0.0,1882.0
Skin-Melanoma::S.25,0.0,0.0,0.0,3726.0,32040.0,3763.0,1723.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.26,0.0,9539.0,6016.0,0.0,56534.0,0.0,2477.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.27,0.0,0.0,1510.0,18531.0,920.0,4339.0,0.0,0.0,233.0,0.0,0.0,2471.0
Skin-Melanoma::S.28,0.0,2193.0,0.0,0.0,39412.0,6712.0,3480.0,0.0,1237.0,0.0,1140.0,0.0
Skin-Melanoma::S.29,434.0,0.0,2488.0,47307.0,2018.0,18579.0,851.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.30,0.0,0.0,0.0,0.0,182929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.31,672.0,0.0,659.0,0.0,0.0,373.0,1685.0,547.0,0.0,0.0,89.0,2264.0
Skin-Melanoma::S.32,0.0,0.0,7918.0,2098.0,0.0,2390.0,23294.0,905.0,0.0,0.0,0.0,2220.0
Skin-Melanoma::S.33,2062.0,20266.0,6111.0,53946.0,29142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.34,0.0,0.0,0.0,4466.0,25997.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.35,1370.0,0.0,6965.0,60911.0,0.0,0.0,2647.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.36,0.0,1207.0,0.0,44414.0,0.0,14225.0,722.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.37,0.0,0.0,2022.0,0.0,2481.0,1395.0,5194.0,0.0,0.0,0.0,0.0,2825.0
Skin-Melanoma::S.38,0.0,0.0,0.0,41043.0,27297.0,10825.0,2476.0,0.0,1320.0,0.0,0.0,0.0
Skin-Melanoma::S.39,3187.0,5046.0,5559.0,86833.0,0.0,13264.0,4857.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.40,0.0,0.0,0.0,11331.0,69632.0,0.0,1347.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.41,962.0,0.0,0.0,49270.0,31994.0,0.0,7958.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.42,2097.0,0.0,6419.0,21634.0,51941.0,1579.0,5413.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.43,0.0,0.0,3325.0,0.0,461.0,6987.0,236.0,0.0,0.0,0.0,0.0,3298.0
Skin-Melanoma::S.44,0.0,0.0,0.0,169037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.45,0.0,20461.0,27179.0,114769.0,60745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.46,0.0,0.0,0.0,0.0,57940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.47,0.0,0.0,0.0,116396.0,32139.0,11597.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.48,0.0,0.0,8808.0,32321.0,14586.0,4344.0,1657.0,0.0,618.0,0.0,0.0,6419.0
Skin-Melanoma::S.49,1031.0,7223.0,6308.0,12143.0,2086.0,0.0,0.0,0.0,0.0,0.0,2648.0,10836.0
Skin-Melanoma::S.50,0.0,0.0,0.0,19361.0,0.0,6854.0,2647.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.51,3286.0,0.0,0.0,134600.0,73740.0,0.0,9205.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.52,0.0,0.0,0.0,31212.0,70016.0,0.0,17331.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.53,0.0,0.0,0.0,88432.0,74411.0,6453.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.54,635.0,0.0,0.0,2834.0,33174.0,0.0,5343.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.55,0.0,9496.0,15051.0,121887.0,27820.0,0.0,4556.0,0.0,0.0,1099.0,0.0,0.0
Skin-Melanoma::S.56,822.0,0.0,0.0,53351.0,0.0,2028.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.57,0.0,0.0,0.0,39147.0,28742.0,0.0,4118.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.58,5508.0,0.0,0.0,170134.0,53403.0,0.0,4519.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.59,0.0,0.0,0.0,289624.0,6339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.60,0.0,0.0,0.0,95300.0,7675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.61,0.0,0.0,0.0,104172.0,25603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.62,1079.0,14676.0,5298.0,30273.0,15921.0,11296.0,1605.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.63,0.0,0.0,0.0,99954.0,0.0,11302.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.64,1267.0,0.0,0.0,68717.0,32501.0,13697.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.65,0.0,0.0,0.0,67840.0,5808.0,3147.0,3065.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.66,0.0,18773.0,0.0,86088.0,33938.0,7824.0,2820.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.67,1115.0,239.0,1862.0,0.0,0.0,0.0,2165.0,532.0,0.0,0.0,0.0,1553.0
