MutationType	Ovary-AdenoCA::MSI-H.S.1
1:Del:C:0	48
1:Del:C:1	18
1:Del:C:2	0
1:Del:C:3	37
1:Del:C:4	69
1:Del:C:5	171
1:Del:T:0	96
1:Del:T:1	0
1:Del:T:2	135
1:Del:T:3	307
1:Del:T:4	987
1:Del:T:5	6030
1:Ins:C:0	0
1:Ins:C:1	3
1:Ins:C:2	0
1:Ins:C:3	24
1:Ins:C:4	54
1:Ins:C:5	334
1:Ins:T:0	59
1:Ins:T:1	0
1:Ins:T:2	8
1:Ins:T:3	23
1:Ins:T:4	87
1:Ins:T:5	6452
2:Del:R:0	12
2:Del:R:1	85
2:Del:R:2	34
2:Del:R:3	10
2:Del:R:4	13
2:Del:R:5	0
3:Del:R:0	1
3:Del:R:1	190
3:Del:R:2	60
3:Del:R:3	12
3:Del:R:4	0
3:Del:R:5	0
4:Del:R:0	1
4:Del:R:1	34
4:Del:R:2	9
4:Del:R:3	0
4:Del:R:4	0
4:Del:R:5	2
5:Del:R:0	0
5:Del:R:1	50
5:Del:R:2	2
5:Del:R:3	0
5:Del:R:4	1
5:Del:R:5	0
2:Ins:R:0	13
2:Ins:R:1	4
2:Ins:R:2	9
2:Ins:R:3	15
2:Ins:R:4	39
2:Ins:R:5	207
3:Ins:R:0	1
3:Ins:R:1	33
3:Ins:R:2	9
3:Ins:R:3	1
3:Ins:R:4	3
3:Ins:R:5	41
4:Ins:R:0	0
4:Ins:R:1	30
4:Ins:R:2	2
4:Ins:R:3	3
4:Ins:R:4	4
4:Ins:R:5	42
5:Ins:R:0	0
5:Ins:R:1	18
5:Ins:R:2	6
5:Ins:R:3	9
5:Ins:R:4	4
5:Ins:R:5	2
2:Del:M:1	10
3:Del:M:1	0
3:Del:M:2	49
4:Del:M:1	4
4:Del:M:2	17
4:Del:M:3	5
5:Del:M:1	8
5:Del:M:2	0
5:Del:M:3	2
5:Del:M:4	1
5:Del:M:5	30
