Samples	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS13	SBS17a	SBS17b	SBS38	SBS40
Skin-Melanoma::S.1	0	0	0	0	5116	1065	0	0	0	0	0	0
Skin-Melanoma::S.2	887	0	3507	10860	4488	4900	0	0	0	0	0	0
Skin-Melanoma::S.3	0	0	0	40052	7016	0	0	0	0	0	0	0
Skin-Melanoma::S.4	0	0	0	269682	0	0	0	0	0	0	0	0
Skin-Melanoma::S.5	0	0	0	64222	16044	0	0	0	0	10021	0	0
Skin-Melanoma::S.6	739	50703	21590	65048	65594	0	0	0	0	0	0	0
Skin-Melanoma::S.7	427	0	0	85397	47959	0	0	0	0	0	0	0
Skin-Melanoma::S.8	3282	51335	6800	179928	36655	18336	0	0	0	0	0	0
Skin-Melanoma::S.9	0	0	0	0	19518	8347	2111	0	0	0	0	0
Skin-Melanoma::S.10	104	0	0	64256	22263	0	6148	0	0	0	0	0
Skin-Melanoma::S.11	315	0	11068	12862	3618	0	0	0	0	0	0	0
Skin-Melanoma::S.12	0	0	13971	10578	47542	0	0	0	0	0	0	0
Skin-Melanoma::S.13	0	0	0	51240	0	0	4940	0	0	0	0	0
Skin-Melanoma::S.14	802	72262	24915	65275	26872	0	10224	0	0	0	0	0
Skin-Melanoma::S.15	754	26895	13679	28189	22314	0	0	0	0	0	0	0
Skin-Melanoma::S.16	18	0	4423	13473	2148	1217	2140	0	0	0	0	0
Skin-Melanoma::S.17	225	0	0	16798	0	0	0	0	0	0	0	0
Skin-Melanoma::S.18	0	0	0	35480	5568	0	0	0	0	0	0	0
Skin-Melanoma::S.19	23	0	3036	925	0	12181	0	0	0	0	0	0
Skin-Melanoma::S.20	0	0	0	0	17095	5128	4098	0	0	0	0	0
Skin-Melanoma::S.21	1563	18884	5464	0	28757	6177	4015	0	0	0	0	0
Skin-Melanoma::S.22	0	25462	0	151210	0	0	0	0	0	0	0	0
Skin-Melanoma::S.23	0	0	0	0	19298	0	2819	0	0	0	0	0
Skin-Melanoma::S.24	386	2464	3610	0	14160	0	3582	0	0	0	0	0
Skin-Melanoma::S.25	0	0	0	3716	32745	4192	0	0	0	0	0	0
Skin-Melanoma::S.26	0	11947	0	0	65903	0	0	0	0	0	0	0
Skin-Melanoma::S.27	98	0	4128	19808	0	4705	0	0	0	0	0	0
Skin-Melanoma::S.28	100	0	7083	0	41138	7157	3647	0	0	0	0	0
Skin-Melanoma::S.29	633	0	0	50993	0	19931	0	0	0	0	0	0
Skin-Melanoma::S.30	0	0	0	0	207257	0	0	0	0	0	0	0
Skin-Melanoma::S.31	676	0	520	0	0	356	1682	535	0	0	0	2494
Skin-Melanoma::S.32	0	0	10598	2319	0	2590	23625	0	0	0	0	0
Skin-Melanoma::S.33	2071	20355	6138	54183	29269	0	0	0	0	0	0	0
Skin-Melanoma::S.34	0	0	0	4763	27556	0	0	0	0	0	0	0
Skin-Melanoma::S.35	1177	0	12125	62254	0	0	0	0	0	0	0	0
Skin-Melanoma::S.36	0	0	0	44459	0	13998	0	0	0	0	0	0
Skin-Melanoma::S.37	124	0	0	0	2555	1340	5309	0	0	0	0	4520
Skin-Melanoma::S.38	592	0	0	39685	26803	11343	0	0	0	0	0	0
Skin-Melanoma::S.39	3620	0	0	99188	0	15864	0	0	0	0	0	0
Skin-Melanoma::S.40	0	0	0	10830	66981	0	0	0	0	0	0	0
Skin-Melanoma::S.41	946	0	0	48461	31468	0	7827	0	0	0	0	0
Skin-Melanoma::S.42	2588	0	0	23640	56862	0	6868	0	0	0	0	0
Skin-Melanoma::S.43	0	0	7088	0	0	7800	0	0	0	0	0	0
Skin-Melanoma::S.44	0	0	0	167911	0	0	0	0	0	0	0	0
Skin-Melanoma::S.45	0	0	0	170181	52537	0	0	0	0	0	0	0
Skin-Melanoma::S.46	0	0	0	0	59810	0	0	0	0	0	0	0
Skin-Melanoma::S.47	0	0	0	114480	32409	0	0	0	0	0	0	0
Skin-Melanoma::S.48	0	0	15601	33217	14925	5252	0	0	0	0	0	0
Skin-Melanoma::S.49	743	7655	19089	15459	0	0	0	0	0	0	0	0
Skin-Melanoma::S.50	0	0	0	18380	0	6383	2480	0	0	0	0	0
Skin-Melanoma::S.51	3503	0	0	141375	79072	0	0	0	0	0	0	0
Skin-Melanoma::S.52	121	0	2331	31273	70041	0	17159	0	0	0	0	0
Skin-Melanoma::S.53	0	0	0	89325	75311	0	0	0	0	0	0	0
Skin-Melanoma::S.54	774	0	0	0	37834	0	5804	0	0	0	0	0
Skin-Melanoma::S.55	0	0	25713	137218	18565	0	0	0	0	0	0	0
Skin-Melanoma::S.56	892	0	0	55865	0	0	0	0	0	0	0	0
Skin-Melanoma::S.57	0	0	0	35923	27031	0	0	0	0	0	0	0
Skin-Melanoma::S.58	5395	0	0	165910	52785	0	0	0	0	0	0	0
Skin-Melanoma::S.59	0	0	0	290477	0	0	0	0	0	0	0	0
Skin-Melanoma::S.60	0	0	0	97445	0	0	0	0	0	0	0	0
Skin-Melanoma::S.61	139	0	0	104331	25628	0	0	0	0	0	0	0
Skin-Melanoma::S.62	1023	14773	6687	30094	16068	11530	0	0	0	0	0	0
Skin-Melanoma::S.63	0	0	0	97146	0	0	0	0	0	0	0	0
Skin-Melanoma::S.64	1131	0	3964	70473	33213	14364	0	0	0	0	0	0
Skin-Melanoma::S.65	788	0	0	76854	0	0	0	0	0	0	0	0
