,DBS1,DBS6
Skin-Melanoma::S.1,231.0,0.0
Skin-Melanoma::S.2,607.0,0.0
Skin-Melanoma::S.3,845.0,0.0
Skin-Melanoma::S.4,1013.0,0.0
Skin-Melanoma::S.5,3492.0,208.0
Skin-Melanoma::S.6,475.0,0.0
Skin-Melanoma::S.7,679.0,0.0
Skin-Melanoma::S.8,995.0,0.0
Skin-Melanoma::S.9,93.0,0.0
Skin-Melanoma::S.10,1865.0,0.0
Skin-Melanoma::S.11,10.0,0.0
Skin-Melanoma::S.12,87.0,16.0
Skin-Melanoma::S.13,2956.0,0.0
Skin-Melanoma::S.14,265.0,25.0
Skin-Melanoma::S.15,665.0,27.0
Skin-Melanoma::S.16,3220.0,0.0
Skin-Melanoma::S.17,290.0,34.0
Skin-Melanoma::S.18,5416.0,0.0
Skin-Melanoma::S.19,102.0,0.0
Skin-Melanoma::S.20,4841.0,0.0
Skin-Melanoma::S.21,220.0,0.0
Skin-Melanoma::S.22,2063.0,0.0
Skin-Melanoma::S.23,1913.0,0.0
Skin-Melanoma::S.24,1850.0,0.0
Skin-Melanoma::S.25,418.0,0.0
Skin-Melanoma::S.26,522.0,25.0
Skin-Melanoma::S.27,1234.0,0.0
Skin-Melanoma::S.28,474.0,0.0
Skin-Melanoma::S.29,1471.0,0.0
Skin-Melanoma::S.30,1333.0,0.0
Skin-Melanoma::S.31,572.0,0.0
Skin-Melanoma::S.32,820.0,0.0
Skin-Melanoma::S.33,32.0,0.0
Skin-Melanoma::S.34,1394.0,0.0
Skin-Melanoma::S.35,3475.0,116.0
Skin-Melanoma::S.36,500.0,0.0
Skin-Melanoma::S.37,26.0,0.0
Skin-Melanoma::S.38,882.0,0.0
Skin-Melanoma::S.39,5500.0,0.0
Skin-Melanoma::S.40,208.0,17.0
Skin-Melanoma::S.41,2346.0,0.0
Skin-Melanoma::S.42,10358.0,0.0
Skin-Melanoma::S.43,3326.0,55.0
Skin-Melanoma::S.44,2470.0,0.0
Skin-Melanoma::S.45,1440.0,0.0
Skin-Melanoma::S.46,2708.0,0.0
Skin-Melanoma::S.47,9472.0,0.0
Skin-Melanoma::S.48,5579.0,0.0
Skin-Melanoma::S.49,1162.0,39.0
Skin-Melanoma::S.50,2642.0,0.0
Skin-Melanoma::S.51,1014.0,0.0
Skin-Melanoma::S.52,1182.0,0.0
Skin-Melanoma::S.53,155.0,14.0
Skin-Melanoma::S.54,70.0,9.0
Skin-Melanoma::S.55,5595.0,0.0
Skin-Melanoma::S.56,3771.0,0.0
Skin-Melanoma::S.57,4003.0,0.0
Skin-Melanoma::S.58,454.0,0.0
Skin-Melanoma::S.59,801.0,20.0
Skin-Melanoma::S.60,11019.0,0.0
Skin-Melanoma::S.61,668.0,0.0
Skin-Melanoma::S.62,1778.0,0.0
Skin-Melanoma::S.63,1110.0,0.0
Skin-Melanoma::S.64,558.0,35.0
Skin-Melanoma::S.65,1110.0,0.0
Skin-Melanoma::S.66,166.0,39.0
Skin-Melanoma::S.67,86.0,0.0
Skin-Melanoma::S.68,507.0,0.0
Skin-Melanoma::S.69,6294.0,0.0
Skin-Melanoma::S.70,8677.0,0.0
Skin-Melanoma::S.71,2753.0,0.0
Skin-Melanoma::S.72,62.0,0.0
Skin-Melanoma::S.73,538.0,0.0
Skin-Melanoma::S.74,95.0,0.0
Skin-Melanoma::S.75,1103.0,0.0
Skin-Melanoma::S.76,210.0,0.0
Skin-Melanoma::S.77,3363.0,0.0
Skin-Melanoma::S.78,455.0,0.0
Skin-Melanoma::S.79,899.0,0.0
Skin-Melanoma::S.80,2243.0,0.0
Skin-Melanoma::S.81,162.0,0.0
Skin-Melanoma::S.82,5843.0,0.0
Skin-Melanoma::S.83,17810.0,0.0
Skin-Melanoma::S.84,24616.0,0.0
Skin-Melanoma::S.85,1618.0,0.0
Skin-Melanoma::S.86,16682.0,0.0
Skin-Melanoma::S.87,513.0,0.0
Skin-Melanoma::S.88,489.0,81.0
Skin-Melanoma::S.89,440.0,0.0
Skin-Melanoma::S.90,606.0,0.0
Skin-Melanoma::S.91,823.0,0.0
Skin-Melanoma::S.92,179.0,18.0
Skin-Melanoma::S.93,391.0,0.0
Skin-Melanoma::S.94,1137.0,0.0
Skin-Melanoma::S.95,3197.0,0.0
Skin-Melanoma::S.96,894.0,0.0
Skin-Melanoma::S.97,1948.0,0.0
Skin-Melanoma::S.98,6457.0,0.0
