# Original paramaters
"","SBS1","SBS4","SBS5","SBS6","SBS9","SBS12","SBS14","SBS16","SBS17a","SBS17b","SBS18","SBS19","SBS22","SBS24","SBS26","SBS29","SBS30","SBS31","SBS35","SBS40"
"prob",0.649068322981366,0.273291925465839,1,0.0093167701863354,0.0062111801242236,0.614906832298137,0.0093167701863354,0.118012422360248,0.0093167701863354,0.015527950310559,0.0031055900621118,0.0186335403726708,0.0527950310559006,0.0031055900621118,0.0062111801242236,0.385093167701863,0.0062111801242236,0.0031055900621118,0.031055900621118,0.114906832298137
"size",1.18032961973312,4.26157073263975,4.00229083204241,0.794042101851832,38.2379114671947,3.21495649109827,2.14743583575471,2.96280622230382,7.86779104625676,2.19544204486887,1.18078483333866,1.96200752396258,1.13703700052705,27.3536490080312,10.5868651311903,4.19621677791127,10.9884300668214,984.724866732314,1.66170240460205,3.63084862298283
"mu",131.19153378253,2865.92948826028,7652.02472549601,5711.90992242517,770.02140312917,2824.00477837042,2410.26966155611,1383.75365844174,230.654907617843,826.037558231858,1965,4343.36835255516,3523.54971522016,3852,7798.8505630622,1314.58528999772,1300.98551646182,2960,3827.20254351647,5374.05276661979
# Parameters derived from synthetic exposures
"","SBS1","SBS4","SBS5","SBS6","SBS9","SBS12","SBS14","SBS16","SBS17a","SBS17b","SBS18","SBS19","SBS22","SBS24","SBS26","SBS29","SBS30","SBS31","SBS35","SBS40"
"prob",0.59,0.33,1,0.01,NA,0.55,0.02,0.08,NA,0.02,0.01,0.01,0.03,NA,0.01,0.33,NA,NA,0.08,0.1
"size",1.25149892373136,4.04317835129749,4.43514681132776,0.794042101851832,NA,5.10774299021562,0.754261694849897,4.39202690587772,NA,10.1202165714071,1.18078483333866,1.96200752396258,23.926587333421,NA,5.4455031808561,4.76700757973048,NA,NA,2.49660078349416,4.30217779095032
"mu",140.759782561514,2870.85026132191,8590.21049885134,8303,NA,3197.81844054968,1610.0889439643,1620.34609929998,NA,515.977126467668,2235,2787,6307.79499702222,NA,5755,1330.2835571206,NA,NA,5517.44380433668,5009.47345729358
# Some signatures not represented in the synthetic data:
# SBS9 SBS17a SBS24 SBS30 SBS31 
# Difference between original parameters and parameters derived from synthetic exposures
"","SBS1","SBS4","SBS5","SBS6","SBS9","SBS12","SBS14","SBS16","SBS17a","SBS17b","SBS18","SBS19","SBS22","SBS24","SBS26","SBS29","SBS30","SBS31","SBS35","SBS40"
"prob",0.0590683229813664,-0.0567080745341615,0,-0.000683229813664596,NA,0.0649068322981367,-0.0106832298136646,0.0380124223602484,NA,-0.00447204968944099,-0.0068944099378882,0.00863354037267081,0.0227950310559006,NA,-0.0037888198757764,0.0550931677018633,NA,NA,-0.048944099378882,0.0149068322981366
"size",-0.0711693039982382,0.218392381342257,-0.43285597928535,0,NA,-1.89278649911736,1.39317414090481,-1.42922068357389,NA,-7.92477452653819,0,0,-22.7895503328939,NA,5.14136195033416,-0.570790801819213,NA,NA,-0.83489837889211,-0.671329167967492
"mu",-9.5682487789835,-4.92077306162082,-938.185773355332,-2591.09007757483,NA,-373.813662179256,800.180717591806,-236.592440858233,NA,310.06043176419,-270,1556.36835255516,-2784.24528180206,NA,2043.8505630622,-15.6982671228768,NA,NA,-1690.24126082021,364.579309326211
