Samples	SBS1	SBS2	SBS3	SBS5	SBS8	SBS9	SBS13	SBS17a	SBS17b	SBS18	SBS37	SBS40	SBS41
Breast-AdenoCA::S.1	632	0	0	0	0	0	3878	0	0	1854	0	0	0
Breast-AdenoCA::S.2	235	0	5733	3287	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.3	250	447	0	688	0	0	707	0	0	0	0	0	0
Breast-AdenoCA::S.4	420	705	5517	1611	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.5	392	0	0	1500	0	0	758	0	0	0	0	1624	0
Breast-AdenoCA::S.6	810	6461	0	5294	0	0	1746	0	0	0	0	0	0
Breast-AdenoCA::S.7	272	176	0	2855	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.8	658	379	1804	1272	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.9	130	0	4401	2572	0	0	0	0	0	0	0	4682	0
Breast-AdenoCA::S.10	256	883	3500	1084	0	0	317	0	0	0	0	0	0
Breast-AdenoCA::S.11	353	95	0	1707	0	0	743	0	0	0	0	0	0
Breast-AdenoCA::S.12	792	481	1315	730	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.13	340	2771	0	1788	0	0	2208	0	0	0	0	0	0
Breast-AdenoCA::S.14	242	236	0	4121	0	0	1437	0	0	0	0	0	0
Breast-AdenoCA::S.15	860	6691	0	2295	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.16	288	0	0	914	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.17	650	0	0	1664	0	0	0	0	0	614	0	0	0
Breast-AdenoCA::S.18	170	92	0	2060	0	0	383	0	0	1270	0	0	0
Breast-AdenoCA::S.19	228	0	0	3545	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.20	199	0	2330	1054	0	0	206	0	0	0	0	0	0
Breast-AdenoCA::S.21	253	815	0	3607	0	0	1068	0	0	0	0	0	0
Breast-AdenoCA::S.22	95	0	0	2263	0	533	0	0	0	0	0	0	0
Breast-AdenoCA::S.23	228	1019	0	6534	0	0	2687	0	0	0	0	0	0
